Coding System (Read),Codes,Description,Entity type,Category
Read,Eu25111,"[X]Schizoaffective psychosis, depressive type",res76: Affective psychotic disorders,diagnostic
Read,1BQ..00,Loss of capacity for enjoyment,res76: Affective psychotic disorders,symptom
Read,Eu31900,[X]Bipolar affective disorder type II,res76: Affective psychotic disorders,diagnostic
Read,E110200,"Single manic episode, moderate",res76: Affective psychotic disorders,diagnostic
Read,Eu31700,"[X]Bipolar affective disorder, currently in remission",res76: Affective psychotic disorders,diagnostic
Read,E116100,"Mixed bipolar affective disorder, mild",res76: Affective psychotic disorders,diagnostic
Read,E115500,"Bipolar affect disord, now depressed, part/unspec remission",res76: Affective psychotic disorders,diagnostic
Read,E117600,"Unspecified bipolar affective disorder, in full remission",res76: Affective psychotic disorders,diagnostic
Read,Eu25z11,[X]Schizoaffective psychosis NOS,res76: Affective psychotic disorders,diagnostic
Read,E11..13,Manic psychoses,res76: Affective psychotic disorders,diagnostic
Read,225C.00,O/E - elated,res76: Affective psychotic disorders,symptom
Read,E111.00,Recurrent manic episodes,res76: Affective psychotic disorders,diagnostic
Read,Eu32A00,"[X]Recurr major depr ep, severe with psych, psych in remiss",res76: Affective psychotic disorders,diagnostic
Read,2257.00,O/E - depressed,res76: Affective psychotic disorders,symptom
Read,Eu32900,"[X]Single major depr ep, severe with psych, psych in remiss",res76: Affective psychotic disorders,diagnostic
Read,E114.00,"Bipolar affective disorder, currently manic",res76: Affective psychotic disorders,diagnostic
Read,1JJ..00,Suspected depression,res76: Affective psychotic disorders,symptom
Read,Eu31.11,[X]Manic-depressive illness,res76: Affective psychotic disorders,diagnostic
Read,E107.11,Cyclic schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,Eu30000,[X]Hypomania,res76: Affective psychotic disorders,diagnostic
Read,Eu31y11,[X]Bipolar II disorder,res76: Affective psychotic disorders,diagnostic
Read,E107.00,Schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E117300,"Unspecified bipolar affective disorder, severe, no psychosis",res76: Affective psychotic disorders,diagnostic
Read,1B1E.00,Hallucinations,res76: Affective psychotic disorders,symptom
Read,Eu32800,"[X]Major depression, severe with psychotic symptoms",res76: Affective psychotic disorders,diagnostic
Read,1B17.00,Depressed,res76: Affective psychotic disorders,symptom
Read,212V.00,Bipolar affective disorder resolved,res76: Affective psychotic disorders,diagnostic
Read,E11..12,Depressive psychoses,res76: Affective psychotic disorders,diagnostic
Read,Eu25211,[X]Cyclic schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,R001.00,[D]Hallucinations,res76: Affective psychotic disorders,symptom
Read,Eu31800,[X]Bipolar affective disorder type I,res76: Affective psychotic disorders,diagnostic
Read,1B16.00,Agitated,res76: Affective psychotic disorders,symptom
Read,Eu31911,[X]Bipolar II disorder,res76: Affective psychotic disorders,diagnostic
Read,E115.00,"Bipolar affective disorder, currently depressed",res76: Affective psychotic disorders,diagnostic
Read,E110500,Single manic episode in partial or unspecified remission,res76: Affective psychotic disorders,diagnostic
Read,Eu31500,[X]Bipolar affect dis cur epi severe depres with psyc symp,res76: Affective psychotic disorders,diagnostic
Read,Eu25200,"[X]Schizoaffective disorder, mixed type",res76: Affective psychotic disorders,diagnostic
Read,Eu30z11,[X]Mania NOS,res76: Affective psychotic disorders,diagnostic
Read,E110300,"Single manic episode, severe without mention of psychosis",res76: Affective psychotic disorders,diagnostic
Read,1B17.11,C/O - feeling depressed,res76: Affective psychotic disorders,symptom
Read,Eu30212,[X]Mania with mood-incongruent psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,E110000,"Single manic episode, unspecified",res76: Affective psychotic disorders,diagnostic
Read,Eu25z00,"[X]Schizoaffective disorder, unspecified",res76: Affective psychotic disorders,diagnostic
Read,E130.00,Reactive depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,E114200,"Bipolar affective disorder, currently manic, moderate",res76: Affective psychotic disorders,diagnostic
Read,Eu31.12,[X]Manic-depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,Eu31y12,[X]Recurrent manic episodes,res76: Affective psychotic disorders,diagnostic
Read,Eu31.00,[X]Bipolar affective disorder,res76: Affective psychotic disorders,diagnostic
Read,Eu33312,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",res76: Affective psychotic disorders,diagnostic
Read,Eu30.11,"[X]Bipolar disorder, single manic episode",res76: Affective psychotic disorders,diagnostic
Read,Eu25212,[X]Mixed schizophrenic and affective psychosis,res76: Affective psychotic disorders,diagnostic
Read,E11..11,Bipolar psychoses,res76: Affective psychotic disorders,diagnostic
Read,Eu31200,[X]Bipolar affect disorder cur epi manic with psychotic symp,res76: Affective psychotic disorders,diagnostic
Read,146D.00,H/O: manic depressive disorder,res76: Affective psychotic disorders,diagnostic
Read,E115z00,"Bipolar affective disorder, currently depressed, NOS",res76: Affective psychotic disorders,diagnostic
Read,Eu0z.12,[X]Symptomatic psychosis NOS,res76: Affective psychotic disorders,symptom
Read,Eu25000,"[X]Schizoaffective disorder, manic type",res76: Affective psychotic disorders,diagnostic
Read,Eu25.00,[X]Schizoaffective disorders,res76: Affective psychotic disorders,diagnostic
Read,Eu32314,[X]Single episode of reactive depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,1BT..11,Low mood,res76: Affective psychotic disorders,symptom
Read,E114100,"Bipolar affective disorder, currently manic, mild",res76: Affective psychotic disorders,diagnostic
Read,1B1U.00,Symptoms of depression,res76: Affective psychotic disorders,symptom
Read,E110z00,"Manic disorder, single episode NOS",res76: Affective psychotic disorders,diagnostic
Read,1BT..00,Depressed mood,res76: Affective psychotic disorders,symptom
Read,E114000,"Bipolar affective disorder, currently manic, unspecified",res76: Affective psychotic disorders,diagnostic
Read,Eu25100,"[X]Schizoaffective disorder, depressive type",res76: Affective psychotic disorders,diagnostic
Read,E110.00,"Manic disorder, single episode",res76: Affective psychotic disorders,diagnostic
Read,1B1U.11,Depressive symptoms,res76: Affective psychotic disorders,symptom
Read,E115300,"Bipolar affect disord, now depressed, severe, no psychosis",res76: Affective psychotic disorders,diagnostic
Read,E107z00,Schizo-affective schizophrenia NOS,res76: Affective psychotic disorders,diagnostic
Read,E115100,"Bipolar affective disorder, currently depressed, mild",res76: Affective psychotic disorders,diagnostic
Read,E115.11,Manic-depressive - now depressed,res76: Affective psychotic disorders,diagnostic
Read,E111200,"Recurrent manic episodes, moderate",res76: Affective psychotic disorders,diagnostic
Read,E11y000,Unspecified manic-depressive psychoses,res76: Affective psychotic disorders,diagnostic
Read,Eu30211,[X]Mania with mood-congruent psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,Eu30.00,[X]Manic episode,res76: Affective psychotic disorders,diagnostic
Read,E115200,"Bipolar affective disorder, currently depressed, moderate",res76: Affective psychotic disorders,diagnostic
Read,Eu32300,[X]Severe depressive episode with psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,Eu33213,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",res76: Affective psychotic disorders,diagnostic
Read,R001400,[D]Visual hallucinations,res76: Affective psychotic disorders,symptom
Read,E116000,"Mixed bipolar affective disorder, unspecified",res76: Affective psychotic disorders,diagnostic
Read,R001000,"[D]Hallucinations, auditory",res76: Affective psychotic disorders,symptom
Read,E116.00,Mixed bipolar affective disorder,res76: Affective psychotic disorders,diagnostic
Read,Eu30100,[X]Mania without psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,Eu33314,[X]Recurr severe episodes/psychogenic depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,Eu31300,[X]Bipolar affect disorder cur epi mild or moderate depressn,res76: Affective psychotic disorders,diagnostic
Read,E11zz00,Other affective psychosis NOS,res76: Affective psychotic disorders,diagnostic
Read,E117.00,Unspecified bipolar affective disorder,res76: Affective psychotic disorders,diagnostic
Read,E117z00,"Unspecified bipolar affective disorder, NOS",res76: Affective psychotic disorders,diagnostic
Read,E110100,"Single manic episode, mild",res76: Affective psychotic disorders,diagnostic
Read,Eu3z.11,[X]Affective psychosis NOS,res76: Affective psychotic disorders,diagnostic
Read,E11..00,Affective psychoses,res76: Affective psychotic disorders,diagnostic
Read,E107200,Chronic schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E114300,"Bipolar affect disord, currently manic, severe, no psychosis",res76: Affective psychotic disorders,diagnostic
Read,E111z00,Recurrent manic episode NOS,res76: Affective psychotic disorders,diagnostic
Read,E115000,"Bipolar affective disorder, currently depressed, unspecified",res76: Affective psychotic disorders,diagnostic
Read,Eu33300,[X]Recurrent depress disorder cur epi severe with psyc symp,res76: Affective psychotic disorders,diagnostic
Read,F481K00,Visual hallucinations,res76: Affective psychotic disorders,symptom
Read,Eu31z00,"[X]Bipolar affective disorder, unspecified",res76: Affective psychotic disorders,diagnostic
Read,E111000,"Recurrent manic episodes, unspecified",res76: Affective psychotic disorders,diagnostic
Read,E111100,"Recurrent manic episodes, mild",res76: Affective psychotic disorders,diagnostic
Read,Eu33315,[X]Recurrent severe episodes of psychotic depression,res76: Affective psychotic disorders,diagnostic
Read,Eu30z00,"[X]Manic episode, unspecified",res76: Affective psychotic disorders,diagnostic
Read,R001z00,[D]Hallucinations NOS,res76: Affective psychotic disorders,symptom
Read,E111600,"Recurrent manic episodes, in full remission",res76: Affective psychotic disorders,diagnostic
Read,Eu31000,"[X]Bipolar affective disorder, current episode hypomanic",res76: Affective psychotic disorders,diagnostic
Read,E11yz00,Other and unspecified manic-depressive psychoses NOS,res76: Affective psychotic disorders,diagnostic
Read,Eu25011,"[X]Schizoaffective psychosis, manic type",res76: Affective psychotic disorders,diagnostic
Read,E117000,"Unspecified bipolar affective disorder, unspecified",res76: Affective psychotic disorders,diagnostic
Read,E114.11,Manic-depressive - now manic,res76: Affective psychotic disorders,diagnostic
Read,Eu33316,[X]Recurrent severe episodes/reactive depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,212T.00,"Psychosis, schizophrenia + bipolar affective disord resolved",res76: Affective psychotic disorders,diagnostic
Read,E11y100,Atypical manic disorder,res76: Affective psychotic disorders,diagnostic
Read,1BY..00,Elevated mood,res76: Affective psychotic disorders,symptom
Read,E110400,"Single manic episode, severe, with psychosis",res76: Affective psychotic disorders,diagnostic
Read,E110.11,Hypomanic psychoses,res76: Affective psychotic disorders,diagnostic
Read,E11z.00,Other and unspecified affective psychoses,res76: Affective psychotic disorders,diagnostic
Read,Eu20400,[X]Post-schizophrenic depression,res76: Affective psychotic disorders,diagnostic
Read,E117500,"Unspecified bipolar affect disord, partial/unspec remission",res76: Affective psychotic disorders,diagnostic
Read,ZV11111,[V]Personal history of manic-depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,Eu31600,"[X]Bipolar affective disorder, current episode mixed",res76: Affective psychotic disorders,diagnostic
Read,ZV11112,[V]Personal history of manic-depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,Eu33313,[X]Recurr severe episodes/major depression+psychotic symptom,res76: Affective psychotic disorders,diagnostic
Read,Eu30200,[X]Mania with psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,Eu31100,[X]Bipolar affect disorder cur epi manic wout psychotic symp,res76: Affective psychotic disorders,diagnostic
Read,Eu33311,[X]Endogenous depression with psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,E112400,"Single major depressive episode, severe, with psychosis",res76: Affective psychotic disorders,diagnostic
Read,Eu31400,"[X]Bipol aff disord, curr epis sev depress, no psychot symp",res76: Affective psychotic disorders,diagnostic
Read,E11z000,Unspecified affective psychoses NOS,res76: Affective psychotic disorders,diagnostic
Read,1S42.00,Manic mood,res76: Affective psychotic disorders,diagnostic
Read,Eu32312,[X]Single episode of psychogenic depressive psychosis,res76: Affective psychotic disorders,diagnostic
Read,Eu32313,[X]Single episode of psychotic depression,res76: Affective psychotic disorders,diagnostic
Read,1BU..00,Loss of hope for the future,res76: Affective psychotic disorders,symptom
Read,Eu32311,[X]Single episode of major depression and psychotic symptoms,res76: Affective psychotic disorders,diagnostic
Read,Eu31y00,[X]Other bipolar affective disorders,res76: Affective psychotic disorders,diagnostic
Read,E113400,"Recurrent major depressive episodes, severe, with psychosis",res76: Affective psychotic disorders,diagnostic
Read,E116400,"Mixed bipolar affective disorder, severe, with psychosis",res76: Affective psychotic disorders,diagnostic
Read,Eu30y00,[X]Other manic episodes,res76: Affective psychotic disorders,diagnostic
Read,E11y300,Other mixed manic-depressive psychoses,res76: Affective psychotic disorders,diagnostic
Read,E114400,"Bipolar affect disord, currently manic,severe with psychosis",res76: Affective psychotic disorders,diagnostic
Read,E116600,"Mixed bipolar affective disorder, in full remission",res76: Affective psychotic disorders,diagnostic
Read,E111400,"Recurrent manic episodes, severe, with psychosis",res76: Affective psychotic disorders,diagnostic
Read,E107000,Unspecified schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E116300,"Mixed bipolar affective disorder, severe, without psychosis",res76: Affective psychotic disorders,diagnostic
Read,E107500,Schizo-affective schizophrenia in remission,res76: Affective psychotic disorders,diagnostic
Read,E115600,"Bipolar affective disorder, now depressed, in full remission",res76: Affective psychotic disorders,diagnostic
Read,Eu25y00,[X]Other schizoaffective disorders,res76: Affective psychotic disorders,diagnostic
Read,E114z00,"Bipolar affective disorder, currently manic, NOS",res76: Affective psychotic disorders,diagnostic
Read,E111500,"Recurrent manic episodes, partial or unspecified remission",res76: Affective psychotic disorders,diagnostic
Read,E114500,"Bipolar affect disord,currently manic, part/unspec remission",res76: Affective psychotic disorders,diagnostic
Read,E107300,Acute exacerbation subchronic schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E11y.00,Other and unspecified manic-depressive psychoses,res76: Affective psychotic disorders,diagnostic
Read,E116200,"Mixed bipolar affective disorder, moderate",res76: Affective psychotic disorders,diagnostic
Read,E107100,Subchronic schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E110600,Single manic episode in full remission,res76: Affective psychotic disorders,diagnostic
Read,E115400,"Bipolar affect disord, now depressed, severe with psychosis",res76: Affective psychotic disorders,diagnostic
Read,E107400,Acute exacerbation of chronic schizo-affective schizophrenia,res76: Affective psychotic disorders,diagnostic
Read,E116z00,"Mixed bipolar affective disorder, NOS",res76: Affective psychotic disorders,diagnostic
Read,E116500,"Mixed bipolar affective disorder, partial/unspec remission",res76: Affective psychotic disorders,diagnostic
Read,E117100,"Unspecified bipolar affective disorder, mild",res76: Affective psychotic disorders,diagnostic
Read,E114600,"Bipolar affective disorder, currently manic, full remission",res76: Affective psychotic disorders,diagnostic
Read,E111300,"Recurrent manic episodes, severe without mention psychosis",res76: Affective psychotic disorders,diagnostic
Read,Eu31.13,[X]Manic-depressive reaction,res76: Affective psychotic disorders,diagnostic
Read,E117200,"Unspecified bipolar affective disorder, moderate",res76: Affective psychotic disorders,diagnostic
Read,E117400,"Unspecified bipolar affective disorder,severe with psychosis",res76: Affective psychotic disorders,diagnostic
