Coding System (Read),Codes,Description,Entity type,Category
Read,E250000,"Nondependent alcohol abuse, unspecified",res76: Alcohol abuse,diagnostic
Read,E23..11,Alcoholism,res76: Alcohol abuse,diagnostic
Read,E01y000,Alcohol withdrawal syndrome,res76: Alcohol abuse,diagnostic
Read,8BA8.00,Alcohol detoxification,res76: Alcohol abuse,diagnostic
Read,E23..00,Alcohol dependence syndrome,res76: Alcohol abuse,diagnostic
Read,F375.00,Alcoholic polyneuropathy,res76: Alcohol abuse,diagnostic
Read,J611.00,Acute alcoholic hepatitis,res76: Alcohol abuse,diagnostic
Read,E011000,Korsakov's alcoholic psychosis,res76: Alcohol abuse,diagnostic
Read,J153.00,Alcoholic gastritis,res76: Alcohol abuse,diagnostic
Read,J612.00,Alcoholic cirrhosis of liver,res76: Alcohol abuse,diagnostic
Read,G555.00,Alcoholic cardiomyopathy,res76: Alcohol abuse,diagnostic
Read,Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,res76: Alcohol abuse,diagnostic
Read,E230.00,Acute alcoholic intoxication in alcoholism,res76: Alcohol abuse,diagnostic
Read,Eu10212,[X]Chronic alcoholism,res76: Alcohol abuse,diagnostic
Read,E23z.00,Alcohol dependence syndrome NOS,res76: Alcohol abuse,diagnostic
Read,Eu10511,[X]Alcoholic hallucinosis,res76: Alcohol abuse,diagnostic
Read,ZV11300,[V]Personal history of alcoholism,res76: Alcohol abuse,diagnostic
Read,J617000,Chronic alcoholic hepatitis,res76: Alcohol abuse,diagnostic
Read,E250.00,Nondependent alcohol abuse,res76: Alcohol abuse,diagnostic
Read,J613.00,Alcoholic liver damage unspecified,res76: Alcohol abuse,diagnostic
Read,J617.00,Alcoholic hepatitis,res76: Alcohol abuse,diagnostic
Read,ZV6D600,[V]Alcohol abuse counselling and surveillance,res76: Alcohol abuse,diagnostic
Read,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,res76: Alcohol abuse,diagnostic
Read,1462.00,H/O: alcoholism,res76: Alcohol abuse,diagnostic
Read,8H7p.00,Referral to community alcohol team,res76: Alcohol abuse,diagnostic
Read,2577.11,O/E - alcoholic breath,res76: Alcohol abuse,symptom
Read,J610.00,Alcoholic fatty liver,res76: Alcohol abuse,diagnostic
Read,E011100,Korsakov's alcoholic psychosis with peripheral neuritis,res76: Alcohol abuse,diagnostic
Read,Eu10611,"[X]Korsakov's psychosis, alcohol induced",res76: Alcohol abuse,diagnostic
Read,Eu10500,[X]Mental & behav dis due to use alcohol: psychotic disorder,res76: Alcohol abuse,diagnostic
Read,66e..00,Alcohol disorder monitoring,res76: Alcohol abuse,diagnostic
Read,8HHe.00,Referral to community drug and alcohol team,res76: Alcohol abuse,diagnostic
Read,E250200,"Nondependent alcohol abuse, episodic",res76: Alcohol abuse,diagnostic
Read,1369.00,Suspect alcohol abuse - denied,res76: Alcohol abuse,symptom
Read,E010.00,Alcohol withdrawal delirium,res76: Alcohol abuse,diagnostic
Read,E01..00,Alcoholic psychoses,res76: Alcohol abuse,diagnostic
Read,Eu10411,"[X]Delirium tremens, alcohol induced",res76: Alcohol abuse,diagnostic
Read,J613000,Alcoholic hepatic failure,res76: Alcohol abuse,diagnostic
Read,Eu10514,[X]Alcoholic psychosis NOS,res76: Alcohol abuse,diagnostic
Read,13Y8.00,Alcoholics anonymous,res76: Alcohol abuse,diagnostic
Read,E011200,Wernicke-Korsakov syndrome,res76: Alcohol abuse,diagnostic
Read,136R.00,Binge drinker,res76: Alcohol abuse,symptom
Read,136S.00,Hazardous alcohol use,res76: Alcohol abuse,diagnostic
Read,Eu10300,[X]Mental and behav dis due to use alcohol: withdrawal state,res76: Alcohol abuse,diagnostic
Read,E011.00,Alcohol amnestic syndrome,res76: Alcohol abuse,diagnostic
Read,E230200,Episodic acute alcoholic intoxication in alcoholism,res76: Alcohol abuse,diagnostic
Read,J612000,Alcoholic fibrosis and sclerosis of liver,res76: Alcohol abuse,diagnostic
Read,Eu10100,[X]Mental and behav dis due to use of alcohol: harmful use,res76: Alcohol abuse,diagnostic
Read,E250100,"Nondependent alcohol abuse, continuous",res76: Alcohol abuse,diagnostic
Read,E231100,Continuous chronic alcoholism,res76: Alcohol abuse,diagnostic
Read,E231300,Chronic alcoholism in remission,res76: Alcohol abuse,diagnostic
Read,J671000,Alcohol-induced chronic pancreatitis,res76: Alcohol abuse,diagnostic
Read,E013.00,Alcohol withdrawal hallucinosis,res76: Alcohol abuse,diagnostic
Read,E231200,Episodic chronic alcoholism,res76: Alcohol abuse,diagnostic
Read,Eu10711,[X]Alcoholic dementia NOS,res76: Alcohol abuse,diagnostic
Read,E012.11,Alcoholic dementia NOS,res76: Alcohol abuse,diagnostic
Read,E250z00,Nondependent alcohol abuse NOS,res76: Alcohol abuse,diagnostic
Read,Eu10211,[X]Alcohol addiction,res76: Alcohol abuse,diagnostic
Read,8G32.00,Aversion therapy - alcoholism,res76: Alcohol abuse,diagnostic
Read,Eu10513,[X]Alcoholic paranoia,res76: Alcohol abuse,diagnostic
Read,E015.00,Alcoholic paranoia,res76: Alcohol abuse,diagnostic
Read,Z4B1.00,Alcoholism counselling,res76: Alcohol abuse,diagnostic
Read,F25B.00,Alcohol-induced epilepsy,res76: Alcohol abuse,diagnostic
Read,136T.00,Harmful alcohol use,res76: Alcohol abuse,diagnostic
Read,E231.00,Chronic alcoholism,res76: Alcohol abuse,diagnostic
Read,E250300,Nondependent alcohol abuse in remission,res76: Alcohol abuse,diagnostic
Read,F394100,Alcoholic myopathy,res76: Alcohol abuse,diagnostic
Read,Eu10800,[X]Alcohol withdrawal-induced seizure,res76: Alcohol abuse,diagnostic
Read,66e0.00,Alcohol abuse monitoring,res76: Alcohol abuse,diagnostic
Read,E231z00,Chronic alcoholism NOS,res76: Alcohol abuse,diagnostic
Read,E01y.00,Other alcoholic psychosis,res76: Alcohol abuse,diagnostic
Read,F144000,Cerebellar ataxia due to alcoholism,res76: Alcohol abuse,diagnostic
Read,E230z00,Acute alcoholic intoxication in alcoholism NOS,res76: Alcohol abuse,diagnostic
Read,F11x011,Alcoholic encephalopathy,res76: Alcohol abuse,diagnostic
Read,Eu10712,[X]Chronic alcoholic brain syndrome,res76: Alcohol abuse,diagnostic
Read,E012000,Chronic alcoholic brain syndrome,res76: Alcohol abuse,diagnostic
Read,1B1c.00,Alcohol induced hallucinations,res76: Alcohol abuse,diagnostic
Read,Eu10200,[X]Mental and behav dis due to use alcohol: dependence syndr,res76: Alcohol abuse,diagnostic
Read,Eu10600,[X]Mental and behav dis due to use alcohol: amnesic syndrome,res76: Alcohol abuse,diagnostic
Read,E230000,"Acute alcoholic intoxication, unspecified, in alcoholism",res76: Alcohol abuse,diagnostic
Read,E011z00,Alcohol amnestic syndrome NOS,res76: Alcohol abuse,diagnostic
Read,Z191.00,Alcohol detoxification,res76: Alcohol abuse,diagnostic
Read,E231000,Unspecified chronic alcoholism,res76: Alcohol abuse,diagnostic
Read,Eu10y00,[X]Men & behav dis due to use alcohol: oth men & behav dis,res76: Alcohol abuse,diagnostic
Read,F11x000,Cerebral degeneration due to alcoholism,res76: Alcohol abuse,diagnostic
Read,E012.00,Other alcoholic dementia,res76: Alcohol abuse,diagnostic
Read,7P22100,Delivery of rehabilitation for alcohol addiction,res76: Alcohol abuse,diagnostic
Read,E230100,Continuous acute alcoholic intoxication in alcoholism,res76: Alcohol abuse,diagnostic
Read,E230.11,Alcohol dependence with acute alcoholic intoxication,res76: Alcohol abuse,diagnostic
Read,E014.00,Pathological alcohol intoxication,res76: Alcohol abuse,diagnostic
