Coding System (Read),Codes,Description,Entity type,Category
Read,Eu40214,[X]Simple phobia,res76: Anxiety and neurotic disorders,diagnostic
Read,1B1V.00,C/O - panic attack,res76: Anxiety and neurotic disorders,symptom
Read,Eu40z12,[X]Phobic state NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45215,[X]Nosophobia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45500,[X]Globus pharyngeus,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu46y13,"[X]Occupational neurosis, including writer's cramp",res76: Anxiety and neurotic disorders,diagnostic
Read,E292311,Specific academic or work inhibition,res76: Anxiety and neurotic disorders,diagnostic
Read,E202.12,Phobic anxiety,res76: Anxiety and neurotic disorders,diagnostic
Read,E202D00,Fear of death,res76: Anxiety and neurotic disorders,diagnostic
Read,R2y2.12,[D]Nervous tension,res76: Anxiety and neurotic disorders,symptom
Read,Eu40200,[X]Specific (isolated) phobias,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu41100,[X]Generalized anxiety disorder,res76: Anxiety and neurotic disorders,diagnostic
Read,E264311,Spurious diarrhoea,res76: Anxiety and neurotic disorders,diagnostic
Read,E262300,Psychogenic cardiovascular disorder,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45316,[X]Psychogenic cough,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu40213,[X]Claustrophobia,res76: Anxiety and neurotic disorders,diagnostic
Read,Z7CG400,Flashbacks,res76: Anxiety and neurotic disorders,symptom
Read,Eu45214,[X]Hypochondriasis,res76: Anxiety and neurotic disorders,diagnostic
Read,146G.00,H/O: agoraphobia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu44y14,[X]Psychogenic twilight state,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu44y11,[X]Ganser's syndrome,res76: Anxiety and neurotic disorders,diagnostic
Read,E29y100,Other post-traumatic stress disorder,res76: Anxiety and neurotic disorders,diagnostic
Read,E278200,Psychogenic backache,res76: Anxiety and neurotic disorders,diagnostic
Read,E201200,Hysterical deafness,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu46y16,[X]Psychogenic syncope,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45y11,[X]Psychogenic dysmenorrhoea,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu40211,[X]Acrophobia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu40100,[X]Social phobias,res76: Anxiety and neurotic disorders,diagnostic
Read,E201611,"Astasia - abasia, hysterical",res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45311,[X]Cardiac neurosis,res76: Anxiety and neurotic disorders,diagnostic
Read,E264500,Psychogenic constipation,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu41300,[X]Other mixed anxiety disorders,res76: Anxiety and neurotic disorders,diagnostic
Read,E261000,Psychogenic air hunger,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45314,[X]Neurocirculatory asthenia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu43400,[X]Chron post-traumatic stress disorder follow military comb,res76: Anxiety and neurotic disorders,diagnostic
Read,E202300,"Social phobia, fear of eating in public",res76: Anxiety and neurotic disorders,diagnostic
Read,E260.00,Psychogenic musculoskeletal symptoms,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu46y00,[X]Other specified neurotic disorders,res76: Anxiety and neurotic disorders,diagnostic
Read,E20yz00,Other neurotic disorder NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu40112,[X]Social neurosis,res76: Anxiety and neurotic disorders,diagnostic
Read,E2z..00,Neuroses or other mental disorder NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,E201900,Multiple personality,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45317,[X]Psychogenic diarrhoea,res76: Anxiety and neurotic disorders,diagnostic
Read,E201000,Hysteria unspecified,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu43300,[X]Acute post-traumatic stress disorder follow military comb,res76: Anxiety and neurotic disorders,diagnostic
Read,E203z00,Obsessive-compulsive disorder NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,E263000,Psychogenic pruritus,res76: Anxiety and neurotic disorders,diagnostic
Read,E20y200,Other occupational neurosis,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45325,[X]Psychogenic pylorospasm,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45324,[X]Psychogenic IBS,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45511,[X]Globus hystericus,res76: Anxiety and neurotic disorders,diagnostic
Read,1B13.12,Anxious,res76: Anxiety and neurotic disorders,symptom
Read,E261100,Psychogenic cough,res76: Anxiety and neurotic disorders,diagnostic
Read,ZS7C700,Post-traumatic mutism,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu46y15,[X]Psychasthenia neurosis,res76: Anxiety and neurotic disorders,diagnostic
Read,E26yz00,Other psychogenic malfunction NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,E262200,Neurocirculatory asthenia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu44511,[X]Pseudoseizures,res76: Anxiety and neurotic disorders,diagnostic
Read,E20y000,Somatization disorder,res76: Anxiety and neurotic disorders,diagnostic
Read,E264300,Psychogenic diarrhoea,res76: Anxiety and neurotic disorders,diagnostic
Read,E260000,Psychogenic paralysis,res76: Anxiety and neurotic disorders,diagnostic
Read,E262000,Cardiac neurosis,res76: Anxiety and neurotic disorders,diagnostic
Read,E2...00,"Neurotic, personality and other nonpsychotic disorders",res76: Anxiety and neurotic disorders,diagnostic
Read,E263z00,Psychogenic skin symptoms NOS,res76: Anxiety and neurotic disorders,diagnostic
Read,E261500,Psychogenic aphonia,res76: Anxiety and neurotic disorders,diagnostic
Read,E2y..00,Other specified neuroses or other mental disorders,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu40300,[X]Needle phobia,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu34114,[X]Persistant anxiety depression,res76: Anxiety and neurotic disorders,diagnostic
Read,E20y.00,Other neurotic disorders,res76: Anxiety and neurotic disorders,diagnostic
Read,E265200,Psychogenic dysmenorrhea,res76: Anxiety and neurotic disorders,diagnostic
Read,Eu45312,[X]Da Costa's syndrome,res76: Anxiety and neurotic disorders,diagnostic
