Coding System (Read),Codes,Description,Entity type,Category
Read,Eu20600,[X]Simple schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E13..00,Other nonorganic psychoses,res76: Non-affective psychotic disorders,diagnostic
Read,E100.00,Simple schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E104.00,Acute schizophrenic episode,res76: Non-affective psychotic disorders,diagnostic
Read,Eu2z.11,[X]Psychosis NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E12yz00,Other paranoid states NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22011,[X]Paranoid psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,1BH..00,Delusions,res76: Non-affective psychotic disorders,diagnostic
Read,1B1E.00,Hallucinations,res76: Non-affective psychotic disorders,symptom
Read,E103.00,Paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E10..00,Schizophrenic disorders,res76: Non-affective psychotic disorders,diagnostic
Read,E13z.00,Nonorganic psychosis NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E12y.00,Other paranoid states,res76: Non-affective psychotic disorders,diagnostic
Read,8HHs.00,Referral to psychosis early intervention service,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23z11,[X]Brief reactive psychosis NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23112,[X]Cycloid psychosis with symptoms of schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E120.00,Simple paranoid state,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23312,[X]Psychogenic paranoid psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,E101.00,Hebephrenic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E13yz00,Other reactive psychoses NOS,res76: Non-affective psychotic disorders,diagnostic
Read,146H.00,H/O: psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,285..11,"Psychotic condition, insight present",res76: Non-affective psychotic disorders,diagnostic
Read,R001.00,[D]Hallucinations,res76: Non-affective psychotic disorders,symptom
Read,E12..00,Paranoid states,res76: Non-affective psychotic disorders,diagnostic
Read,E100200,Chronic schizophrenic,res76: Non-affective psychotic disorders,diagnostic
Read,E13z.11,Psychotic episode NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E121.00,Chronic paranoid psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,E12z.00,Paranoid psychosis NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E132.00,Reactive confusion,res76: Non-affective psychotic disorders,diagnostic
Read,1464.00,H/O: schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22015,[X]Paranoia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu2z.00,[X]Unspecified nonorganic psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,E10z.00,Schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu0z.12,[X]Symptomatic psychosis NOS,res76: Non-affective psychotic disorders,symptom
Read,E103z00,Paranoid schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22012,[X]Paranoid state,res76: Non-affective psychotic disorders,diagnostic
Read,Eu24.13,[X]Induced psychotic disorder,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23200,[X]Acute schizophrenia-like psychotic disorder,res76: Non-affective psychotic disorders,diagnostic
Read,R001400,[D]Visual hallucinations,res76: Non-affective psychotic disorders,symptom
Read,225E.00,O/E - paranoid delusions,res76: Non-affective psychotic disorders,diagnostic
Read,R001000,"[D]Hallucinations, auditory",res76: Non-affective psychotic disorders,symptom
Read,E13..11,Reactive psychoses,res76: Non-affective psychotic disorders,diagnostic
Read,E1y..00,Other specified non-organic psychoses,res76: Non-affective psychotic disorders,diagnostic
Read,E133.00,Acute paranoid reaction,res76: Non-affective psychotic disorders,diagnostic
Read,E122.00,Paraphrenia,res76: Non-affective psychotic disorders,diagnostic
Read,F481K00,Visual hallucinations,res76: Non-affective psychotic disorders,symptom
Read,E13y.00,Other reactive psychoses,res76: Non-affective psychotic disorders,diagnostic
Read,E100000,Unspecified schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E1...00,Non-organic psychoses,res76: Non-affective psychotic disorders,diagnostic
Read,R001z00,[D]Hallucinations NOS,res76: Non-affective psychotic disorders,symptom
Read,Eu20000,[X]Paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E130.11,Psychotic reactive depression,res76: Non-affective psychotic disorders,diagnostic
Read,Eu2..00,"[X]Schizophrenia, schizotypal and delusional disorders",res76: Non-affective psychotic disorders,diagnostic
Read,Eu20y13,[X]Schizophrenifrm psychos NOS,res76: Non-affective psychotic disorders,diagnostic
Read,1BH..11,Delusion,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20211,[X]Catatonic stupor,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23012,[X]Cycloid psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23100,[X]Acute polymorphic psychot disord with symp of schizophren,res76: Non-affective psychotic disorders,diagnostic
Read,ZV11000,[V]Personal history of schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E1z..00,Non-organic psychosis NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E13y100,Brief reactive psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,1BH3.00,Paranoid ideation,res76: Non-affective psychotic disorders,symptom
Read,286..11,Poor insight into psychotic condition,res76: Non-affective psychotic disorders,diagnostic
Read,E134.00,Psychogenic paranoid psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,E100100,Subchronic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20511,[X]Chronic undifferentiated schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22.00,[X]Persistent delusional disorders,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22y13,[X]Paranoia querulans,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23.00,[X]Acute and transient psychotic disorders,res76: Non-affective psychotic disorders,diagnostic
Read,Eu2y.00,[X]Other nonorganic psychotic disorders,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23z12,[X]Reactive psychosis,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20214,[X]Schizophrenic flexibilatis cerea,res76: Non-affective psychotic disorders,diagnostic
Read,E10y.00,Other schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu24.00,[X]Induced delusional disorder,res76: Non-affective psychotic disorders,diagnostic
Read,1BH0.00,Delusion of persecution,res76: Non-affective psychotic disorders,diagnostic
Read,Eu25112,"[X]Schizophreniform psychosis, depressive type",res76: Non-affective psychotic disorders,diagnostic
Read,Eu20100,[X]Hebephrenic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23300,[X]Other acute predominantly delusional psychotic disorders,res76: Non-affective psychotic disorders,diagnostic
Read,E100400,Acute exacerbation of chronic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E123.11,Folie a deux,res76: Non-affective psychotic disorders,diagnostic
Read,Eu24.12,[X]Induced paranoid disorder,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23y00,[X]Other acute and transient psychotic disorders,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20y00,[X]Other schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E101z00,Hebephrenic schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22013,[X]Paraphrenia - late,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20213,[X]Schizophrenic catatonia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22y12,[X]Involutional paranoid state,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22z00,"[X]Persistent delusional disorder, unspecified",res76: Non-affective psychotic disorders,diagnostic
Read,E10yz00,Other schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.16,[X]Pseudoneurotic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20011,[X]Paraphrenic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23011,[X]Bouffee delirante,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.12,[X]Borderline schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E103400,Acute exacerbation of chronic paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E102.00,Catatonic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.15,[X]Prodromal schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu25012,"[X]Schizophreniform psychosis, manic type",res76: Non-affective psychotic disorders,diagnostic
Read,225F.00,O/E - delusion of persecution,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20111,[X]Disorganised schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E100z00,Simple schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E100500,Schizophrenia in remission,res76: Non-affective psychotic disorders,diagnostic
Read,E100300,Acute exacerbation of subchronic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22111,[X]Capgras syndrome,res76: Non-affective psychotic disorders,diagnostic
Read,E102000,Unspecified catatonic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E103300,Acute exacerbation of subchronic paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E10y100,Coenesthopathic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E123.00,Shared paranoid disorder,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23211,[X]Brief schizophreniform disorder,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.14,[X]Prepsychotic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20300,[X]Undifferentiated schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20200,[X]Catatonic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22100,[X]Delusional misidentification syndrome,res76: Non-affective psychotic disorders,diagnostic
Read,E105.00,Latent schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20500,[X]Residual schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22200,[X]Cotard syndrome,res76: Non-affective psychotic disorders,diagnostic
Read,E102z00,Catatonic schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20212,[X]Schizophrenic catalepsy,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.13,[X]Latent schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22y00,[X]Other persistent delusional disorders,res76: Non-affective psychotic disorders,diagnostic
Read,Eu22014,[X]Sensitiver Beziehungswahn,res76: Non-affective psychotic disorders,diagnostic
Read,E101000,Unspecified hebephrenic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E133.11,Bouffee delirante,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.17,[X]Pseudopsychopathic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23212,[X]Brief schizophrenifrm psych,res76: Non-affective psychotic disorders,diagnostic
Read,E101500,Hebephrenic schizophrenia in remission,res76: Non-affective psychotic disorders,diagnostic
Read,E12y000,Paranoia querulans,res76: Non-affective psychotic disorders,diagnostic
Read,E101400,Acute exacerbation of chronic hebephrenic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E100.11,Schizophrenia simplex,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20y12,[X]Schizophreniform disord NOS,res76: Non-affective psychotic disorders,diagnostic
Read,212X.00,Psychosis resolved,res76: Non-affective psychotic disorders,diagnostic
Read,212W.00,Schizophrenia resolved,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.11,[X]Latent schizophrenic reaction,res76: Non-affective psychotic disorders,diagnostic
Read,Eu20311,[X]Atypical schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E103200,Chronic paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E104.11,Oneirophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E10y.11,Cenesthopathic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E105200,Chronic latent schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E105500,Latent schizophrenia in remission,res76: Non-affective psychotic disorders,diagnostic
Read,Eu23214,[X]Schizophrenic reaction,res76: Non-affective psychotic disorders,diagnostic
Read,Eu26.00,[X]Nonorganic psychosis in remission,res76: Non-affective psychotic disorders,diagnostic
Read,1BH2.00,Ideas of reference,res76: Non-affective psychotic disorders,symptom
Read,Eu22300,[X]Paranoid state in remission,res76: Non-affective psychotic disorders,diagnostic
Read,E102100,Subchronic catatonic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E105z00,Latent schizophrenia NOS,res76: Non-affective psychotic disorders,diagnostic
Read,E105000,Unspecified latent schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E102500,Catatonic schizophrenia in remission,res76: Non-affective psychotic disorders,diagnostic
Read,E103100,Subchronic paranoid schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,E102400,Acute exacerbation of chronic catatonic schizophrenia,res76: Non-affective psychotic disorders,diagnostic
Read,Eu24.11,[X]Folie a deux,res76: Non-affective psychotic disorders,diagnostic
Read,Eu21.00,[X]Schizotypal disorder,res76: Non-affective psychotic disorders,diagnostic
