Coding System (Read),Codes,Description,Entity type,Category
Read,8Hq..00,Admission to substance misuse detoxification centre,res76: Substance misuse,diagnostic
Read,E257100,"Nondependent amphetamine/psychostimulant abuse, continuous",res76: Substance misuse,diagnostic
Read,13cM.00,Substance misuse,res76: Substance misuse,diagnostic
Read,9G2Z.00,Drug addiction notif NOS,res76: Substance misuse,diagnostic
Read,1V0C.00,Drug addict,res76: Substance misuse,diagnostic
Read,Eu15.00,[X]Mental & behav disorder due other stimulants inc caffein,res76: Substance misuse,diagnostic
Read,Z1Q6200,Methadone maintenance,res76: Substance misuse,diagnostic
Read,8BAc.00,Substance misuse management stopped - self withdrawal,res76: Substance misuse,diagnostic
Read,677T.00,Substance misuse structured counselling,res76: Substance misuse,diagnostic
Read,E256300,Nondependent cocaine abuse in remission,res76: Substance misuse,diagnostic
Read,1T91.00,H/O weekly solvent misuse,res76: Substance misuse,diagnostic
Read,E246z00,Glue sniffing dependence NOS,res76: Substance misuse,diagnostic
Read,1V08.00,Smokes drugs in cigarette form,res76: Substance misuse,symptom
Read,9HC1.00,Follow up substance misuse assessment,res76: Substance misuse,diagnostic
Read,Eu14300,[X]Mental and behav dis due to use cocaine: withdrawal state,res76: Substance misuse,diagnostic
Read,E259300,Nondependent mixed drug abuse in remission,res76: Substance misuse,diagnostic
Read,E253100,"Nondependent hallucinogen abuse, continuous",res76: Substance misuse,diagnostic
Read,E259000,"Nondependent mixed drug abuse, unspecified",res76: Substance misuse,diagnostic
Read,9k51.00,Shared care drug misuse treatment - enhanced services admin,res76: Substance misuse,diagnostic
Read,E255100,"Nondependent opioid abuse, continuous",res76: Substance misuse,diagnostic
Read,1V02.00,Poly-drug misuser,res76: Substance misuse,diagnostic
Read,Eu12200,[X]Mental and behav dis due to cannabinoids: dependence synd,res76: Substance misuse,diagnostic
Read,9No5.00,Seen in substance misuse clinic,res76: Substance misuse,diagnostic
Read,Eu12700,[X]Mnt/bh dis due cannabinds: resid & late-onset psychot dis,res76: Substance misuse,diagnostic
Read,9kS..00,Drug misuse assessment declined - enhanced services administ,res76: Substance misuse,diagnostic
Read,Eu15z00,[X]Ment/beh dis oth stims inc caffeine: unsp ment/behav disd,res76: Substance misuse,diagnostic
Read,1V01.00,Long-term drug misuser,res76: Substance misuse,diagnostic
Read,Eu19700,[X]Men/beh dis mlt drg use/oth subs: resid/late psychot dis,res76: Substance misuse,diagnostic
Read,Eu11400,[X]Men & behav dis due opioid: withdrawl state with delirium,res76: Substance misuse,diagnostic
Read,Eu16500,[X]Mental & behav dis due to hallucinogens: psychotic disord,res76: Substance misuse,diagnostic
Read,E246100,"Glue sniffing dependence, continuous",res76: Substance misuse,diagnostic
