Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,65618,Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40815,Tardcaps XL 75mg capsules (IXL Pharma Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,65555,Mirtazapine 15mg orodispersible tablets (Sigma Pharmaceuticals Plc),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,65483,Vortioxetine 10mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73414,Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71543,Mirtazapine 30mg tablets (Sigma Pharmaceuticals Plc),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,7153,Duloxetine 20mg gastro-resistant capsules,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,7147,Duloxetine 40mg gastro-resistant capsules,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71806,Amphero XL 75mg capsules (Mylan),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40165,Paroxetine 30mg tablets (Actavis UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71782,Venlafaxine 150mg modified-release capsules (Mawdsley-Brooks & Company Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,76317,Dosulepin 25mg capsules (Strides Pharma UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71669,Duloxetine 20mg gastro-resistant capsules (Zentiva),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71848,Citalopram 20mg/5ml oral suspension,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71852,Fluoxetine 20mg capsules (Accord Healthcare Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40062,Venlalic XL 150mg tablets (Ethypharm UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,71932,Venlasov XL 150mg capsules (Sovereign Medical Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72211,Duloxetine 60mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72124,Citalopram 40mg/ml oral drops sugar free (Teva UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73363,Doxepin 50mg/5ml oral solution,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72626,Nortriptyline 10mg/5ml oral solution,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72373,Citalopram 20mg tablets (Ranbaxy (UK) Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72291,Trazodone 100mg/5ml oral solution sugar free,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,7751,Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,727,Sertraline 100mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73298,Depalta 30mg gastro-resistant capsules (Disposable Medical Equipment Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,7328,Sertraline 50mg/5ml oral suspension,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,72773,Escitalopram 20mg tablets (Teva UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73589,Seroxat 20mg tablets (Lexon (UK) Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,4020,Trazodone 150mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73417,Citalopram 20mg tablets (PLIVA Pharma Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40494,Agomelatine 25mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,7475,AMOXAPINE 25 MG TAB,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73540,Depalta 60mg gastro-resistant capsules (Disposable Medical Equipment Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73419,Trazodone 150mg tablets (A A H Pharmaceuticals Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73868,Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73636,Trazodone 150mg tablets (Actavis UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73639,Trazodone 100mg capsules (Actavis UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73658,Venlafaxine 75mg tablets (Actavis UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73759,Sertraline 20mg/5ml oral suspension,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73668,Paroxetine 20mg tablets (Almus Pharmaceuticals Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73667,Venlafaxine 37.5mg tablets (Actavis UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74753,Citalopram 30mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74,Dosulepin 75mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,73962,Sertraline 100mg tablets (Wockhardt UK Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,742,Mirtazapine 30mg tablets,res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74010,Efexor XL 150mg capsules (Necessity Supplies Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40092,Vensir XL 150mg capsules (Morningside Healthcare Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74190,Duciltia 60mg gastro-resistant capsules (Aristo Pharma Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74011,Efexor XL 75mg capsules (Dowelhurst Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,74688,Fluanxol 500microgram tablets (Necessity Supplies Ltd),res173: Antidepressants (CPRD GOLD),drug
CPRD_product_code,40048,ViePax XL 75mg tablets (Dexcel-Pharma Ltd),res173: Antidepressants (CPRD GOLD),drug
