Coding System (Read),Codes,Description,Entity type,Category
Read,E203.00,Obsessive-compulsive disorders,res173: Anxiety (Read codes),diagnostic
Read,8HHp.00,Referral for guided self-help for anxiety,res173: Anxiety (Read codes),diagnostic
Read,Eu34114,[X]Persistant anxiety depression,res173: Anxiety (Read codes),diagnostic
Read,8G94.00,Anxiety management training,res173: Anxiety (Read codes),diagnostic
Read,8G52.00,Antiphobic therapy,res173: Anxiety (Read codes),diagnostic
Read,8CAZ000,Patient given advice about management of anxiety,res173: Anxiety (Read codes),diagnostic
Read,225J.00,O/E - panic attack,res173: Anxiety (Read codes),diagnostic
Read,1B1V.00,C/O - panic attack,res173: Anxiety (Read codes),diagnostic
Read,8IH5300,Referral for guided self-help for anxiety declined,res173: Anxiety (Read codes),diagnostic
Read,Eu05400,[X]Organic anxiety disorder,res173: Anxiety (Read codes),diagnostic
Read,E202200,Agoraphobia without mention of panic attacks,res173: Anxiety (Read codes),diagnostic
Read,E200400,Chronic anxiety,res173: Anxiety (Read codes),diagnostic
Read,E200300,Anxiety with depression,res173: Anxiety (Read codes),diagnostic
Read,E200100,Panic disorder,res173: Anxiety (Read codes),diagnostic
Read,E200200,Generalised anxiety disorder,res173: Anxiety (Read codes),diagnostic
Read,E200111,Panic attack,res173: Anxiety (Read codes),diagnostic
Read,E202.11,Social phobic disorders,res173: Anxiety (Read codes),diagnostic
Read,E202199,Agoraphobia,res173: Anxiety (Read codes),diagnostic
Read,E202.00,Phobic disorders,res173: Anxiety (Read codes),diagnostic
Read,E200500,Recurrent anxiety,res173: Anxiety (Read codes),diagnostic
Read,E202100,Agoraphobia with panic attacks,res173: Anxiety (Read codes),diagnostic
Read,E202.12,Phobic anxiety,res173: Anxiety (Read codes),diagnostic
Read,E202000,Phobia unspecified,res173: Anxiety (Read codes),diagnostic
Read,E202.99,Phobic state,res173: Anxiety (Read codes),diagnostic
Read,E202300,"Social phobia, fear of eating in public",res173: Anxiety (Read codes),diagnostic
Read,E29y199,Chron post-traum stress dis,res173: Anxiety (Read codes),diagnostic
Read,E202z00,Phobic disorder NOS,res173: Anxiety (Read codes),diagnostic
Read,E202299,Agoraphobia,res173: Anxiety (Read codes),diagnostic
Read,E202800,Claustrophobia,res173: Anxiety (Read codes),diagnostic
Read,E202400,"Social phobia, fear of public speaking",res173: Anxiety (Read codes),diagnostic
Read,E202600,Acrophobia,res173: Anxiety (Read codes),diagnostic
Read,E202500,"Social phobia, fear of public washing",res173: Anxiety (Read codes),diagnostic
Read,E203.11,Anancastic neurosis,res173: Anxiety (Read codes),diagnostic
Read,E28z.12,Flying phobia,res173: Anxiety (Read codes),diagnostic
Read,E202z99,Other phobias,res173: Anxiety (Read codes),diagnostic
Read,E202z98,Needle phobia,res173: Anxiety (Read codes),diagnostic
Read,E20z.00,Neurotic disorder NOS,res173: Anxiety (Read codes),diagnostic
