Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,41562,Temazepam 10mg Tablet (Pharmacia Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,41553,Oxazepam 10mg tablets (Thornton & Ross Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32231,Librium 25mg Tablet (ICN Pharmaceuticals France S.A.),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,61753,Midazolam 5mg/5ml oral solution,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23796,Ketazolam 15mg Capsule,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3205,Diazepam 5mg,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,17830,Ativan 2.5mg Tablet (Wyeth Pharmaceuticals),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,17637,Clonazepam 500micrograms/5ml solution sugar free,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20,Temazepam 10mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,18260,HALCION .12 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,19941,Bromazepam 3mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,18125,Librium 5mg capsules (Meda Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,17897,NITRADOS 10 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,18291,Noctamid 1mg Tablet (Schering Health Care Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,19450,Mogadon 5mg tablets (Meda Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,19299,Valium 5mg Capsule (Roche Products Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,18928,FLURAZEPAM 30 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23752,EUHYPNOS 15 MG CAP,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2073,Clonazepam 2mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20164,Valium 2mg Capsule (Roche Products Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23726,NOCTAMID .5 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20801,Temazepam gelthix 30mg Capsule (Pharmacia Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20968,Diazepam 2mg/5ml oral solution sugar free (Actavis UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20966,Clobazam 10mg/5ml oral suspension,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2091,Lorazepam 2.5mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,21454,Normison 20mg Capsule (Wyeth Pharmaceuticals),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2352,Diazepam 2mg/5ml oral solution,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,21437,Loramet 1mg Capsule (Wyeth Pharmaceuticals),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2122,Chlordiazepoxide 5mg capsules,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,21464,Medazepam 5mg Capsule,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23120,Temazepam gelthix 15mg Capsule (Pharmacia Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23002,LORAZEPAM 5 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,22424,Bromazepam 1.5mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34491,Clonazepam 2mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,20245,Temazepam 10mg gel-fill capsules,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23205,Dormonoct 1mg Tablet (Hoechst Marion Roussel),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2404,Triazolam 250microgram Tablet,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3147,Chlordiazepoxide 10mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2403,Temazepam 20mg capsules,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,41542,Oxazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,4543,Chlordiazepoxide 5mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,72550,Rivotril 2mg tablets (Sigma Pharmaceuticals Plc),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,54934,Tapclob 5mg/5ml oral suspension (Martindale Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,48517,Lormetazepam 1mg/5ml oral suspension,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2401,Valium 2mg Tablet (Roche Products Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,74219,Clonazepam 500micrograms/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,72832,Clobazam 1.5mg/5ml oral suspension,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,79687,Midazolam 10mg/5ml oral solution unit dose ampoules sugar free,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,23874,Somnite 2.5mg/5ml oral suspension (Norgine Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,25273,Oxanid 10mg Tablet (M A Steinhard Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2407,Nitrazepam 5mg Capsule,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,24321,Paxane 30mg Capsule (M A Steinhard Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,24843,SERENID FORTE 30 MG CAP,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3111,Clobazam 10mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,24599,Librium 10mg capsules (Meda Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,24422,FLURAZEPAM 10 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,28347,Diazepam 2mg Tablet (Crosspharma Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,27367,Temazepam 10mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,25893,Centrax 10mg Tablet (Parke-davis Research Laboratories),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,27880,Tropium 5mg capsules (Dr Reddy's Laboratories (UK) Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,27847,Surem 5mg Capsule (Galen Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,2737,Rohypnol 1mg tablets (Roche Products Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,28703,Evacalm 5mg Tablet (Unimed Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,28360,Ketazolam 30mg Capsule,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,29945,Diazepam 2mg tablets (Ranbaxy (UK) Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,28879,Chlordiazepoxide 5mg Tablet (DDSA Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,29806,CLOBAZAM 7.5 MG CAP,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,29441,Euhypnos forte 20mg Capsule (Pharmacia Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3109,CLOBAZAM 5 MG TAB,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3110,Clobazam 10mg capsules,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,30321,Valium 2mg/5ml Oral solution (Roche Products Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,30273,Tropium 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,30779,Temazepam 20mg Tablet (Wyeth Pharmaceuticals),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3105,Dalmane 30mg capsules (Meda Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,30985,Temazepam 20mg tablets (IVAX Pharmaceuticals UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,41531,Oxazepam 10mg tablets (Actavis UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,58482,Clonazepam 500microgram tablets (A A H Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3357,Lormetazepam 1mg Capsule,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32320,Temazepam 20mg gel-fill capsules,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32296,Diazepam 5mg tablets (Actavis UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,63694,Diazepam 2mg tablets (Phoenix Healthcare Distribution Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3354,Lormetazepam 1mg tablets,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32847,Temazepam 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32500,Clonazepam 250micrograms/5ml oral solution,res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,3250,Tranxene 15mg capsules (Boehringer Ingelheim Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,41717,Temazepam 20mg tablets (A A H Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,33086,Lorazepam 1mg tablets (Teva UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,33070,Solis 5mg Capsule (Galen Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,32853,Diazepam 2mg/5ml oral solution (Sandoz Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34045,Diazepam 5mg/5ml oral solution (Sandoz Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,41516,Temazepam 10mg Tablet (IVAX Pharmaceuticals UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34806,Nitrazepam 5mg tablets (Mylan),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,33648,Temazepam 10mg Tablet (Wyeth Pharmaceuticals),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34406,Temazepam 10mg tablets (Teva UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34002,Temazepam 10mg tablets (IVAX Pharmaceuticals UK Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,33672,Diazepam 2mg tablets (A A H Pharmaceuticals Ltd),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34293,Diazepam 10mg tablets (Mylan),res173: Benzodiazepines (CPRD GOLD),drug
CPRD_product_code,34361,Lormetazepam 500microgram tablets (Thornton & Ross Ltd),res173: Benzodiazepines (CPRD GOLD),drug
