Coding System (Read),Codes,Description,Entity type,Category
Read,1B17.00,Depressed,res173: Depression (Read codes),diagnostic
Read,6G00.00,Postnatal depression counselling,res173: Depression (Read codes),diagnostic
Read,6659000,Antidepressant drug treatment started,res173: Depression (Read codes),diagnostic
Read,212S.00,Depression resolved,res173: Depression (Read codes),diagnostic
Read,62T1.00,Puerperal depression,res173: Depression (Read codes),diagnostic
Read,2257.00,O/E - depressed,res173: Depression (Read codes),diagnostic
Read,9Ov..00,Depression monitoring administration,res173: Depression (Read codes),diagnostic
Read,8HHq.00,Referral for guided self-help for depression,res173: Depression (Read codes),diagnostic
Read,8BK0.00,Depression management programme,res173: Depression (Read codes),diagnostic
Read,8CAa.00,Patient given advice about management of depression,res173: Depression (Read codes),diagnostic
Read,9HA0.00,On depression register,res173: Depression (Read codes),diagnostic
Read,8HHq000,Referral for depression self-help video,res173: Depression (Read codes),diagnostic
Read,9H90.00,Depression annual review,res173: Depression (Read codes),diagnostic
Read,9H92.00,Depression interim review,res173: Depression (Read codes),diagnostic
Read,8IH5200,Referral for guided self-help for depression declined,res173: Depression (Read codes),diagnostic
Read,9H91.00,Depression medication review,res173: Depression (Read codes),diagnostic
Read,9Ov0.00,Depression monitoring first letter,res173: Depression (Read codes),diagnostic
Read,9Ov1.00,Depression monitoring second letter,res173: Depression (Read codes),diagnostic
Read,E113300,"Recurrent major depressive episodes, severe, no psychosis",res173: Depression (Read codes),diagnostic
Read,9hC..00,Exception reporting: depression quality indicators,res173: Depression (Read codes),diagnostic
Read,9Ov4.00,Depression monitoring telephone invite,res173: Depression (Read codes),diagnostic
Read,E113400,"Recurrent major depressive episodes, severe, with psychosis",res173: Depression (Read codes),diagnostic
Read,9Ov3.00,Depression monitoring verbal invite,res173: Depression (Read codes),diagnostic
Read,9Ov2.00,Depression monitoring third letter,res173: Depression (Read codes),diagnostic
Read,Eu33100,"[X]Recurrent depressive disorder, current episode moderate",res173: Depression (Read codes),diagnostic
Read,9k4..00,Depression - enhanced services administration,res173: Depression (Read codes),diagnostic
Read,E112.11,Agitated depression,res173: Depression (Read codes),diagnostic
Read,9hC1.00,Excepted from depression quality indicators: Informed dissen,res173: Depression (Read codes),diagnostic
Read,9hC0.00,Excepted from depression quality indicators: Patient unsuita,res173: Depression (Read codes),diagnostic
Read,9k40.00,Depression - enhanced service completed,res173: Depression (Read codes),diagnostic
Read,E11..12,Depressive psychoses,res173: Depression (Read codes),diagnostic
Read,E112.00,Single major depressive episode,res173: Depression (Read codes),diagnostic
Read,9kQ..11,On full dose long term treatment for depression,res173: Depression (Read codes),diagnostic
Read,9kQ..00,On full dose long term treatment depression - enh serv admin,res173: Depression (Read codes),diagnostic
Read,E112.13,Endogenous depression first episode,res173: Depression (Read codes),diagnostic
Read,E112300,"Single major depressive episode, severe, without psychosis",res173: Depression (Read codes),diagnostic
Read,E112.12,Endogenous depression first episode,res173: Depression (Read codes),diagnostic
Read,E112200,"Single major depressive episode, moderate",res173: Depression (Read codes),diagnostic
Read,E112.14,Endogenous depression,res173: Depression (Read codes),diagnostic
Read,E112100,"Single major depressive episode, mild",res173: Depression (Read codes),diagnostic
Read,E112000,"Single major depressive episode, unspecified",res173: Depression (Read codes),diagnostic
Read,E112600,"Single major depressive episode, in full remission",res173: Depression (Read codes),diagnostic
Read,E113200,"Recurrent major depressive episodes, moderate",res173: Depression (Read codes),diagnostic
Read,E112500,"Single major depressive episode, partial or unspec remission",res173: Depression (Read codes),diagnostic
Read,E112400,"Single major depressive episode, severe, with psychosis",res173: Depression (Read codes),diagnostic
Read,E113100,"Recurrent major depressive episodes, mild",res173: Depression (Read codes),diagnostic
Read,E112z00,Single major depressive episode NOS,res173: Depression (Read codes),diagnostic
Read,E113000,"Recurrent major depressive episodes, unspecified",res173: Depression (Read codes),diagnostic
Read,E113.11,Endogenous depression - recurrent,res173: Depression (Read codes),diagnostic
Read,E113.00,Recurrent major depressive episode,res173: Depression (Read codes),diagnostic
Read,Eu32200,[X]Severe depressive episode without psychotic symptoms,res173: Depression (Read codes),diagnostic
Read,E204.99,Reactive (neurotic) depression,res173: Depression (Read codes),diagnostic
Read,E118.00,Seasonal affective disorder,res173: Depression (Read codes),diagnostic
Read,Eu33000,"[X]Recurrent depressive disorder, current episode mild",res173: Depression (Read codes),diagnostic
Read,E113z00,Recurrent major depressive episode NOS,res173: Depression (Read codes),diagnostic
Read,E113500,"Recurrent major depressive episodes,partial/unspec remission",res173: Depression (Read codes),diagnostic
Read,E113700,Recurrent depression,res173: Depression (Read codes),diagnostic
Read,E113600,"Recurrent major depressive episodes, in full remission",res173: Depression (Read codes),diagnostic
Read,E130.00,Reactive depressive psychosis,res173: Depression (Read codes),diagnostic
Read,E204.11,Postnatal depression,res173: Depression (Read codes),diagnostic
Read,E11z200,Masked depression,res173: Depression (Read codes),diagnostic
Read,E11y200,Atypical depressive disorder,res173: Depression (Read codes),diagnostic
Read,E204.00,Neurotic depression reactive type,res173: Depression (Read codes),diagnostic
Read,E130.11,Psychotic reactive depression,res173: Depression (Read codes),diagnostic
Read,E200300,Anxiety with depression,res173: Depression (Read codes),diagnostic
Read,E135.00,Agitated depression,res173: Depression (Read codes),diagnostic
Read,E2B..00,Depressive disorder NEC,res173: Depression (Read codes),diagnostic
Read,Eu32199,Moderate depression,res173: Depression (Read codes),diagnostic
Read,Eu20400,[X]Post-schizophrenic depression,res173: Depression (Read codes),diagnostic
Read,E290z00,Brief depressive reaction NOS,res173: Depression (Read codes),diagnostic
Read,Eu05300,[X]Organic mood [affective] disorders,res173: Depression (Read codes),diagnostic
Read,E2B..98,Depression,res173: Depression (Read codes),diagnostic
Read,E2B1.00,Chronic depression,res173: Depression (Read codes),diagnostic
Read,E2B..99,Depression NOS,res173: Depression (Read codes),diagnostic
