Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,2.26684E+15,Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,7.26441E+14,Human Mixtard 40 Penfill cartridges (3 ml),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,7.26541E+14,Human Mixtard 50 Penfill cartridges (3 ml),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.11974E+15,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.18234E+15,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06743E+16,Insuman Infusat 100units/ml solution for injection 3.15ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.04942E+16,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.02527E+16,Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.02526E+16,Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.00446E+16,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.00445E+16,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06006E+16,Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.05294E+15,Human Mixtard 10 Injection,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06741E+16,Insuman Infusat 100units/ml solution for injection 10ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.04944E+16,Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.05354E+15,Human Mixtard 30 Injection (cartridges) 100 u/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.05304E+15,Human Mixtard 20 Injection,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.05324E+15,Human Mixtard 50 Injection,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.05314E+15,Human Mixtard 40 Injection,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06174E+15,Human Mixtard 10 Preloaded pen,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.0674E+16,Insulin human 100units/ml solution for injection 3.15ml cartridges,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06164E+15,Human Mixtard 30 Preloaded pen,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06007E+16,Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06739E+16,Insulin human 100units/ml solution for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06184E+15,Human Mixtard 20 Preloaded pen,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06204E+15,Human Mixtard 50 Preloaded pen,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.06194E+15,Human Mixtard 40 Preloaded pen,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.18244E+15,Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.27124E+15,Semitard Mc (Novo) Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.18224E+15,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.21865E+16,Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.14933E+16,"Actraphane Hm (Ge) Suspension For Injection 100 units/ml, 10 ml vial",res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.21864E+16,Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.15274E+15,Rapitard Mc (Novo) Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.73684E+15,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.24862E+16,Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.26866E+16,Semglee 100units/ml solution for injection 3ml pre-filled pens (Mylan),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.24816E+16,Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pens (Imported (United States)),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.21866E+16,Fiasp Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.26242E+16,Insulin soluble porcine 100units/ml solution for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.26007E+16,Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.26009E+16,Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.26008E+16,Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61604E+15,Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.48841E+14,Biphasic Insulin Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.71404E+15,Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.41954E+15,Tempulin (Boots) Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61594E+15,Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.50744E+15,Human Velosulin Injection 100 u/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.50844E+15,Velosulin Cartridge (Nordisk Wellcome) Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.50834E+15,Pork Velosulin Injection 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61634E+15,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.62134E+15,Isophane Insulin (Human Pyr) Preloaded pen 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61624E+15,Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61614E+15,Humulin M1 Cartridges (3 Ml),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.62124E+15,Isophane Insulin (Human Pyr) Penfill cartridges (3 ml) 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.61644E+15,Humulin M4 Cartridges (3 Ml),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.62114E+15,Isophane Insulin (Human Pyr) Penfill Cartridges (1.5 Ml) 100 units/ml,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.62064E+15,"Isophane Insulin (Human Pyr) Injection 100 units/ml, 10 ml vial",res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.81824E+15,Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.73694E+15,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.18214E+15,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Pl,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.81814E+15,Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.73704E+15,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.74944E+15,Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.73994E+15,Insulin lispro 100units/ml solution for injection 3ml cartridges,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.86204E+15,Insulin aspart 100units/ml solution for injection 3ml cartridges,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.81854E+15,Human Mixtard 50 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.86194E+15,Insulin aspart 100units/ml solution for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.81844E+15,Human Mixtard 40 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.81834E+15,Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.82174E+15,Insulin isophane bovine 100units/ml suspension for injection 3ml cartridges,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.82144E+15,Insulin isophane porcine 100units/ml suspension for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.82164E+15,Insulin isophane bovine 100units/ml suspension for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.82154E+15,Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03464E+15,Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.86234E+15,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.15874E+15,Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.86224E+15,NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03444E+15,Insuman Rapid 100units/ml solution for injection 5ml vials (Aventis Pharma),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,1.86244E+15,NovoRapid Novolet 100units/ml solution for injection (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.01894E+15,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.01884E+15,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03554E+15,Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.15864E+15,Insuman Comb 50 100units/ml suspension for injection 5ml vials (Aventis Pharma),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03544E+15,Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03524E+15,Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.15854E+15,Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.03564E+15,Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.15844E+15,Insuman Comb 15 100units/ml suspension for injection 5ml vials (Aventis Pharma),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.26704E+15,Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.91714E+15,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.78094E+15,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.26694E+15,Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.78084E+15,Lantus 100units/ml solution for injection 3ml cartridges (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.64464E+15,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.26724E+15,Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.26714E+15,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,3.34584E+15,Apidra 100units/ml solution for injection 10ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.64474E+15,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.78074E+15,Lantus 100units/ml solution for injection 10ml vials (Sanofi),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.72484E+15,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.72474E+15,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.91704E+15,Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.79674E+15,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.79664E+15,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.86774E+15,"Humulin N Injection 100 units/ml, 10 ml vial",res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.86764E+15,"Humulin R Injection 100 units/ml, 10 ml vial",res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.79884E+15,Insulin glargine 100units/ml solution for injection 10ml vials,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.79904E+15,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,res166: Insulin (CPRD Aurum),drug
CPRD_product_code,2.79894E+15,Insulin glargine 100units/ml solution for injection 3ml cartridges,res166: Insulin (CPRD Aurum),drug
