Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,46666,NovoRapid FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),res166: Insulin (CPRD GOLD),drug
CPRD_product_code,27911,INSULIN HUMAN ACTRAPID PENFILL,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,10910,Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd),res166: Insulin (CPRD GOLD),drug
CPRD_product_code,20672,INSULIN HUM/ACTRAPID,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,20671,INSULIN HUM/ACTRAPHANE,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,9079,INSULIN SOLUBLE 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,19707,INSULIN HUMULIN S (NEUTRAL SOLUBLE),res166: Insulin (CPRD GOLD),drug
CPRD_product_code,25006,INSULIN HUMAN ACTRAPID (NEUTRAL),res166: Insulin (CPRD GOLD),drug
CPRD_product_code,28723,INSULIN ZINC BOVINE SUSPENSION,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,19829,INSULIN NOVO MONOTARD MC,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,22161,INSULIN HUMULIN M1 VIAL,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,21945,INSULIN PORK INSULATARD,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,22094,INSULIN HUMULIN M2 VIAL,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,60951,Insulin human 100units/ml solution for injection 10ml vials,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,22496,INSULIN ZINC LENTE PURIFIED SUSPENSION,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,24722,INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,30861,INSULIN ZINC HUMAN SUSPENSION,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,24485,INSULIN ZINC ANIMAL SUSPENSION,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,22806,INSULIN PORK ACTRAPID,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,22823,INSULIN ISOPHANE (PURIFIED) 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,32053,INSULIN HUMALOG MIX 25,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,7763,INSULIN NEUPHANE (ISOPHANE)(PURIFIED) 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,15624,INSULIN ISOPHANE (HIGHLY PURIFIED) 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,20196,INSULIN SOLUBLE 40 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,7757,INSULIN NEULENTE (ZINC SUSP)(PURIFIED) 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,23003,INSULIN ISOPHANE (NPH) 40 I/U,res166: Insulin (CPRD GOLD),drug
CPRD_product_code,26784,INSULIN ZINC SEMILENTE SUSP BP 100 I/U INJ,res166: Insulin (CPRD GOLD),drug
