Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,5.00774E+15,Metformin 1g oral powder sachets sugar free,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06142E+16,Empagliflozin 5mg / Metformin 1g tablets,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,5.00764E+15,Metformin 500mg oral powder sachets sugar free,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,2.99514E+15,Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd),res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06141E+16,Empagliflozin 5mg / Metformin 850mg tablets,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.05989E+16,Glucient SR 1000mg tablets (Consilient Health Ltd),res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.01714E+15,Orabet Tablets 500 mg,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.05988E+16,Glucient SR 750mg tablets (Consilient Health Ltd),res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.01724E+15,Orabet Tablets 850 mg,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.17813E+16,Metformin 1g/5ml oral solution sugar free,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06144E+16,Empagliflozin 12.5mg / Metformin 1g tablets,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,2.62024E+15,Metformin 500mg/5ml oral suspension,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06143E+16,Empagliflozin 12.5mg / Metformin 850mg tablets,res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06148E+16,Synjardy 12.5mg/1000mg tablets (Boehringer Ingelheim Ltd),res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06145E+16,Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd),res166: Metformin (CPRD Aurum),drug
CPRD_product_code,1.06147E+16,Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd),res166: Metformin (CPRD Aurum),drug
