Coding System (Read),Codes,Description,Entity type,Category
Read,TK1..99,Attempt suicide - domestic gas,res173: Self-harm (Read codes),diagnostic
Read,SL70400,Phenobarbital poisoning,res173: Self-harm (Read codes),diagnostic
Read,TK1..00,Suicide + selfinflicted poisoning by gases in domestic use,res173: Self-harm (Read codes),diagnostic
Read,SL50700,Dihydrocodeine poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL50600,Dextropropoxyphene poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL50500,Morphine poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL92100,Spiperone poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL50400,Meperidine (pethidine) poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL...14,Overdose of biological substance,res173: Self-harm (Read codes),diagnostic
Read,K048.00,Acute renal failure induced by poison,res173: Self-harm (Read codes),diagnostic
Read,1JP..00,Suspected drug overdose,res173: Self-harm (Read codes),diagnostic
Read,14K1.00,Intentional overdose of prescription only medication,res173: Self-harm (Read codes),diagnostic
Read,SL...97,Poisoning by CNS drugs,res173: Self-harm (Read codes),diagnostic
Read,SL5..99,Poisoning by analgesics,res173: Self-harm (Read codes),diagnostic
Read,SL...16,Poisoning by drug and biological substances,res173: Self-harm (Read codes),diagnostic
Read,SL...15,Overdose of drug,res173: Self-harm (Read codes),diagnostic
Read,SL5..12,Antipyretic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL...98,Poisoning by drugs/medicaments,res173: Self-harm (Read codes),diagnostic
Read,SL5..11,Analgesic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL5..00,"Analgesic, antipyretic and antirheumatic drug poisoning",res173: Self-harm (Read codes),diagnostic
Read,SL7z.00,Sedative and hypnotic drug poisoning NOS,res173: Self-harm (Read codes),diagnostic
Read,SL5x.00,Other non-narcotic analgesic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL51z00,Salicylate poisoning NOS,res173: Self-harm (Read codes),diagnostic
Read,SL94300,Lorazepam poisoning,res173: Self-harm (Read codes),diagnostic
Read,TK0z.00,Suicide + selfinflicted poisoning by solid/liquid subst NOS,res173: Self-harm (Read codes),diagnostic
Read,SL51100,Salicylic acid salt poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL51000,Aspirin poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL51.00,Salicylate poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL52200,Phenacetin poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL54400,Mefenamic acid poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL52100,Paracetamol poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL52.00,Aromatic analgesic poisoning NEC,res173: Self-harm (Read codes),diagnostic
Read,SL54300,Naproxen poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL52z00,Aromatic analgesic poisoning NOS,res173: Self-harm (Read codes),diagnostic
Read,SL54200,Ibuprofen poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL53100,Phenylbutazone poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL5y.00,Other analgesic and antipyretic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL7y.00,Other sedative and hypnotic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL5yz00,Other analgesic or antipyretic poisoning NOS,res173: Self-harm (Read codes),diagnostic
Read,SL5xz00,Non-narcotic analgesic poisoning NOS,res173: Self-harm (Read codes),diagnostic
Read,SL5y200,"Antipyretic poisoning, NEC",res173: Self-harm (Read codes),diagnostic
Read,SL5y000,Pentazocine poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL5y199,Poisoning by analgesics,res173: Self-harm (Read codes),diagnostic
Read,SL5y100,"Analgesic poisoning, NEC",res173: Self-harm (Read codes),diagnostic
Read,SL7..11,Hypnotic poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL76.00,Mixed sedative poisoning NEC,res173: Self-harm (Read codes),diagnostic
Read,SL7..00,Sedative and hypnotic drug poisoning,res173: Self-harm (Read codes),diagnostic
Read,SL5z.00,"Analgesic, antipyretic or antirheumatic poisoning NOS",res173: Self-harm (Read codes),diagnostic
Read,SL70z00,Barbiturate poisoning NOS,res173: Self-harm (Read codes),diagnostic
