Coding System (SNOMED),Codes,Description,Entity type,Category
SNOMED,82711006,Infiltrating duct carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,188192002,Malignant neoplasm of endometrium of corpus uteri,res174: cancer comorbidities,diagnostic
SNOMED,443492008,Carcinoid tumour,res174: cancer comorbidities,diagnostic
SNOMED,423673009,Malignant melanoma of retina,res174: cancer comorbidities,diagnostic
SNOMED,35868009,Carcinoid syndrome,res174: cancer comorbidities,diagnostic
SNOMED,413440007,Acute lymphoblastic leukaemia - category,res174: cancer comorbidities,diagnostic
SNOMED,91855006,Acute leukaemia,res174: cancer comorbidities,diagnostic
SNOMED,126949007,Acoustic neuroma,res174: cancer comorbidities,diagnostic
SNOMED,254582000,Adenocarcinoma of rectum,res174: cancer comorbidities,diagnostic
SNOMED,91861009,Acute myeloid leukaemia disease,res174: cancer comorbidities,diagnostic
SNOMED,91857003,Acute lymphoid leukaemia,res174: cancer comorbidities,diagnostic
SNOMED,118617000,Burkitt's lymphoma (clinical),res174: cancer comorbidities,diagnostic
SNOMED,254887002,Adenocarcinoma of cervix,res174: cancer comorbidities,diagnostic
SNOMED,399490008,Adenocarcinoma of prostate,res174: cancer comorbidities,diagnostic
SNOMED,254626006,Adenocarcinoma of lung,res174: cancer comorbidities,diagnostic
SNOMED,123845008,Adenocarcinoma of endometrium,res174: cancer comorbidities,diagnostic
SNOMED,309245001,Adenocarcinoma of uterus,res174: cancer comorbidities,diagnostic
SNOMED,115239009,Bone tumour,res174: cancer comorbidities,diagnostic
SNOMED,408647009,Adenocarcinoma of stomach,res174: cancer comorbidities,diagnostic
SNOMED,301756000,Adenocarcinoma of sigmoid colon,res174: cancer comorbidities,diagnostic
SNOMED,11671000,Adenoid cystic carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,109979007,B cell lymphoma,res174: cancer comorbidities,diagnostic
SNOMED,233854003,Atrial myxoma,res174: cancer comorbidities,diagnostic
SNOMED,255035007,Adrenal carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,448993007,Carcinoma of lung,res174: cancer comorbidities,diagnostic
SNOMED,310498001,Malignant melanoma of back,res174: cancer comorbidities,diagnostic
SNOMED,25487800,Endometrial carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,255108000,Carcinoma of bladder,res174: cancer comorbidities,diagnostic
SNOMED,68453008,Carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,254609000,Carcinoma of ampulla of Vater,res174: cancer comorbidities,diagnostic
SNOMED,79282002,Carcinoma metastatic,res174: cancer comorbidities,diagnostic
SNOMED,189336000,Carcinoma in situ of breast,res174: cancer comorbidities,diagnostic
SNOMED,255081007,Carcinoma of caecum,res174: cancer comorbidities,diagnostic
SNOMED,276975007,Carcinoma of larynx,res174: cancer comorbidities,diagnostic
SNOMED,254838004,Carcinoma of breast,res174: cancer comorbidities,diagnostic
SNOMED,448989001,Carcinoma of brain,res174: cancer comorbidities,diagnostic
SNOMED,285432005,Carcinoma of cervix,res174: cancer comorbidities,diagnostic
SNOMED,372140005,Carcinoma of gallbladder,res174: cancer comorbidities,diagnostic
SNOMED,269533000,Carcinoma of colon,res174: cancer comorbidities,diagnostic
SNOMED,447949005,Carcinoma of cheek,res174: cancer comorbidities,diagnostic
SNOMED,254893005,Carcinoma of vagina,res174: cancer comorbidities,diagnostic
SNOMED,254900004,Carcinoma of prostate,res174: cancer comorbidities,diagnostic
SNOMED,372142002,Carcinoma of pancreas,res174: cancer comorbidities,diagnostic
SNOMED,410812005,Dupuytren's disease,res174: cancer comorbidities,diagnostic
SNOMED,285312008,Carcinoma of sigmoid colon,res174: cancer comorbidities,diagnostic
SNOMED,446022000,Carcinoma of uterus,res174: cancer comorbidities,diagnostic
SNOMED,448216007,Carcinoma of thyroid,res174: cancer comorbidities,diagnostic
SNOMED,372143007,Carcinoma of stomach,res174: cancer comorbidities,diagnostic
SNOMED,51092000,Chronic lymphocytic leukaemia,res174: cancer comorbidities,diagnostic
SNOMED,28054005,Cutaneous T-cell lymphoma,res174: cancer comorbidities,diagnostic
SNOMED,443520009,Chondrosarcoma,res174: cancer comorbidities,diagnostic
SNOMED,447882007,Carcinoma of vulva,res174: cancer comorbidities,diagnostic
SNOMED,92814006,"Chronic lymphoid leukaemia, disease",res174: cancer comorbidities,diagnostic
SNOMED,254915003,Clear cell carcinoma of kidney,res174: cancer comorbidities,diagnostic
SNOMED,127225006,Chronic myelomonocytic leukaemia,res174: cancer comorbidities,diagnostic
SNOMED,92818009,Chronic myeloid leukaemia,res174: cancer comorbidities,diagnostic
SNOMED,46732000,"Malignant lymphoma, large B-cell, diffuse",res174: cancer comorbidities,diagnostic
SNOMED,393564001,Glioma,res174: cancer comorbidities,diagnostic
SNOMED,16652001,Fabry's disease,res174: cancer comorbidities,diagnostic
SNOMED,109385007,Kaposi's sarcoma (clinical),res174: cancer comorbidities,diagnostic
SNOMED,55150002,Follicular lymphoma,res174: cancer comorbidities,diagnostic
SNOMED,393563007,Glioblastoma multiforme,res174: cancer comorbidities,diagnostic
SNOMED,417570003,Gestational choriocarcinoma,res174: cancer comorbidities,diagnostic
SNOMED,276811008,Gastric lymphoma,res174: cancer comorbidities,diagnostic
SNOMED,118613001,Hairy cell leukaemia (clinical),res174: cancer comorbidities,diagnostic
SNOMED,86616005,"Intraductal carcinoma, noninfiltrating",res174: cancer comorbidities,diagnostic
SNOMED,302823005,Glucagonoma,res174: cancer comorbidities,diagnostic
SNOMED,10438002,Glomus tumour,res174: cancer comorbidities,diagnostic
SNOMED,25370001,Hepatocellular carcinoma,res174: cancer comorbidities,diagnostic
SNOMED,254935002,Intracranial tumour,res174: cancer comorbidities,diagnostic
SNOMED,302822000,Insulinoma,res174: cancer comorbidities,diagnostic
SNOMED,315058005,Hereditary nonpolyposis colon cancer,res174: cancer comorbidities,diagnostic
SNOMED,93143009,Leukemia,res174: cancer comorbidities,diagnostic
SNOMED,65399007,Langerhans cell histiocytosis,res174: cancer comorbidities,diagnostic
SNOMED,359987004,Krukenberg tumour,res174: cancer comorbidities,diagnostic
SNOMED,118600007,Malignant lymphoma (clinical),res174: cancer comorbidities,diagnostic
SNOMED,129000002,"Langerhans cell histiocytosis, unifocal (clinical)",res174: cancer comorbidities,diagnostic
SNOMED,443719001,Leiomyosarcoma,res174: cancer comorbidities,diagnostic
SNOMED,254629004,Large cell carcinoma of lung,res174: cancer comorbidities,diagnostic
SNOMED,277637000,Large cell anaplastic lymphoma,res174: cancer comorbidities,diagnostic
SNOMED,414629003,Lymphoproliferative disorder,res174: cancer comorbidities,diagnostic
SNOMED,302841002,Malignant lymphoma - small lymphocytic,res174: cancer comorbidities,diagnostic
SNOMED,369766003,Low grade,res174: cancer comorbidities,diagnostic
SNOMED,77284006,Lobular carcinoma in situ,res174: cancer comorbidities,diagnostic
