Coding System (ATC),Codes,Description,Entity type,Category
ATC,M02A,"Codeine, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Aspirin, Codeine phosphate",res174: Combination weak opioid medications,drug
ATC,N02A,"Tramadol hydrochloride, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Codeine phosphate, Ibuprofen",res174: Combination weak opioid medications,drug
ATC,M02A,"Dextropropoxyphene, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Codeine Phosphate, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Tramadol, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Codeine phosphate hemihydrate, Ibuprofen",res174: Combination weak opioid medications,drug
ATC,M02A,"Dextropropoxyphene napsylate, Paracetamol",res174: Combination weak opioid medications,drug
ATC,M02A,"Aspirin, Codeine",res174: Combination weak opioid medications,drug
ATC,M02A,"Aspirin, Codeine phosphate hemihydrate",res174: Combination weak opioid medications,drug
ATC,M02A,"Codeine, Ibuprofen",res174: Combination weak opioid medications,drug
