Coding System (ATC),Codes,Description,Entity type,Category
ATC,N02A,Oxycodone hydrochloride,res174: Strong single opioid medications,drug
ATC,N02A,Morphine tartrate,res174: Strong single opioid medications,drug
ATC,N02A,"Oxycodone, Naloxone",res174: Strong single opioid medications,drug
ATC,N01A,Fentanyl citrate,res174: Strong single opioid medications,drug
ATC,N02A,Morphine sulfate Bp,res174: Strong single opioid medications,drug
ATC,N01A,Fentanyl,res174: Strong single opioid medications,drug
ATC,N02A,Fentanyl,res174: Strong single opioid medications,drug
ATC,N02A,Morphine sulfate,res174: Strong single opioid medications,drug
ATC,N02A,Hydromorphone hydrochloride,res174: Strong single opioid medications,drug
ATC,N02A,Morphine hydrochloride trihydrate,res174: Strong single opioid medications,drug
ATC,N02A,"Oxycodone hydrochloride, Naloxone hydrochloride",res174: Strong single opioid medications,drug
ATC,N02A,Oxycodone,res174: Strong single opioid medications,drug
ATC,N02A,Morphine sulfate pentahydrate,res174: Strong single opioid medications,drug
ATC,N02A,Oxycodone pectinate,res174: Strong single opioid medications,drug
ATC,N02A,Tapentadol,res174: Strong single opioid medications,drug
ATC,N02A,Tapentadol hydrochloride,res174: Strong single opioid medications,drug
ATC,N02A,Fentanyl citrate,res174: Strong single opioid medications,drug
ATC,N02A,Hydromorphone,res174: Strong single opioid medications,drug
ATC,N02A,Morphine,res174: Strong single opioid medications,drug
ATC,N02A,Morphine hydrochloride,res174: Strong single opioid medications,drug
