Coding System (Read),Codes,Description,Entity type,Category
Read,A72x100,mumps polyneuropathy,res176: Neuropathic pain,diagnostic
Read,A531511,postherpetic neuralgia,res176: Neuropathic pain,diagnostic
Read,A531.11,post-herpetic neuralgia,res176: Neuropathic pain,diagnostic
Read,1475,h/o: trigeminal neuralgia,res176: Neuropathic pain,diagnostic
Read,1M8..00,diabetic peripheral neuropathic pain,res176: Neuropathic pain,diagnostic
Read,F36z.00,hereditary or idiopathic peripheral neuropathy nos,res176: Neuropathic pain,diagnostic
Read,F171z00,peripheral autonomic neuropathy due to disease nos,res176: Neuropathic pain,diagnostic
Read,C10EB00,type 1 diabetes mellitus with mononeuropathy,res176: Neuropathic pain,diagnostic
Read,C108J11,type i diabetes mellitus with neuropathic arthropathy,res176: Neuropathic pain,diagnostic
Read,C108B00,insulin dependent diabetes mellitus with mononeuropathy,res176: Neuropathic pain,diagnostic
Read,C108J00,insulin dependent diab mell with neuropathic arthropathy,res176: Neuropathic pain,diagnostic
Read,C109H12,type 2 diabetes mellitus with neuropathic arthropathy,res176: Neuropathic pain,diagnostic
Read,C109A11,type ii diabetes mellitus with mononeuropathy,res176: Neuropathic pain,diagnostic
Read,C109H11,type ii diabetes mellitus with neuropathic arthropathy,res176: Neuropathic pain,diagnostic
Read,F171100,autonomic neuropathy due to diabetes,res176: Neuropathic pain,diagnostic
Read,C10FB00,type 2 diabetes mellitus with polyneuropathy,res176: Neuropathic pain,diagnostic
Read,C10EC12,insulin dependent diabetes mellitus with polyneuropathy,res176: Neuropathic pain,diagnostic
Read,C10FA11,type ii diabetes mellitus with mononeuropathy,res176: Neuropathic pain,diagnostic
Read,F171000,autonomic neuropathy due to amyloid,res176: Neuropathic pain,diagnostic
Read,C10FH11,type ii diabetes mellitus with neuropathic arthropathy,res176: Neuropathic pain,diagnostic
Read,F171.00,peripheral autonomic neuropathy disease ec,res176: Neuropathic pain,diagnostic
Read,F36yz00,other idiopathic peripheral neuropathy nos,res176: Neuropathic pain,diagnostic
Read,F36..00,hereditary and idiopathic peripheral neuropathy,res176: Neuropathic pain,diagnostic
Read,F301000,tic douloureux,res176: Neuropathic pain,diagnostic
Read,F262500,periodic migrainous neuralgia,res176: Neuropathic pain,diagnostic
Read,F301.00,other specified trigeminal neuralgia,res176: Neuropathic pain,diagnostic
Read,F335.00,neuralgic amyotrophy,res176: Neuropathic pain,diagnostic
Read,F301z00,trigeminal neuralgia nos,res176: Neuropathic pain,diagnostic
Read,F336000,phantom limb syndrome with pain,res176: Neuropathic pain,diagnostic
Read,F36y.00,other idiopathic peripheral neuropathy,res176: Neuropathic pain,diagnostic
Read,F367.00,peripheral neuropathy,res176: Neuropathic pain,diagnostic
Read,F360z00,hereditary peripheral neuropathy nos,res176: Neuropathic pain,diagnostic
Read,F366.00,polyneuropathy,res176: Neuropathic pain,diagnostic
Read,F369.11,chronic regional pain syndrome,res176: Neuropathic pain,diagnostic
Read,F368000,hereditary motor and sensory neuropathy type i,res176: Neuropathic pain,diagnostic
Read,F369.00,complex regional pain syndrome,res176: Neuropathic pain,diagnostic
