Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,B20-B24,Human immunodeficiency virus (HIV) disease,res69: aids,diagnostic
Read,A788y00,Human immunodeficiency virus with other clinical findings,res69: aids,diagnostic
Read,A789500,HIV disease resulting in Kaposi's sarcoma,res69: aids,diagnostic
Read,A788200,HIV infection with persistent generalised lymphadenopathy,res69: aids,diagnostic
Read,AyuC400,[X]HIV disease resulting/other infectious+parasitic diseases,res69: aids,diagnostic
Read,A789300,HIV disease resulting in Pneumocystis carinii pneumonia,res69: aids,diagnostic
Read,L7990A,,res69: aids,diagnostic
Read,AyuC300,[X]HIV disease resulting in multiple infections,res69: aids,diagnostic
Read,AyuCD00,[X]Unspecified human immunodeficiency virus [HIV] disease,res69: aids,diagnostic
Read,AyuCC00,[X]HIV disease resulting in other specified conditions,res69: aids,diagnostic
Read,A788X00,HIV disease resulting/unspcf infectious+parasitic disease,res69: aids,diagnostic
Read,A789800,HIV disease resulting in multiple malignant neoplasms,res69: aids,diagnostic
Read,A788W00,HIV disease resulting in unspecified malignant neoplasm,res69: aids,diagnostic
Read,A788U00,"HIV disease result/haematological+immunologic abnorms,NEC",res69: aids,diagnostic
Read,A789.00,Human immunodef virus resulting in other disease,res69: aids,diagnostic
Read,A788100,Asymptomatic human immunodeficiency virus infection,res69: aids,diagnostic
Read,A789100,HIV disease resulting in cytomegaloviral disease,res69: aids,diagnostic
Read,A788.00,Acquired immune deficiency syndrome,res69: aids,diagnostic
Read,AyuC.00,[X]Human immunodeficiency virus disease,res69: aids,diagnostic
Read,799MD,,res69: aids,diagnostic
Read,A788600,Human immunodeficiency virus with secondary cancers,res69: aids,diagnostic
Read,A789900,HIV disease resulting in lymphoid interstitial pneumonitis,res69: aids,diagnostic
Read,AyuCB00,"[X]HIV disease result/haematological+immunologic abnorms,NEC",res69: aids,diagnostic
Read,A788z00,Acquired human immunodeficiency virus infection syndrome NOS,res69: aids,diagnostic
Read,A789A00,HIV disease resulting in wasting syndrome,res69: aids,diagnostic
Read,A789X00,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu",res69: aids,diagnostic
Read,A788400,Human immunodeficiency virus with neurological disease,res69: aids,diagnostic
Read,A788500,Human immunodeficiency virus with secondary infection,res69: aids,diagnostic
Read,AyuC100,[X]HIV disease resulting in other viral infections,res69: aids,diagnostic
Read,A788300,Human immunodeficiency virus with constitutional disease,res69: aids,diagnostic
Read,A789400,HIV disease resulting in multiple infections,res69: aids,diagnostic
Read,AyuC600,[X]HIV disease resulting in other non-Hodgkin's lymphoma,res69: aids,diagnostic
Read,A789600,HIV disease resulting in Burkitt's lymphoma,res69: aids,diagnostic
Read,A789200,HIV disease resulting in candidiasis,res69: aids,diagnostic
Read,A789000,HIV disease resulting in mycobacterial infection,res69: aids,diagnostic
