Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,F40-F48,"Neurotic, stress-related and somatoform disorders",res69: anxiety,diagnostic
Read,2258.00,o/e - anxious,res69: anxiety,diagnostic
Read,E200200,generalised anxiety disorder,res69: anxiety,diagnostic
Read,E200400,chronic anxiety,res69: anxiety,diagnostic
Read,E202100,agoraphobia with panic attacks,res69: anxiety,diagnostic
Read,Eu41200,[x]mixed anxiety and depressive disorder,res69: anxiety,diagnostic
Read,E201900,Multiple personality,res69: anxiety,diagnostic
Read,E202D00,Fear of death,res69: anxiety,diagnostic
Read,E202z00,Phobic disorder NOS,res69: anxiety,diagnostic
Read,E261300,Psychogenic hyperventilation,res69: anxiety,diagnostic
Read,E265z00,Psychogenic genitourinary tract symptom NOS,res69: anxiety,diagnostic
Read,E292.00,"Adjustment reaction, predominant disturbance other emotions",res69: anxiety,diagnostic
Read,E292311,Specific academic or work inhibition,res69: anxiety,diagnostic
Read,E2y..00,Other specified neuroses or other mental disorders,res69: anxiety,diagnostic
Read,Eu43300,[X]Acute post-traumatic stress disorder follow military comb,res69: anxiety,diagnostic
Read,Eu45322,[X]Psychogenic hyperventilat,res69: anxiety,diagnostic
Read,Eu46100,[X]Depersonalization - derealization syndrome,res69: anxiety,diagnostic
Read,225J.00,o/e - panic attack,res69: anxiety,diagnostic
Read,8G94.00,anxiety management training,res69: anxiety,diagnostic
Read,8HHp.00,referral for guided self-help for anxiety,res69: anxiety,diagnostic
Read,E200.00,anxiety states,res69: anxiety,diagnostic
Read,E200000,anxiety state unspecified,res69: anxiety,diagnostic
Read,E200100,panic disorder,res69: anxiety,diagnostic
Read,E200111,panic attack,res69: anxiety,diagnostic
Read,E200300,anxiety with depression,res69: anxiety,diagnostic
Read,E202800,Claustrophobia,res69: anxiety,diagnostic
Read,E200500,recurrent anxiety,res69: anxiety,diagnostic
Read,E200z00,anxiety state nos,res69: anxiety,diagnostic
Read,E202000,Phobia unspecified,res69: anxiety,diagnostic
Read,E202B00,Cancer phobia,res69: anxiety,diagnostic
Read,E205.11,Nervous exhaustion,res69: anxiety,diagnostic
Read,E207.00,Hypochondriasis,res69: anxiety,diagnostic
Read,E20z.11,Nervous breakdown,res69: anxiety,diagnostic
Read,E28..00,Acute reaction to stress,res69: anxiety,diagnostic
Read,E280.00,acute panic state due to acute stress reaction,res69: anxiety,diagnostic
Read,E292000,separation anxiety disorder,res69: anxiety,diagnostic
Read,E2D0.00,disturbance of anxiety and fearfulness childhood/adolescent,res69: anxiety,diagnostic
Read,E2D0000,childhood and adolescent overanxiousness disturbance,res69: anxiety,diagnostic
Read,E2D0z00,disturbance anxiety and fearfulness childhood/adolescent nos,res69: anxiety,diagnostic
Read,Eu34114,[x]persistant anxiety depression,res69: anxiety,diagnostic
Read,Eu40.00,[x]phobic anxiety disorders,res69: anxiety,diagnostic
Read,Eu40012,[x]panic disorder with agoraphobia,res69: anxiety,diagnostic
Read,Eu40y00,[x]other phobic anxiety disorders,res69: anxiety,diagnostic
Read,Eu40z00,"[x]phobic anxiety disorder, unspecified",res69: anxiety,diagnostic
Read,Eu41.00,[x]other anxiety disorders,res69: anxiety,diagnostic
Read,Eu41000,[x]panic disorder [episodic paroxysmal anxiety],res69: anxiety,diagnostic
Read,Eu41011,[x]panic attack,res69: anxiety,diagnostic
Read,Eu41012,[x]panic state,res69: anxiety,diagnostic
Read,Eu41100,[x]generalized anxiety disorder,res69: anxiety,diagnostic
Read,Eu41111,[x]anxiety neurosis,res69: anxiety,diagnostic
Read,Eu41112,[x]anxiety reaction,res69: anxiety,diagnostic
Read,Eu41113,[x]anxiety state,res69: anxiety,diagnostic
Read,Eu41211,[x]mild anxiety depression,res69: anxiety,diagnostic
Read,Eu41300,[x]other mixed anxiety disorders,res69: anxiety,diagnostic
Read,Eu41y00,[x]other specified anxiety disorders,res69: anxiety,diagnostic
Read,Eu41y11,[x]anxiety hysteria,res69: anxiety,diagnostic
Read,Eu41z00,"[x]anxiety disorder, unspecified",res69: anxiety,diagnostic
Read,Eu41z11,[x]anxiety nos,res69: anxiety,diagnostic
Read,Eu60600,[x]anxious [avoidant] personality disorder,res69: anxiety,diagnostic
Read,Eu93000,[x]separation anxiety disorder of childhood,res69: anxiety,diagnostic
Read,Eu93100,[X]Phobic anxiety disorder of childhood,res69: anxiety,diagnostic
Read,Eu93200,[X]Social anxiety disorder of childhood,res69: anxiety,diagnostic
Read,Eu93211,[X]Avoidant disorder childhood,res69: anxiety,diagnostic
Read,Eu93y12,[x]childhood overanxious disorder,res69: anxiety,diagnostic
Read,Z4I7.00,acknowledging anxiety,res69: anxiety,diagnostic
Read,Z4L1.00,anxiety counselling,res69: anxiety,diagnostic
Read,8G52.00,Antiphobic therapy,res69: anxiety,diagnostic
Read,E2...00,"Neurotic, personality and other nonpsychotic disorders",res69: anxiety,diagnostic
Read,E20..00,Neurotic disorders,res69: anxiety,diagnostic
Read,E201.00,Hysteria,res69: anxiety,diagnostic
Read,E201000,Hysteria unspecified,res69: anxiety,diagnostic
Read,E201100,Hysterical blindness,res69: anxiety,diagnostic
Read,E201200,Hysterical deafness,res69: anxiety,diagnostic
Read,E201300,Hysterical tremor,res69: anxiety,diagnostic
Read,E201400,Hysterical paralysis,res69: anxiety,diagnostic
Read,E201500,Hysterical seizures,res69: anxiety,diagnostic
Read,E201511,Fit - hysterical,res69: anxiety,diagnostic
Read,E201600,Other conversion disorder,res69: anxiety,diagnostic
Read,E201611,"Astasia - abasia, hysterical",res69: anxiety,diagnostic
Read,E201612,Globus hystericus,res69: anxiety,diagnostic
Read,E201700,Hysterical amnesia,res69: anxiety,diagnostic
Read,E201800,Hysterical fugue,res69: anxiety,diagnostic
Read,E201A00,Dissociative reaction unspecified,res69: anxiety,diagnostic
Read,E201B00,Compensation neurosis,res69: anxiety,diagnostic
Read,E201C00,Phantom pregnancy,res69: anxiety,diagnostic
Read,E201z00,Hysteria NOS,res69: anxiety,diagnostic
Read,E201z11,Aphonia - hysterical,res69: anxiety,diagnostic
Read,E201z12,Ataxia - hysterical,res69: anxiety,diagnostic
Read,E201z13,Ganser's syndrome - hysterical,res69: anxiety,diagnostic
Read,E202.00,Phobic disorders,res69: anxiety,diagnostic
Read,E202.11,Social phobic disorders,res69: anxiety,diagnostic
Read,E202.12,Phobic anxiety,res69: anxiety,diagnostic
Read,E202200,Agoraphobia without mention of panic attacks,res69: anxiety,diagnostic
Read,E202300,"Social phobia, fear of eating in public",res69: anxiety,diagnostic
Read,E202400,"Social phobia, fear of public speaking",res69: anxiety,diagnostic
Read,E202500,"Social phobia, fear of public washing",res69: anxiety,diagnostic
Read,E202600,Acrophobia,res69: anxiety,diagnostic
Read,E202700,Animal phobia,res69: anxiety,diagnostic
Read,E202900,Fear of crowds,res69: anxiety,diagnostic
Read,E202A00,Fear of flying,res69: anxiety,diagnostic
Read,E202C00,Dental phobia,res69: anxiety,diagnostic
Read,E202E00,Fear of pregnancy,res69: anxiety,diagnostic
Read,E202z11,Weight fixation,res69: anxiety,diagnostic
Read,E205.00,Neurasthenia - nervous debility,res69: anxiety,diagnostic
Read,E206.00,Depersonalisation syndrome,res69: anxiety,diagnostic
Read,E20y.00,Other neurotic disorders,res69: anxiety,diagnostic
Read,E20y000,Somatization disorder,res69: anxiety,diagnostic
Read,E20y011,Briquet's disorder,res69: anxiety,diagnostic
Read,E20y100,Writer's cramp neurosis,res69: anxiety,diagnostic
Read,E20y200,Other occupational neurosis,res69: anxiety,diagnostic
Read,E20y300,Psychasthenic neurosis,res69: anxiety,diagnostic
Read,E20yz00,Other neurotic disorder NOS,res69: anxiety,diagnostic
Read,E20z.00,Neurotic disorder NOS,res69: anxiety,diagnostic
Read,E26..00,Physiological malfunction arising from mental factors,res69: anxiety,diagnostic
Read,E260.00,Psychogenic musculoskeletal symptoms,res69: anxiety,diagnostic
Read,E260000,Psychogenic paralysis,res69: anxiety,diagnostic
