Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,C00-C75,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except lymphoid, haematop",res69: cancer,diagnostic
ICD-10,C81,Hodgkin's disease,res69: cancer,diagnostic
ICD-10,C82,Follicular [nodular] non-Hodgkin's lymphoma,res69: cancer,diagnostic
ICD-10,C83,Diffuse non-Hodgkin's lymphoma,res69: cancer,diagnostic
ICD-10,C84,Peripheral and cutaneous T-cell lymphomas,res69: cancer,diagnostic
ICD-10,C85,Other and unspecified types of non-Hodgkin's lymphoma,res69: cancer,diagnostic
ICD-10,C88,Malignant immunoproliferative diseases,res69: cancer,diagnostic
ICD-10,C90,Multiple myeloma and malignant plasma cell neoplasms,res69: cancer,diagnostic
ICD-10,C91,Lymphoid leukaemia NOS,res69: cancer,diagnostic
ICD-10,C92,Myeloid leukaemia,res69: cancer,diagnostic
ICD-10,C93,Monocytic leukaemia,res69: cancer,diagnostic
ICD-10,C94,Other leukaemias of specified cell type,res69: cancer,diagnostic
ICD-10,C95,Leukaemia of unspecified cell type,res69: cancer,diagnostic
ICD-10,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",res69: cancer,diagnostic
Read,193 C,,res69: cancer,diagnostic
Read,1519L,,res69: cancer,diagnostic
Read,B30..12,Osteoma,res69: cancer,diagnostic
Read,B327000,Malignant melanoma of hip,res69: cancer,diagnostic
Read,B4y..00,Malignant neoplasm of genitourinary organ OS,res69: cancer,diagnostic
Read,B325000,Malignant melanoma of axilla,res69: cancer,diagnostic
Read,B613.00,"Hodgkin's disease, lymphocytic-histiocytic predominance",res69: cancer,diagnostic
Read,2020FL,,res69: cancer,diagnostic
Read,B64..11,Lymphatic leukaemia,res69: cancer,diagnostic
Read,B308300,Malignant neoplasm of medial cuneiform,res69: cancer,diagnostic
Read,B55yz00,Malignant neoplasm of specified site NOS,res69: cancer,diagnostic
Read,Byu7.00,[X]Malignant neoplasm of female genital organs,res69: cancer,diagnostic
Read,1719RH,,res69: cancer,diagnostic
Read,B553000,Malignant neoplasm of inguinal region NOS,res69: cancer,diagnostic
Read,ZV10112,[V]Personal history of malignant neoplasm of lung,res69: cancer,diagnostic
Read,B6y1.00,Myelosclerosis with myeloid metaplasia,res69: cancer,diagnostic
Read,1929A,,res69: cancer,diagnostic
Read,B661.00,Chronic monocytic leukaemia,res69: cancer,diagnostic
Read,191 A,,res69: cancer,diagnostic
Read,B551100,Malignant neoplasm of chest wall NOS,res69: cancer,diagnostic
Read,1579C,,res69: cancer,diagnostic
Read,B16..00,Malignant neoplasm gallbladder and extrahepatic bile ducts,res69: cancer,diagnostic
Read,B161100,Malignant neoplasm of hepatic duct,res69: cancer,diagnostic
Read,B611.00,Hodgkin's granuloma,res69: cancer,diagnostic
Read,B300000,Malignant neoplasm of ethmoid bone,res69: cancer,diagnostic
Read,B327200,Malignant melanoma of knee,res69: cancer,diagnostic
Read,B46..00,Malignant neoplasm of prostate,res69: cancer,diagnostic
Read,B002.00,"Malignant neoplasm of upper lip, inner aspect",res69: cancer,diagnostic
Read,1538AN,,res69: cancer,diagnostic
Read,B304z00,Malig neop of scapula and long bones of upper arm NOS,res69: cancer,diagnostic
Read,B20y.00,"Malig neop other site nasal cavity, middle ear and sinuses",res69: cancer,diagnostic
Read,B17..00,Malignant neoplasm of pancreas,res69: cancer,diagnostic
Read,B510000,Malignant neoplasm of basal ganglia,res69: cancer,diagnostic
