Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,I60-I69,Cerebrovascular diseases,res69: cerebrovascular_disease,diagnostic
ICD-10,G45,Transient cerebral ischaemic attacks and related syndromes,res69: cerebrovascular_disease,diagnostic
ICD-10,G46,Vascular syndromes of brain in cerebrovascular diseases,res69: cerebrovascular_disease,diagnostic
Read,G6z..00,Cerebrovascular disease NOS,res69: cerebrovascular_disease,diagnostic
Read,G664.00,Cerebellar stroke syndrome,res69: cerebrovascular_disease,diagnostic
Read,G633.00,Multiple and bilateral precerebral arterial occlusion,res69: cerebrovascular_disease,diagnostic
Read,G669.00,"Cerebral palsy, not congenital or infantile, acute",res69: cerebrovascular_disease,diagnostic
Read,G65y.00,Other transient cerebral ischaemia,res69: cerebrovascular_disease,diagnostic
Read,G601.00,Subarachnoid haemorrhage from carotid siphon and bifurcation,res69: cerebrovascular_disease,diagnostic
Read,G603.00,Subarachnoid haemorrhage from anterior communicating artery,res69: cerebrovascular_disease,diagnostic
Read,Gyu6.00,[X]Cerebrovascular diseases,res69: cerebrovascular_disease,diagnostic
Read,662M.00,Stroke monitoring,res69: cerebrovascular_disease,diagnostic
Read,G681.00,Sequelae of intracerebral haemorrhage,res69: cerebrovascular_disease,diagnostic
Read,G66..12,Stroke unspecified,res69: cerebrovascular_disease,diagnostic
Read,7004300,Evacuation of intracerebral haematoma NEC,res69: cerebrovascular_disease,diagnostic
Read,G63z.00,Precerebral artery occlusion NOS,res69: cerebrovascular_disease,diagnostic
Read,S628.00,Traumatic subdural haemorrhage,res69: cerebrovascular_disease,diagnostic
Read,G61X100,"Right sided intracerebral haemorrhage, unspecified",res69: cerebrovascular_disease,diagnostic
Read,G665.00,Pure motor lacunar syndrome,res69: cerebrovascular_disease,diagnostic
Read,Gyu6F00,"[X]Intracerebral haemorrhage in hemisphere, unspecified",res69: cerebrovascular_disease,diagnostic
Read,G65..00,Transient cerebral ischaemia,res69: cerebrovascular_disease,diagnostic
Read,Gyu6100,[X]Other subarachnoid haemorrhage,res69: cerebrovascular_disease,diagnostic
Read,G60..00,Subarachnoid haemorrhage,res69: cerebrovascular_disease,diagnostic
Read,G62z.00,Intracranial haemorrhage NOS,res69: cerebrovascular_disease,diagnostic
Read,G671.00,Generalised ischaemic cerebrovascular disease NOS,res69: cerebrovascular_disease,diagnostic
Read,G64..13,Stroke due to cerebral arterial occlusion,res69: cerebrovascular_disease,diagnostic
Read,Gyu6000,[X]Subarachnoid haemorrhage from other intracranial arteries,res69: cerebrovascular_disease,diagnostic
Read,G60X.00,"Subarachnoid haemorrh from intracranial artery, unspecif",res69: cerebrovascular_disease,diagnostic
Read,G666.00,Pure sensory lacunar syndrome,res69: cerebrovascular_disease,diagnostic
Read,G662.00,Posterior cerebral artery syndrome,res69: cerebrovascular_disease,diagnostic
Read,G618.00,"Intracerebral haemorrhage, multiple localized",res69: cerebrovascular_disease,diagnostic
Read,G66..11,CVA unspecified,res69: cerebrovascular_disease,diagnostic
Read,G602.00,Subarachnoid haemorrhage from middle cerebral artery,res69: cerebrovascular_disease,diagnostic
Read,G61..00,Intracerebral haemorrhage,res69: cerebrovascular_disease,diagnostic
Read,G65z.00,Transient cerebral ischaemia NOS,res69: cerebrovascular_disease,diagnostic
Read,G663.00,Brain stem stroke syndrome,res69: cerebrovascular_disease,diagnostic
Read,G6...00,Cerebrovascular disease,res69: cerebrovascular_disease,diagnostic
Read,G67y.00,Other cerebrovascular disease OS,res69: cerebrovascular_disease,diagnostic
Read,G60z.00,Subarachnoid haemorrhage NOS,res69: cerebrovascular_disease,diagnostic
Read,F11x200,Cerebral degeneration due to cerebrovascular disease,res69: cerebrovascular_disease,diagnostic
Read,G677400,Occlusion+stenosis of multiple and bilat cerebral arteries,res69: cerebrovascular_disease,diagnostic
