Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,F00-F03,Dementia in Alzheimer's disease,res69: dementia,diagnostic
ICD-10,F05.1,Delirium superimposed on dementia,res69: dementia,diagnostic
ICD-10,G30,Alzheimer's disease,res69: dementia,diagnostic
ICD-10,G31.1,"Senile degeneration of brain, not elsewhere classified",res69: dementia,diagnostic
Read,A411.00,Jakob-Creutzfeldt disease,res69: dementia,diagnostic
Read,E000.00,Uncomplicated senile dementia,res69: dementia,diagnostic
Read,E001.00,Presenile dementia,res69: dementia,diagnostic
Read,E001000,Uncomplicated presenile dementia,res69: dementia,diagnostic
Read,E00..11,Senile dementia,res69: dementia,diagnostic
Read,E001100,Presenile dementia with delirium,res69: dementia,diagnostic
Read,E00..12,Senile/presenile dementia,res69: dementia,diagnostic
Read,E001200,Presenile dementia with paranoia,res69: dementia,diagnostic
Read,E001300,Presenile dementia with depression,res69: dementia,diagnostic
Read,E001z00,Presenile dementia NOS,res69: dementia,diagnostic
Read,E002.00,Senile dementia with depressive or paranoid features,res69: dementia,diagnostic
Read,E002000,Senile dementia with paranoia,res69: dementia,diagnostic
Read,E002100,Senile dementia with depression,res69: dementia,diagnostic
Read,E002z00,Senile dementia with depressive or paranoid features NOS,res69: dementia,diagnostic
Read,E003.00,Senile dementia with delirium,res69: dementia,diagnostic
Read,E004.00,Arteriosclerotic dementia,res69: dementia,diagnostic
Read,E004000,Uncomplicated arteriosclerotic dementia,res69: dementia,diagnostic
Read,E004100,Arteriosclerotic dementia with delirium,res69: dementia,diagnostic
Read,E004.11,Multi infarct dementia,res69: dementia,diagnostic
Read,E004200,Arteriosclerotic dementia with paranoia,res69: dementia,diagnostic
Read,E004300,Arteriosclerotic dementia with depression,res69: dementia,diagnostic
Read,E004z00,Arteriosclerotic dementia NOS,res69: dementia,diagnostic
Read,E00y.00,Other senile and presenile organic psychoses,res69: dementia,diagnostic
Read,E00y.11,Presbyophrenic psychosis,res69: dementia,diagnostic
Read,E00z.00,Senile or presenile psychoses NOS,res69: dementia,diagnostic
Read,E012.00,Other alcoholic dementia,res69: dementia,diagnostic
Read,E012000,Chronic alcoholic brain syndrome,res69: dementia,diagnostic
Read,E012.11,Alcoholic dementia NOS,res69: dementia,diagnostic
Read,E02y100,Drug-induced dementia,res69: dementia,diagnostic
Read,E041.00,Dementia in conditions EC,res69: dementia,diagnostic
Read,Eu00.00,[X]Dementia in Alzheimer's disease,res69: dementia,diagnostic
Read,Eu00011,[X]Presenile dementia;Alzheimer's type,res69: dementia,diagnostic
Read,Eu00012,[X]Primary degen dementia; Alzheimer's type; presenile onset,res69: dementia,diagnostic
Read,Eu00013,[X]Alzheimer's disease type 2,res69: dementia,diagnostic
Read,Eu00100,[X]Dementia in Alzheimer's disease with late onset,res69: dementia,diagnostic
Read,Eu00111,[X]Alzheimer's disease type 1,res69: dementia,diagnostic
Read,Eu00112,[X]Senile dementia;Alzheimer's type,res69: dementia,diagnostic
Read,Eu00113,[X]Primary degen dementia of Alzheimer's type; senile onset,res69: dementia,diagnostic
Read,Eu00200,[X]Dementia in Alzheimer's dis; atypical or mixed type,res69: dementia,diagnostic
Read,Eu00z00,[X]Dementia in Alzheimer's disease; unspecified,res69: dementia,diagnostic
Read,Eu00z11,[X]Alzheimer's dementia unspec,res69: dementia,diagnostic
Read,Eu01.00,[X]Vascular dementia,res69: dementia,diagnostic
