Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,E11.8,Non-insulin depend diabetes mellitus with  unspecified complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.4,Non-insulin depend diabetes mellitus with neurological complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.2,Insulin-dependent diabetes mellitus with renal complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.3,Insulin-dependent diabetes mellitus with ophthalmic complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.4,Insulin-dependent diabetes mellitus with neurological complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.5,Insulin-dependent diabetes mellitus with peripheral circulatory complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.6,Insulin-dependent diabetes mellitus with other specified complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.7,Insulin-dependent diabetes mellitus with  multiple complications,res69: diabetes_with_complications,diagnostic
ICD-10,E10.8,Insulin-dependent diabetes mellitus with unspecified complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.2,Non-insulin depend diabetes mellitus with  renal complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.3,Non-insulin depend diabetes mellitus with ophthalmic complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.5,Non-insulin depend diabetes mellitus with peripheral circulatory complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.6,Non-insulin depend diabetes mellitus with other specified complications,res69: diabetes_with_complications,diagnostic
ICD-10,E11.7,Non-insulin depend diabetes mellitus with multiple complications,res69: diabetes_with_complications,diagnostic
Read,C108B00,Insulin dependent diabetes mellitus with mononeuropathy,res69: diabetes_with_complications,diagnostic
Read,C109B11,Type II diabetes mellitus with polyneuropathy,res69: diabetes_with_complications,diagnostic
Read,C108F11,Type I diabetes mellitus with diabetic cataract,res69: diabetes_with_complications,diagnostic
Read,C108200,Insulin-dependent diabetes mellitus with neurological comps,res69: diabetes_with_complications,diagnostic
Read,C108H00,Insulin dependent diabetes mellitus with arthropathy,res69: diabetes_with_complications,diagnostic
Read,F420100,Proliferative diabetic retinopathy,res69: diabetes_with_complications,diagnostic
