Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,K72,Acute and subacute hepatic failure,res69: mod_liver_disease,diagnostic
ICD-10,K76.6,Portal hypertension,res69: mod_liver_disease,diagnostic
ICD-10,B19.0,Unspecified viral hepatitis hepatic with coma,res69: mod_liver_disease,diagnostic
ICD-10,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,res69: mod_liver_disease,diagnostic
ICD-10,B16.2,Acute hepatitis B without delta-agent with hepatic coma,res69: mod_liver_disease,diagnostic
ICD-10,K70.4,Alcoholic hepatic failure,res69: mod_liver_disease,diagnostic
ICD-10,I85,Oesophageal varices,res69: mod_liver_disease,diagnostic
ICD-10,B15.0,Acute hepatitis A with hepatic coma,res69: mod_liver_disease,diagnostic
Read,J622.00,Hepatic coma,res69: mod_liver_disease,diagnostic
Read,G852200,Oesophageal varices in cirrhosis of the liver,res69: mod_liver_disease,diagnostic
Read,G851.00,Oesophageal varices without bleeding,res69: mod_liver_disease,diagnostic
Read,G852.00,Oesophageal varices in diseases EC,res69: mod_liver_disease,diagnostic
Read,G85..11,Oesophageal varices,res69: mod_liver_disease,diagnostic
Read,J62y.00,Other sequelae of chronic liver disease,res69: mod_liver_disease,diagnostic
Read,J624.00,Hepatorenal syndrome,res69: mod_liver_disease,diagnostic
Read,J62z.00,Liver abscess and chronic liver disease causing sequelae NOS,res69: mod_liver_disease,diagnostic
Read,A704z00,Other specified viral hepatitis with hepatic coma NOS,res69: mod_liver_disease,diagnostic
Read,G850.00,Oesophageal varices with bleeding,res69: mod_liver_disease,diagnostic
Read,G852000,Oesophageal varices with bleeding in diseases EC,res69: mod_liver_disease,diagnostic
Read,G852100,Oesophageal varices without bleeding in diseases EC,res69: mod_liver_disease,diagnostic
Read,G858.00,Oesophageal varices NOS,res69: mod_liver_disease,diagnostic
Read,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,res69: mod_liver_disease,diagnostic
Read,J623.00,Portal hypertension,res69: mod_liver_disease,diagnostic
Read,G852z00,Oesophageal varices in diseases EC NOS,res69: mod_liver_disease,diagnostic
Read,Gyu9400,[X]Oesophageal varices in diseases classified elsewhere,res69: mod_liver_disease,diagnostic
Read,760F300,Rigid oesophagoscopic injection sclerotherapy oesoph varices,res69: mod_liver_disease,diagnostic
