Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,K25,Gastric ulcer,res69: peptic_ulcer_disease,diagnostic
ICD-10,K22.1,Ulcer of oesophagus,res69: peptic_ulcer_disease,diagnostic
ICD-10,K27,"Peptic ulcer, site unspecified",res69: peptic_ulcer_disease,diagnostic
ICD-10,K26,Duodenal ulcer,res69: peptic_ulcer_disease,diagnostic
ICD-10,K28,Gastrojejunal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J11..00,Gastric ulcer - (GU),res69: peptic_ulcer_disease,diagnostic
Read,J13y300,Unspecified peptic ulcer with haemorrhage and perforation,res69: peptic_ulcer_disease,diagnostic
Read,J121300,Chronic duodenal ulcer with haemorrhage and perforation,res69: peptic_ulcer_disease,diagnostic
Read,J130000,Acute peptic ulcer without mention of complication,res69: peptic_ulcer_disease,diagnostic
Read,J110.00,Acute gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J12yz00,Unspecified duodenal ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J120z00,Acute duodenal ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J121111,Bleeding chronic duodenal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J13y.00,Unspecified peptic ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J14..15,Stomal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J130100,Acute peptic ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,761D600,Endoscopic injection haemostasis of gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J13y100,Unspecified peptic ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,J11y000,Unspecified gastric ulcer without mention of complication,res69: peptic_ulcer_disease,diagnostic
Read,J130z00,Acute peptic ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J124.00,Recurrent duodenal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,761Jy00,Other specified operation on gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J131z00,Chronic peptic ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J110100,Acute gastric ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,J110200,Acute gastric ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J14y100,Unspecified gastrojejunal ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,J111211,Perforated chronic gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J11..12,Pyloric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,761J.11,Stomach ulcer operations,res69: peptic_ulcer_disease,diagnostic
Read,J120100,Acute duodenal ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,J13..00,Peptic ulcer - (PU) site unspecified,res69: peptic_ulcer_disease,diagnostic
Read,J130300,Acute peptic ulcer with haemorrhage and perforation,res69: peptic_ulcer_disease,diagnostic
Read,J131.00,Chronic peptic ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J11y.00,Unspecified gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,7627.00,Operations on duodenal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J131y00,Chronic peptic ulcer unspecified,res69: peptic_ulcer_disease,diagnostic
Read,J12z.00,Duodenal ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J12y200,Unspecified duodenal ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J121.00,Chronic duodenal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J140.00,Acute gastrojejunal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J141.00,Chronic gastrojejunal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J121y00,Chronic duodenal ulcer unspecified,res69: peptic_ulcer_disease,diagnostic
Read,J14y.00,Unspecified gastrojejunal ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J121z00,Chronic duodenal ulcer NOS,res69: peptic_ulcer_disease,diagnostic
Read,J131400,Chronic peptic ulcer with obstruction,res69: peptic_ulcer_disease,diagnostic
Read,J130200,Acute peptic ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J120200,Acute duodenal ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J140200,Acute gastrojejunal ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J13y200,Unspecified peptic ulcer with perforation,res69: peptic_ulcer_disease,diagnostic
Read,J131100,Chronic peptic ulcer with haemorrhage,res69: peptic_ulcer_disease,diagnostic
Read,J120300,Acute duodenal ulcer with haemorrhage and perforation,res69: peptic_ulcer_disease,diagnostic
Read,J111.00,Chronic gastric ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J11y400,Unspecified gastric ulcer with obstruction,res69: peptic_ulcer_disease,diagnostic
Read,J131000,Chronic peptic ulcer without mention of complication,res69: peptic_ulcer_disease,diagnostic
Read,J12yy00,Unspec duodenal ulcer; unspec haemorrhage and/or perforation,res69: peptic_ulcer_disease,diagnostic
Read,ZV12711,[V]Personal history of peptic ulcer,res69: peptic_ulcer_disease,diagnostic
Read,J14..12,Gastrocolic ulcer,res69: peptic_ulcer_disease,diagnostic
