Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,F60,Specific personality disorders,res69: person_disorder,diagnostic
ICD-10,F61,Mixed and other personality disorders,res69: person_disorder,diagnostic
Read,E217.00,Antisocial or sociopathic personality disorder,res69: person_disorder,diagnostic
Read,E21..00,Personality disorders,res69: person_disorder,diagnostic
Read,E21..11,Neurotic personality disorder,res69: person_disorder,diagnostic
Read,E210.00,Paranoid personality disorder,res69: person_disorder,diagnostic
Read,E211.00,Affective personality disorder,res69: person_disorder,diagnostic
Read,E211000,Unspecified affective personality disorder,res69: person_disorder,diagnostic
Read,E211100,hypomanic personality disorder,res69: person_disorder,diagnostic
Read,E211200,depressive personality disorder,res69: person_disorder,diagnostic
Read,E211300,cyclothymic personality disorder,res69: person_disorder,diagnostic
Read,E211z00,Affective personality disorder NOS,res69: person_disorder,diagnostic
Read,E212.00,schizoid personality disorder,res69: person_disorder,diagnostic
Read,E212000,unspecified schizoid personality disorder,res69: person_disorder,diagnostic
Read,E212z00,schizoid personality disorder nos,res69: person_disorder,diagnostic
Read,E213.00,Explosive personality disorder,res69: person_disorder,diagnostic
Read,E214.00,Compulsive personality disorders,res69: person_disorder,diagnostic
Read,E214.11,Anancastic personality,res69: person_disorder,diagnostic
Read,E214000,Anankastic personality,res69: person_disorder,diagnostic
Read,E214z00,Compulsive personality disorder NOS,res69: person_disorder,diagnostic
Read,E215.00,Histrionic personality disorders,res69: person_disorder,diagnostic
Read,E215.11,Hysterical personality disorders,res69: person_disorder,diagnostic
Read,E215000,Unspecified histrionic personality disorder,res69: person_disorder,diagnostic
Read,E215z00,Histrionic personality disorder NOS,res69: person_disorder,diagnostic
Read,E216.00,Inadequate personality disorder,res69: person_disorder,diagnostic
Read,E21y.00,Other personality disorders,res69: person_disorder,diagnostic
Read,E21y000,Narcissistic personality disorder,res69: person_disorder,diagnostic
Read,E21y100,Avoidant personality disorder,res69: person_disorder,diagnostic
Read,E21y200,Borderline personality disorder,res69: person_disorder,diagnostic
Read,E21y300,Passive-aggressive personality disorder,res69: person_disorder,diagnostic
Read,E21y400,Eccentric personality disorder,res69: person_disorder,diagnostic
Read,E21y500,Immature personality disorder,res69: person_disorder,diagnostic
Read,E21y600,Masochistic personality disorder,res69: person_disorder,diagnostic
Read,E21y700,Psychoneurotic personality disorder,res69: person_disorder,diagnostic
Read,E21yz00,Other personality disorder NOS,res69: person_disorder,diagnostic
Read,E21z.00,Personality disorder NOS,res69: person_disorder,diagnostic
Read,E21z.11,Psychopathic personality,res69: person_disorder,diagnostic
Read,Eu06000,[X]Organic personality disorder,res69: person_disorder,diagnostic
Read,Eu06011,[X]Organic pseudopsychopathic personality,res69: person_disorder,diagnostic
Read,Eu21.17,[x]pseudopsychopathic schizophrenia,res69: person_disorder,diagnostic
Read,Eu21.18,[x]schizotypal personality disorder,res69: person_disorder,diagnostic
Read,Eu34011,[X]Affective personality disorder,res69: person_disorder,diagnostic
Read,Eu34112,[x]depressive personality disorder,res69: person_disorder,diagnostic
Read,Eu60.00,[X]Specific personality disorders,res69: person_disorder,diagnostic
Read,Eu60000,[X]Paranoid personality disorder,res69: person_disorder,diagnostic
Read,Eu60013,[X]Querulant personality disorder,res69: person_disorder,diagnostic
Read,Eu60014,[X]Sensitive paranoid personality disorder,res69: person_disorder,diagnostic
Read,Eu60100,[x]schizoid personality disorder,res69: person_disorder,diagnostic
