Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,M09,Juvenile arthritis in disease classified elsewhere,res69: rheumatological_disease,diagnostic
ICD-10,M30-M36,Systemic connective tissue disorders,res69: rheumatological_disease,diagnostic
ICD-10,D86,Sarcoidosis,res69: rheumatological_disease,diagnostic
ICD-10,M05,Seropositive rheumatoid arthritis,res69: rheumatological_disease,diagnostic
ICD-10,M06,Other rheumatoid arthritis,res69: rheumatological_disease,diagnostic
ICD-10,M08,Juvenile arthritis,res69: rheumatological_disease,diagnostic
Read,N040M00,Rheumatoid arthritis of IP joint of toe,res69: rheumatological_disease,diagnostic
Read,N2z..00,Nonarticular rheumatism NOS,res69: rheumatological_disease,diagnostic
Read,Nyu1100,[X]Other seropositive rheumatoid arthritis,res69: rheumatological_disease,diagnostic
Read,N04y111,Sero negative polyarthritis,res69: rheumatological_disease,diagnostic
Read,N040700,Rheumatoid arthritis of wrist,res69: rheumatological_disease,diagnostic
Read,Nyu4300,[X]Other forms of systemic lupus erythematosus,res69: rheumatological_disease,diagnostic
Read,N20..00,Polymyalgia rheumatica,res69: rheumatological_disease,diagnostic
Read,N041.00,Felty's syndrome,res69: rheumatological_disease,diagnostic
Read,N040900,Rheumatoid arthritis of PIP joint of finger,res69: rheumatological_disease,diagnostic
Read,K01x411,Lupus nephritis,res69: rheumatological_disease,diagnostic
Read,Nyu4500,[X]Other forms of systemic sclerosis,res69: rheumatological_disease,diagnostic
Read,F396600,Myopathy due to scleroderma,res69: rheumatological_disease,diagnostic
Read,N001.12,Systemic sclerosis,res69: rheumatological_disease,diagnostic
Read,Nyu1G00,"[X]Seropositive rheumatoid arthritis, unspecified",res69: rheumatological_disease,diagnostic
Read,N040C00,Rheumatoid arthritis of sacro-iliac joint,res69: rheumatological_disease,diagnostic
Read,K01x400,Nephrotic syndrome in systemic lupus erythematosus,res69: rheumatological_disease,diagnostic
Read,N060.11,Endemic polyarthritis,res69: rheumatological_disease,diagnostic
Read,N240200,Muscular rheumatism,res69: rheumatological_disease,diagnostic
Read,H57y100,Lung disease with polymyositis,res69: rheumatological_disease,diagnostic
Read,N240.00,Rheumatism and fibrositis unspecified,res69: rheumatological_disease,diagnostic
Read,N000.00,Systemic lupus erythematosus,res69: rheumatological_disease,diagnostic
Read,N000400,Systemic lupus erythematosus with pericarditis,res69: rheumatological_disease,diagnostic
Read,N040T00,Flare of rheumatoid arthritis,res69: rheumatological_disease,diagnostic
Read,N040F00,Rheumatoid arthritis of ankle,res69: rheumatological_disease,diagnostic
Read,N240000,Rheumatism unspecified,res69: rheumatological_disease,diagnostic
Read,N2y..00,Other specified nonarticular rheumatism,res69: rheumatological_disease,diagnostic
Read,F396100,Myopathy due to disseminated lupus erythematosus,res69: rheumatological_disease,diagnostic
Read,N040L00,Rheumatoid arthritis of lesser MTP joint,res69: rheumatological_disease,diagnostic
Read,Nyu1200,[X]Other specified rheumatoid arthritis,res69: rheumatological_disease,diagnostic
Read,N004.00,Polymyositis,res69: rheumatological_disease,diagnostic
Read,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy,res69: rheumatological_disease,diagnostic
