Coding System (Read),Codes,Description,Entity type,Category
Read,C10E611,Type I diabetes mellitus with gangrene,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108011,Type I diabetes mellitus with renal complications,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E412,Unstable insulin dependent diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108411,Unstable type I diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EA00,Type 1 diabetes mellitus without complication,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108G11,Type I diabetes mellitus with peripheral angiopathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemi,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EN11,Type I diabetes mellitus with ketoacidotic coma,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108C11,Type I diabetes mellitus with polyneuropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108H00,Insulin dependent diabetes mellitus with arthropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,66AS.00,Diabetic annual review,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EJ12,Insulin dependent diab mell with neuropathic arthropa,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EC12,Insulin dependent diabetes mellitus with polyneuropat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108D00,Insulin dependent diabetes mellitus with nephropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108412,Unstable type 1 diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EJ11,Type I diabetes mellitus with neuropathic arthropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar c",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108A12,Type 1 diabetes mellitus without complication,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E500,Type 1 diabetes mellitus with ulcer,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EM11,Type I diabetes mellitus with ketoacidosis,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108E12,Type 1 diabetes mellitus with hypoglycaemic coma,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EF11,Type I diabetes mellitus with diabetic cataract,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108C00,Insulin dependent diabetes mellitus with polyneuropat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108C12,Type 1 diabetes mellitus with polyneuropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108612,Type 1 diabetes mellitus with gangrene,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108811,Type I diabetes mellitus - poor control,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108F12,Type 1 diabetes mellitus with diabetic cataract,res67: Diabetes_Diagnostic_Code,diagnostic
Read,L180500,"Pre-existing diabetes mellitus, insulin-dependent",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108G00,Insulin dependent diab mell with peripheral angiopath,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108500,Insulin dependent diabetes mellitus with ulcer,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EB12,Insulin dependent diabetes mellitus with mononeuropat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EE00,Type 1 diabetes mellitus with hypoglycaemic coma,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E.12,Insulin dependent diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E511,Type I diabetes mellitus with ulcer,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E312,Insulin dependent diabetes mellitus with multiple com,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108912,Type 1 diabetes mellitus maturity onset,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108.11,IDDM-Insulin dependent diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E900,Type 1 diabetes mellitus maturity onset,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E.11,Type I diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108300,Insulin dependent diabetes mellitus with multiple com,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EH00,Type 1 diabetes mellitus with arthropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EG12,Insulin dependent diab mell with peripheral angiopath,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C103000,"Diabetes mellitus, juvenile type, with ketoacidotic c",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108200,Insulin-dependent diabetes mellitus with neurological,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EB11,Type I diabetes mellitus with mononeuropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EK11,Type I diabetes mellitus with persistent proteinuria,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EL00,Type 1 diabetes mellitus with persistent microalbumin,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108800,Insulin dependent diabetes mellitus - poor control,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108812,Type 1 diabetes mellitus - poor control,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108400,Unstable insulin dependent diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E200,Type 1 diabetes mellitus with neurological complicati,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E212,Insulin-dependent diabetes mellitus with neurological,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108611,Type I diabetes mellitus with gangrene,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108711,Type I diabetes mellitus with retinopathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E811,Type I diabetes mellitus - poor control,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C100000,"Diabetes mellitus, juvenile type, no mention of compl",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C107300,IDDM with peripheral circulatory disorder,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E800,Type 1 diabetes mellitus - poor control,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E612,Insulin dependent diabetes mellitus with gangrene,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E.00,Type 1 diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108D12,Type 1 diabetes mellitus with nephropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C107000,"Diabetes mellitus, juvenile +peripheral circulatory d",res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108D11,Type I diabetes mellitus with nephropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108900,Insulin dependent diabetes maturity onset,res67: Diabetes_Diagnostic_Code,diagnostic
Read,66An.00,Diabetes type 1 review,res67: Diabetes_Diagnostic_Code,diagnostic
Read,ZC2C911,Diet advice for insulin-dependent diabetes,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108F11,Type I diabetes mellitus with diabetic cataract,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108J00,Insulin dependent diab mell with neuropathic arthropa,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108B12,Type 1 diabetes mellitus with mononeuropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10ED00,Type 1 diabetes mellitus with nephropathy,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10E411,Unstable type I diabetes mellitus,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108F00,Insulin dependent diabetes mellitus with diabetic cat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C108B00,Insulin dependent diabetes mellitus with mononeuropat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EF12,Insulin dependent diabetes mellitus with diabetic cat,res67: Diabetes_Diagnostic_Code,diagnostic
Read,C10EQ00,Type 1 diabetes mellitus with gastroparesis,res67: Diabetes_Diagnostic_Code,diagnostic
