Coding System (Read),Codes,Description,Entity type,Category
Read,97087997,Metformin 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,96111990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,83032998,Metformin 1g modified-release tablets,res67: Diabetes_Drug_Code,drug
Read,81344998,METFORMIN HCL 1000mg m/r tabs,res67: Diabetes_Drug_Code,drug
Read,99514990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,97087998,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,94235992,METFORMIN HCl 500 MG TAB,res67: Diabetes_Drug_Code,drug
Read,98654990,Metformin 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,79510979,Metformin 850mg/5ml oral solution,res67: Diabetes_Drug_Code,drug
Read,87883998,METFORMIN HCL 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,91221997,METFORMIN HCL 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,54786979,METFORMIN HCL 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,96270990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,98125989,Metformin 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,83619998,METFORMIN HCL 500mg m/r tabs,res67: Diabetes_Drug_Code,drug
Read,99513989,Metformin 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,99590997,METFORMIN HCL 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,96850990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,97110989,Metformin 850mg tablets,res67: Diabetes_Drug_Code,drug
Read,92983990,Metformin 500mg/5ml oral solution sugar free,res67: Diabetes_Drug_Code,drug
Read,99149990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,99513990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,98125990,Metformin 500mg tablets,res67: Diabetes_Drug_Code,drug
Read,95271992,METFORMIN HCl 850 MG TAB,res67: Diabetes_Drug_Code,drug
Read,58558979,METFORMIN HCL 500mg m/r tabs,res67: Diabetes_Drug_Code,drug
Read,98475998,ACARBOSE 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,98915998,Acarbose 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,98915997,Acarbose 100mg tablets,res67: Diabetes_Drug_Code,drug
Read,98475997,ACARBOSE 100mg tablets,res67: Diabetes_Drug_Code,drug
Read,84697998,Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices,res67: Diabetes_Drug_Code,drug
Read,82793998,LIRAGLUTIDE 6mg/mL pen,res67: Diabetes_Drug_Code,drug
Read,84696998,Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices,res67: Diabetes_Drug_Code,drug
Read,84694998,EXENATIDE 5mcg/0.02mL inj pen,res67: Diabetes_Drug_Code,drug
Read,82794998,Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices,res67: Diabetes_Drug_Code,drug
Read,81307998,Exenatide 2mg powder and solvent for suspension for injection vials,res67: Diabetes_Drug_Code,drug
Read,84693998,EXENATIDE 10mcg/0.04mL inj pen,res67: Diabetes_Drug_Code,drug
Read,81305998,EXENATIDE 2mg pdr+solv inj,res67: Diabetes_Drug_Code,drug
Read,81159998,LINAGLIPTIN 5mg tablets,res67: Diabetes_Drug_Code,drug
Read,81514998,Saxagliptin 2.5mg tablets,res67: Diabetes_Drug_Code,drug
Read,84639998,SITAGLIPTIN 100mg tablets,res67: Diabetes_Drug_Code,drug
Read,82573998,SAXAGLIPTIN 5mg tablets,res67: Diabetes_Drug_Code,drug
Read,59371979,SITAGLIPTIN 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,82575998,Saxagliptin 5mg tablets,res67: Diabetes_Drug_Code,drug
Read,81160998,Linagliptin 5mg tablets,res67: Diabetes_Drug_Code,drug
Read,84338998,VILDAGLIPTIN 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,81513998,SAXAGLIPTIN 2.5mg tablets,res67: Diabetes_Drug_Code,drug
Read,59373979,SITAGLIPTIN 25mg tablets,res67: Diabetes_Drug_Code,drug
Read,84640998,Sitagliptin 100mg tablets,res67: Diabetes_Drug_Code,drug
Read,59374979,Sitagliptin 25mg tablets,res67: Diabetes_Drug_Code,drug
Read,59372979,Sitagliptin 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,84341998,Vildagliptin 50mg tablets,res67: Diabetes_Drug_Code,drug
Read,87884998,PIOGLITAZONE 45mg tablets,res67: Diabetes_Drug_Code,drug
