Coding System (Read),Codes,Description,Entity type,Category
Read,88441998,,res67: Hypertension_Drug_Code,drug
Read,88448997,,res67: Hypertension_Drug_Code,drug
Read,88448998,,res67: Hypertension_Drug_Code,drug
Read,88457998,,res67: Hypertension_Drug_Code,drug
Read,88461998,,res67: Hypertension_Drug_Code,drug
Read,88481997,,res67: Hypertension_Drug_Code,drug
Read,88481998,,res67: Hypertension_Drug_Code,drug
Read,88491998,,res67: Hypertension_Drug_Code,drug
Read,88506996,,res67: Hypertension_Drug_Code,drug
Read,88506997,,res67: Hypertension_Drug_Code,drug
Read,88506998,,res67: Hypertension_Drug_Code,drug
Read,88507996,,res67: Hypertension_Drug_Code,drug
Read,88507997,,res67: Hypertension_Drug_Code,drug
Read,88507998,,res67: Hypertension_Drug_Code,drug
Read,88508996,,res67: Hypertension_Drug_Code,drug
Read,88508998,,res67: Hypertension_Drug_Code,drug
Read,88541998,,res67: Hypertension_Drug_Code,drug
Read,88551997,,res67: Hypertension_Drug_Code,drug
Read,88555998,,res67: Hypertension_Drug_Code,drug
Read,88714998,,res67: Hypertension_Drug_Code,drug
Read,88837996,,res67: Hypertension_Drug_Code,drug
Read,88837997,,res67: Hypertension_Drug_Code,drug
Read,88837998,,res67: Hypertension_Drug_Code,drug
Read,88877997,,res67: Hypertension_Drug_Code,drug
Read,88877998,,res67: Hypertension_Drug_Code,drug
Read,88884998,,res67: Hypertension_Drug_Code,drug
Read,88945996,,res67: Hypertension_Drug_Code,drug
Read,88945997,,res67: Hypertension_Drug_Code,drug
Read,88945998,,res67: Hypertension_Drug_Code,drug
Read,88955998,,res67: Hypertension_Drug_Code,drug
Read,88958997,,res67: Hypertension_Drug_Code,drug
Read,88958998,,res67: Hypertension_Drug_Code,drug
Read,88995979,,res67: Hypertension_Drug_Code,drug
Read,88996979,,res67: Hypertension_Drug_Code,drug
Read,89020998,,res67: Hypertension_Drug_Code,drug
Read,89024998,,res67: Hypertension_Drug_Code,drug
Read,89057997,,res67: Hypertension_Drug_Code,drug
Read,89057998,,res67: Hypertension_Drug_Code,drug
Read,89058996,,res67: Hypertension_Drug_Code,drug
Read,89058997,,res67: Hypertension_Drug_Code,drug
Read,89058998,,res67: Hypertension_Drug_Code,drug
Read,89061997,,res67: Hypertension_Drug_Code,drug
Read,89061998,,res67: Hypertension_Drug_Code,drug
Read,89067998,,res67: Hypertension_Drug_Code,drug
Read,89069996,,res67: Hypertension_Drug_Code,drug
Read,89069997,,res67: Hypertension_Drug_Code,drug
Read,89069998,,res67: Hypertension_Drug_Code,drug
Read,89085997,,res67: Hypertension_Drug_Code,drug
Read,89085998,,res67: Hypertension_Drug_Code,drug
Read,89087996,,res67: Hypertension_Drug_Code,drug
Read,89087997,,res67: Hypertension_Drug_Code,drug
Read,89087998,,res67: Hypertension_Drug_Code,drug
Read,89102997,,res67: Hypertension_Drug_Code,drug
Read,89102998,,res67: Hypertension_Drug_Code,drug
Read,89103998,,res67: Hypertension_Drug_Code,drug
Read,89145998,,res67: Hypertension_Drug_Code,drug
Read,89186998,,res67: Hypertension_Drug_Code,drug
Read,89190997,,res67: Hypertension_Drug_Code,drug
Read,89190998,,res67: Hypertension_Drug_Code,drug
Read,89282996,,res67: Hypertension_Drug_Code,drug
Read,89282997,,res67: Hypertension_Drug_Code,drug
Read,89282998,,res67: Hypertension_Drug_Code,drug
Read,89283996,,res67: Hypertension_Drug_Code,drug
Read,89283997,,res67: Hypertension_Drug_Code,drug
Read,89283998,,res67: Hypertension_Drug_Code,drug
Read,89292997,,res67: Hypertension_Drug_Code,drug
Read,89292998,,res67: Hypertension_Drug_Code,drug
Read,89305998,,res67: Hypertension_Drug_Code,drug
Read,89337998,,res67: Hypertension_Drug_Code,drug
Read,89424998,,res67: Hypertension_Drug_Code,drug
Read,89431998,,res67: Hypertension_Drug_Code,drug
Read,89459998,,res67: Hypertension_Drug_Code,drug
Read,89513996,,res67: Hypertension_Drug_Code,drug
Read,89513997,,res67: Hypertension_Drug_Code,drug
Read,89513998,,res67: Hypertension_Drug_Code,drug
Read,89514996,,res67: Hypertension_Drug_Code,drug
Read,89514997,,res67: Hypertension_Drug_Code,drug
Read,89514998,,res67: Hypertension_Drug_Code,drug
Read,89519996,,res67: Hypertension_Drug_Code,drug
Read,89519997,,res67: Hypertension_Drug_Code,drug
Read,89519998,,res67: Hypertension_Drug_Code,drug
Read,89522996,,res67: Hypertension_Drug_Code,drug
Read,89522997,,res67: Hypertension_Drug_Code,drug
Read,89522998,,res67: Hypertension_Drug_Code,drug
Read,89543998,,res67: Hypertension_Drug_Code,drug
Read,89618998,,res67: Hypertension_Drug_Code,drug
Read,89652997,,res67: Hypertension_Drug_Code,drug
Read,89652998,,res67: Hypertension_Drug_Code,drug
Read,89704997,,res67: Hypertension_Drug_Code,drug
Read,89704998,,res67: Hypertension_Drug_Code,drug
Read,89768997,,res67: Hypertension_Drug_Code,drug
Read,89768998,,res67: Hypertension_Drug_Code,drug
Read,90049998,,res67: Hypertension_Drug_Code,drug
Read,90077998,,res67: Hypertension_Drug_Code,drug
Read,90181998,,res67: Hypertension_Drug_Code,drug
Read,90182998,,res67: Hypertension_Drug_Code,drug
Read,90210998,,res67: Hypertension_Drug_Code,drug
Read,90294998,,res67: Hypertension_Drug_Code,drug
Read,90432996,,res67: Hypertension_Drug_Code,drug
Read,90432997,,res67: Hypertension_Drug_Code,drug
Read,90432998,,res67: Hypertension_Drug_Code,drug
Read,90433998,,res67: Hypertension_Drug_Code,drug
Read,90434998,,res67: Hypertension_Drug_Code,drug
Read,90445997,,res67: Hypertension_Drug_Code,drug
Read,90445998,,res67: Hypertension_Drug_Code,drug
Read,90503996,,res67: Hypertension_Drug_Code,drug
Read,90503997,,res67: Hypertension_Drug_Code,drug
Read,90503998,,res67: Hypertension_Drug_Code,drug
Read,90504998,,res67: Hypertension_Drug_Code,drug
Read,90533996,,res67: Hypertension_Drug_Code,drug
Read,90533997,,res67: Hypertension_Drug_Code,drug
Read,90533998,,res67: Hypertension_Drug_Code,drug
Read,90547998,,res67: Hypertension_Drug_Code,drug
Read,90549998,,res67: Hypertension_Drug_Code,drug
Read,90559998,,res67: Hypertension_Drug_Code,drug
Read,90576996,,res67: Hypertension_Drug_Code,drug
Read,90576997,,res67: Hypertension_Drug_Code,drug
Read,90576998,,res67: Hypertension_Drug_Code,drug
Read,90609996,,res67: Hypertension_Drug_Code,drug
Read,90609997,,res67: Hypertension_Drug_Code,drug
Read,90609998,,res67: Hypertension_Drug_Code,drug
Read,90613996,,res67: Hypertension_Drug_Code,drug
Read,90613997,,res67: Hypertension_Drug_Code,drug
Read,90613998,,res67: Hypertension_Drug_Code,drug
Read,90629996,,res67: Hypertension_Drug_Code,drug
Read,90629997,,res67: Hypertension_Drug_Code,drug
Read,90706996,,res67: Hypertension_Drug_Code,drug
Read,90706997,,res67: Hypertension_Drug_Code,drug
Read,90706998,,res67: Hypertension_Drug_Code,drug
Read,90722996,,res67: Hypertension_Drug_Code,drug
Read,90722997,,res67: Hypertension_Drug_Code,drug
Read,90722998,,res67: Hypertension_Drug_Code,drug
Read,90740998,,res67: Hypertension_Drug_Code,drug
Read,90781998,,res67: Hypertension_Drug_Code,drug
Read,90789998,,res67: Hypertension_Drug_Code,drug
Read,90816997,,res67: Hypertension_Drug_Code,drug
Read,90816998,,res67: Hypertension_Drug_Code,drug
Read,90817997,,res67: Hypertension_Drug_Code,drug
Read,90817998,,res67: Hypertension_Drug_Code,drug
Read,90938998,,res67: Hypertension_Drug_Code,drug
Read,90939998,,res67: Hypertension_Drug_Code,drug
Read,90981998,,res67: Hypertension_Drug_Code,drug
Read,91011998,,res67: Hypertension_Drug_Code,drug
Read,91065998,,res67: Hypertension_Drug_Code,drug
Read,91085998,,res67: Hypertension_Drug_Code,drug
Read,91089997,,res67: Hypertension_Drug_Code,drug
Read,91089998,,res67: Hypertension_Drug_Code,drug
Read,91145997,,res67: Hypertension_Drug_Code,drug
Read,91145998,,res67: Hypertension_Drug_Code,drug
Read,91168997,,res67: Hypertension_Drug_Code,drug
Read,91168998,,res67: Hypertension_Drug_Code,drug
