Coding System (Read),Codes,Description,Entity type,Category
Read,57832979,,res67: Statin_Code,drug
Read,57833979,,res67: Statin_Code,drug
Read,57838979,,res67: Statin_Code,drug
Read,58654979,,res67: Statin_Code,drug
Read,58661979,,res67: Statin_Code,drug
Read,58669979,,res67: Statin_Code,drug
Read,58671979,,res67: Statin_Code,drug
Read,61212979,,res67: Statin_Code,drug
Read,61213979,,res67: Statin_Code,drug
Read,61215979,,res67: Statin_Code,drug
Read,61489979,,res67: Statin_Code,drug
Read,62570979,,res67: Statin_Code,drug
Read,62597979,,res67: Statin_Code,drug
Read,64839979,,res67: Statin_Code,drug
Read,79254979,,res67: Statin_Code,drug
Read,81048998,,res67: Statin_Code,drug
Read,81049998,,res67: Statin_Code,drug
Read,81050998,,res67: Statin_Code,drug
Read,81051998,,res67: Statin_Code,drug
Read,83030998,,res67: Statin_Code,drug
Read,83099998,,res67: Statin_Code,drug
Read,86020998,,res67: Statin_Code,drug
Read,86467998,,res67: Statin_Code,drug
Read,86468998,,res67: Statin_Code,drug
Read,86787998,,res67: Statin_Code,drug
Read,86788998,,res67: Statin_Code,drug
Read,86789998,,res67: Statin_Code,drug
Read,86791998,,res67: Statin_Code,drug
Read,86794998,,res67: Statin_Code,drug
Read,86795998,,res67: Statin_Code,drug
Read,86796998,,res67: Statin_Code,drug
Read,86797998,,res67: Statin_Code,drug
Read,86798998,,res67: Statin_Code,drug
Read,87373998,,res67: Statin_Code,drug
Read,87418998,,res67: Statin_Code,drug
Read,87916998,,res67: Statin_Code,drug
Read,87917998,,res67: Statin_Code,drug
Read,87918998,,res67: Statin_Code,drug
Read,88534998,,res67: Statin_Code,drug
Read,89153996,,res67: Statin_Code,drug
Read,89153997,,res67: Statin_Code,drug
Read,89153998,,res67: Statin_Code,drug
Read,89154996,,res67: Statin_Code,drug
Read,89154997,,res67: Statin_Code,drug
Read,89154998,,res67: Statin_Code,drug
Read,89306996,,res67: Statin_Code,drug
Read,89306997,,res67: Statin_Code,drug
Read,89306998,,res67: Statin_Code,drug
Read,89311996,,res67: Statin_Code,drug
Read,89311997,,res67: Statin_Code,drug
Read,89311998,,res67: Statin_Code,drug
Read,90309998,,res67: Statin_Code,drug
Read,90310998,,res67: Statin_Code,drug
Read,90973998,,res67: Statin_Code,drug
Read,91194998,,res67: Statin_Code,drug
Read,92154990,,res67: Statin_Code,drug
Read,92220998,,res67: Statin_Code,drug
Read,92408998,,res67: Statin_Code,drug
Read,92409998,,res67: Statin_Code,drug
Read,92410998,,res67: Statin_Code,drug
Read,92447998,,res67: Statin_Code,drug
Read,92448997,,res67: Statin_Code,drug
Read,92448998,,res67: Statin_Code,drug
Read,92471998,,res67: Statin_Code,drug
Read,92539998,,res67: Statin_Code,drug
Read,92804996,,res67: Statin_Code,drug
Read,92804997,,res67: Statin_Code,drug
Read,92804998,,res67: Statin_Code,drug
Read,92805997,,res67: Statin_Code,drug
Read,92805998,,res67: Statin_Code,drug
Read,93243996,,res67: Statin_Code,drug
Read,93243997,,res67: Statin_Code,drug
Read,93243998,,res67: Statin_Code,drug
Read,93244996,,res67: Statin_Code,drug
Read,93244997,,res67: Statin_Code,drug
Read,93244998,,res67: Statin_Code,drug
Read,93619996,,res67: Statin_Code,drug
Read,93619997,,res67: Statin_Code,drug
Read,93619998,,res67: Statin_Code,drug
Read,93620996,,res67: Statin_Code,drug
Read,93620997,,res67: Statin_Code,drug
Read,93620998,,res67: Statin_Code,drug
Read,93871990,,res67: Statin_Code,drug
Read,94407990,,res67: Statin_Code,drug
Read,94782990,,res67: Statin_Code,drug
Read,94789990,,res67: Statin_Code,drug
Read,94830990,,res67: Statin_Code,drug
Read,94831990,,res67: Statin_Code,drug
Read,94849990,,res67: Statin_Code,drug
Read,94850990,,res67: Statin_Code,drug
Read,94851990,,res67: Statin_Code,drug
Read,94927990,,res67: Statin_Code,drug
Read,95185990,,res67: Statin_Code,drug
Read,95277990,,res67: Statin_Code,drug
