Coding System (Read),Codes,Description,Entity type,Category
Read,F528.00,Acute bilateral otitis media,res70: Otitis media,diagnostic
Read,F512.00,"Chronic otitis media with effusion, mucoid",res70: Otitis media,diagnostic
Read,F512000,"Glue ear, unspecified",res70: Otitis media,diagnostic
Read,F513100,"Chronic otitis media with effusion, purulent",res70: Otitis media,diagnostic
Read,F513.00,"Chronic otitis media with effusion, other",res70: Otitis media,diagnostic
Read,F512.12,"Chronic secretory otitis media, mucoid",res70: Otitis media,diagnostic
Read,F52z.11,Infection ear,res70: Otitis media,diagnostic
Read,F510000,Acute otitis media with effusion,res70: Otitis media,diagnostic
Read,F512.11,Glue ear,res70: Otitis media,diagnostic
Read,F527.00,Acute right otitis media,res70: Otitis media,diagnostic
Read,F512z00,Chronic mucoid otitis media NOS,res70: Otitis media,diagnostic
Read,F514200,Catarrhal otitis media NOS,res70: Otitis media,diagnostic
Read,F510100,Acute serous otitis media,res70: Otitis media,diagnostic
Read,F510011,Acute secretory otitis media,res70: Otitis media,diagnostic
Read,F526.00,Acute left otitis media,res70: Otitis media,diagnostic
Read,F52z.00,Otitis media NOS,res70: Otitis media,diagnostic
Read,F510200,Acute mucoid otitis media,res70: Otitis media,diagnostic
Read,F510.00,Acute non suppurative otitis media,res70: Otitis media,diagnostic
Read,F525.00,Recurrent acute otitis media,res70: Otitis media,diagnostic
Read,F520100,Acute suppurative otitis media tympanic membrane ruptured,res70: Otitis media,diagnostic
Read,F514300,Mucoid otitis media NOS,res70: Otitis media,diagnostic
Read,F520000,Acute suppurative otitis media tympanic membrane intact,res70: Otitis media,diagnostic
Read,F520.00,Acute suppurative otitis media,res70: Otitis media,diagnostic
Read,F514z00,Nonsuppurative otitis media NOS,res70: Otitis media,diagnostic
Read,F52..00,Suppurative and unspecified otitis media,res70: Otitis media,diagnostic
Read,F515.11,Catarrh - eustachian,res70: Otitis media,diagnostic
Read,F515.00,Eustachian tube salpingitis,res70: Otitis media,diagnostic
Read,F520z00,Acute suppurative otitis media NOS,res70: Otitis media,diagnostic
Read,F524000,Bilateral suppurative otitis media,res70: Otitis media,diagnostic
Read,F510300,Acute sanguinous otitis media,res70: Otitis media,diagnostic
Read,F520300,Acute suppurative otitis media due to disease EC,res70: Otitis media,diagnostic
Read,F522.00,"Chronic suppurative otitis media, atticoantral",res70: Otitis media,diagnostic
Read,F524.00,Purulent otitis media NOS,res70: Otitis media,diagnostic
Read,F521.00,"Chronic suppurative otitis media, tubotympanic",res70: Otitis media,diagnostic
Read,F523.00,Chronic suppurative otitis media NOS,res70: Otitis media,diagnostic
Read,F510z00,Acute nonsuppurative otitis media NOS,res70: Otitis media,diagnostic
Read,A552.00,Postmeasles otitis media,res70: Otitis media,diagnostic
Read,SN30.11,Aero-otitis media,res70: Otitis media,diagnostic
Read,F511.00,"Chronic otitis media with effusion, serous",res70: Otitis media,diagnostic
Read,F511.11,"Chronic secretory otitis media, serous",res70: Otitis media,diagnostic
Read,F511z00,Chronic serous otitis media NOS,res70: Otitis media,diagnostic
Read,F51..00,Nonsuppurative otitis media + eustachian tube disorders,res70: Otitis media,diagnostic
Read,F514100,Serous otitis media NOS,res70: Otitis media,diagnostic
Read,F514.00,Unspecified nonsuppurative otitis media,res70: Otitis media,diagnostic
Read,F513111,"Chronic secretory otitis media, purulent",res70: Otitis media,diagnostic
