Coding System (Read),Codes,Description,Entity type,Category
Read,E230300,"Acute alcoholic intoxication in remission, in alcoholism",res61: alcohol consumption,diagnostic
Read,E230z00,Acute alcoholic intoxication in alcoholism NOS,res61: alcohol consumption,diagnostic
Read,E231.00,Chronic alcoholism,res61: alcohol consumption,diagnostic
Read,E231.11,Dipsomania,res61: alcohol consumption,diagnostic
Read,E231000,Unspecified chronic alcoholism,res61: alcohol consumption,diagnostic
Read,E231100,Continuous chronic alcoholism,res61: alcohol consumption,diagnostic
Read,E231200,Episodic chronic alcoholism,res61: alcohol consumption,diagnostic
Read,E231300,Chronic alcoholism in remission,res61: alcohol consumption,diagnostic
Read,E231z00,Chronic alcoholism NOS,res61: alcohol consumption,diagnostic
Read,E23z.00,Alcohol dependence syndrome NOS,res61: alcohol consumption,diagnostic
Read,E250.00,Nondependent alcohol abuse,res61: alcohol consumption,diagnostic
Read,E250.11,Drunkenness NOS,res61: alcohol consumption,diagnostic
Read,E250.12,Hangover (alcohol),res61: alcohol consumption,diagnostic
Read,E250.13,Inebriety NOS,res61: alcohol consumption,diagnostic
Read,E250.14,Intoxication - alcohol,res61: alcohol consumption,diagnostic
Read,E250000,"Nondependent alcohol abuse, unspecified",res61: alcohol consumption,diagnostic
Read,E250100,"Nondependent alcohol abuse, continuous",res61: alcohol consumption,diagnostic
Read,E250200,"Nondependent alcohol abuse, episodic",res61: alcohol consumption,diagnostic
Read,E250300,Nondependent alcohol abuse in remission,res61: alcohol consumption,diagnostic
Read,E250z00,Nondependent alcohol abuse NOS,res61: alcohol consumption,diagnostic
Read,Eu10.00,[X]Mental and behavioural disorders due to use of alcohol,res61: alcohol consumption,diagnostic
Read,Eu10000,[X]Mental & behav dis due to use alcohol: acute intoxication,res61: alcohol consumption,diagnostic
Read,Eu10011,[X]Acute alcoholic drunkenness,res61: alcohol consumption,diagnostic
Read,Eu10100,[X]Mental and behav dis due to use of alcohol: harmful use,res61: alcohol consumption,diagnostic
Read,Eu10200,[X]Mental and behav dis due to use alcohol: dependence syndr,res61: alcohol consumption,diagnostic
Read,Eu10211,[X]Alcohol addiction,res61: alcohol consumption,diagnostic
Read,Eu10212,[X]Chronic alcoholism,res61: alcohol consumption,diagnostic
Read,Eu10213,[X]Dipsomania,res61: alcohol consumption,diagnostic
Read,Eu10300,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state,res61: alcohol consumption,diagnostic
Read,Eu10400,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium,res61: alcohol consumption,diagnostic
Read,Eu10411,"[x]delirium tremens, alcohol induced",res61: alcohol consumption,diagnostic
Read,Eu10500,[X]Mental and behavioural disorders due to use of alcohol: psychotic disorder,res61: alcohol consumption,diagnostic
Read,Eu10511,[X]Alcoholic hallucinosis,res61: alcohol consumption,diagnostic
Read,Eu10512,[x]alcoholic jealousy,res61: alcohol consumption,diagnostic
Read,Eu10513,[X]Alcoholic paranoia,res61: alcohol consumption,diagnostic
Read,Eu10514,[X]Alcoholic psychosis NOS,res61: alcohol consumption,diagnostic
