Coding System (Read),Codes,Description,Entity type,Category
Read,M161600,Guttate psoriasis,res61: psoriasis,diagnostic
Read,M161000,Psoriasis unspecified,res61: psoriasis,diagnostic
Read,M161z00,Psoriasis NOS,res61: psoriasis,diagnostic
Read,M161B00,Psoriasis plantaris,res61: psoriasis,diagnostic
Read,M16..00,Psoriasis and similar disorders,res61: psoriasis,diagnostic
Read,M161A00,Psoriasis palmaris,res61: psoriasis,diagnostic
Read,M16y000,Scalp psoriasis,res61: psoriasis,diagnostic
Read,M161H00,Erythrodermic psoriasis,res61: psoriasis,diagnostic
Read,M161400,Psoriasis discoidea,res61: psoriasis,diagnostic
Read,M161E00,Psoriasis universalis,res61: psoriasis,diagnostic
Read,M161100,Psoriasis annularis,res61: psoriasis,diagnostic
Read,M161500,Psoriasis geographica,res61: psoriasis,diagnostic
Read,M161.00,Other psoriasis,res61: psoriasis,diagnostic
Read,M161C00,Psoriasis punctata,res61: psoriasis,diagnostic
Read,M161F00,Psoriasis vulgaris,res61: psoriasis,diagnostic
Read,M161200,Psoriasis circinata,res61: psoriasis,diagnostic
Read,M16z.00,Psoriasis and similar disorders NOS,res61: psoriasis,diagnostic
Read,M16y.00,Other psoriasis and similar disorders,res61: psoriasis,diagnostic
Read,M161300,Psoriasis diffusa,res61: psoriasis,diagnostic
Read,M161800,Psoriasis inveterata,res61: psoriasis,diagnostic
Read,M161900,Psoriasis ostracea,res61: psoriasis,diagnostic
Read,M161700,Psoriasis gyrata,res61: psoriasis,diagnostic
Read,Myu3000,[X]Other psoriasis,res61: psoriasis,diagnostic
Read,M161F11,Chronic large plaque psoriasis,res61: psoriasis,diagnostic
