Coding System (Read),Codes,Description,Entity type,Category
Read,M161900,Psoriasis ostracea,res66: psoriasis,diagnostic
Read,M161700,Psoriasis gyrata,res66: psoriasis,diagnostic
Read,Myu3000,[X]Other psoriasis,res66: psoriasis,diagnostic
Read,M161F11,Chronic large plaque psoriasis,res66: psoriasis,diagnostic
Read,M161A00,Psoriasis palmaris,res66: psoriasis,diagnostic
Read,M161000,Psoriasis unspecified,res66: psoriasis,diagnostic
Read,M161z00,Psoriasis NOS,res66: psoriasis,diagnostic
Read,M161B00,Psoriasis plantaris,res66: psoriasis,diagnostic
Read,M161600,Guttate psoriasis,res66: psoriasis,diagnostic
Read,M16..00,Psoriasis and similar disorders,res66: psoriasis,diagnostic
Read,M16y000,Scalp psoriasis,res66: psoriasis,diagnostic
Read,M161H00,Erythrodermic psoriasis,res66: psoriasis,diagnostic
Read,M161400,Psoriasis discoidea,res66: psoriasis,diagnostic
Read,M161E00,Psoriasis universalis,res66: psoriasis,diagnostic
Read,M161100,Psoriasis annularis,res66: psoriasis,diagnostic
Read,M161500,Psoriasis geographica,res66: psoriasis,diagnostic
Read,M161.00,Other psoriasis,res66: psoriasis,diagnostic
Read,M161C00,Psoriasis punctata,res66: psoriasis,diagnostic
Read,M161F00,Psoriasis vulgaris,res66: psoriasis,diagnostic
Read,M161200,Psoriasis circinata,res66: psoriasis,diagnostic
Read,M16z.00,Psoriasis and similar disorders NOS,res66: psoriasis,diagnostic
Read,M16y.00,Other psoriasis and similar disorders,res66: psoriasis,diagnostic
Read,M161300,Psoriasis diffusa,res66: psoriasis,diagnostic
Read,M161800,Psoriasis inveterata,res66: psoriasis,diagnostic
