Coding System (Read),Codes,Description,Entity type,Category
Read,66Ai.00,Diabetic 6 month review,res62: diagnostic_codes,diagnostic
Read,C109C12,Type 2 diabetes mellitus with nephropathy,res62: diagnostic_codes,diagnostic
Read,66AN.00,Date diabetic treatment start,res62: diagnostic_codes,diagnostic
Read,C109D00,Non-insulin dependent diabetes mellitus with hypog,res62: diagnostic_codes,diagnostic
Read,9m0C.00,Excluded frm diabetic retinopathy screen as termin,res62: diagnostic_codes,diagnostic
Read,2G5V.00,O/E - right chronic diabetic foot ulcer,res62: diagnostic_codes,diagnostic
Read,C108J12,Type 1 diabetes mellitus with neuropathic arthropa,res62: diagnostic_codes,diagnostic
Read,C108011,Type I diabetes mellitus with renal complications,res62: diagnostic_codes,diagnostic
Read,C108000,Insulin-dependent diabetes mellitus with renal com,res62: diagnostic_codes,diagnostic
Read,1IA..00,No evidence of diabetic nephropathy,res62: diagnostic_codes,diagnostic
Read,8HTe.00,Referral to diabetes preconception counselling cli,res62: diagnostic_codes,diagnostic
Read,C108900,Insulin dependent diabetes maturity onset,res62: diagnostic_codes,diagnostic
Read,2BBk.00,O/E - right eye stable treated prolif diabetic ret,res62: diagnostic_codes,diagnostic
Read,1154200,No significant family history of diabetes,res62: diagnostic_codes,diagnostic
Read,ZV77100,[V]Screening for diabetes mellitus,res62: diagnostic_codes,diagnostic
Read,C108811,Type I diabetes mellitus - poor control,res62: diagnostic_codes,diagnostic
Read,C10EG00,Type 1 diabetes mellitus with peripheral angiopath,res62: diagnostic_codes,diagnostic
Read,C10M.00,Lipoatrophic diabetes mellitus,res62: diagnostic_codes,diagnostic
Read,C10E700,Type 1 diabetes mellitus with retinopathy,res62: diagnostic_codes,diagnostic
Read,13AB.00,Diabetic lipid lowering diet,res62: diagnostic_codes,diagnostic
Read,1253,FH: Diabetes mellitus in first degree relative,res62: diagnostic_codes,diagnostic
Read,9N1o.00,Seen in multidisciplinary diabetic clinic,res62: diagnostic_codes,diagnostic
Read,8Hj5.00,Referral to XPERT diabetes structured education pr,res62: diagnostic_codes,diagnostic
Read,13LZ.11,Diabetic relative,res62: diagnostic_codes,diagnostic
Read,F372.00,Polyneuropathy in diabetes,res62: diagnostic_codes,diagnostic
Read,ZRB5.00,Diabetes treatment satisfaction questionnaire,res62: diagnostic_codes,diagnostic
Read,Kyu0300,[X]Glomerular disorders in diabetes mellitus,res62: diagnostic_codes,diagnostic
Read,8H4e.00,Referral to diabetes special interest general prac,res62: diagnostic_codes,diagnostic
Read,8CP2.00,Transition of diabetes care options discussed,res62: diagnostic_codes,diagnostic
Read,C10A500,Malnutritn-relat diabetes melitus wth periph circu,res62: diagnostic_codes,diagnostic
Read,38DE.00,"Cong heart fail, hypertens, age, diab, stroke 2 ri",res62: diagnostic_codes,diagnostic
Read,C10EN00,Type 1 diabetes mellitus with ketoacidotic coma,res62: diagnostic_codes,diagnostic
Read,38Gj.00,QDiabetes risk calculator,res62: diagnostic_codes,diagnostic
Read,ZV65312,[V]Dietary counselling in diabetes mellitus,res62: diagnostic_codes,diagnostic
Read,9OLF.00,Diabetes structured education programme completed,res62: diagnostic_codes,diagnostic
Read,9m07.00,Excluded diabetc retinop screen as under care opht,res62: diagnostic_codes,diagnostic
Read,8IE2.00,Diabetes care plan declined,res62: diagnostic_codes,diagnostic
Read,1434,H/O: diabetes mellitus,res62: diagnostic_codes,diagnostic
Read,3883,Diabetes treatment satisfaction questionnaire,res62: diagnostic_codes,diagnostic
Read,66At000,Type I diabetic dietary review,res62: diagnostic_codes,diagnostic
Read,66Av.00,Diabetic assessment of erectile dysfunction,res62: diagnostic_codes,diagnostic
Read,F3y0.00,Diabetic mononeuropathy,res62: diagnostic_codes,diagnostic
Read,C10F211,Type II diabetes mellitus with neurological compli,res62: diagnostic_codes,diagnostic
Read,F420800,High risk non proliferative diabetic retinopathy,res62: diagnostic_codes,diagnostic
Read,C108D11,Type I diabetes mellitus with nephropathy,res62: diagnostic_codes,diagnostic
Read,9Oy0.00,Diabetes screening invitation,res62: diagnostic_codes,diagnostic
Read,L180000,Diabetes mellitus - unspec whether in pregnancy/pu,res62: diagnostic_codes,diagnostic
Read,66AP.00,Diabetes: practice programme,res62: diagnostic_codes,diagnostic
Read,2BBT.00,O/E - right eye proliferative diabetic retinopathy,res62: diagnostic_codes,diagnostic
Read,C108B00,Insulin dependent diabetes mellitus with mononeuro,res62: diagnostic_codes,diagnostic
Read,13B1.00,Diabetic diet,res62: diagnostic_codes,diagnostic
