Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,57601,Daonil 5mg tablets (Dowelhurst Ltd),res72: Antidiabetics,drug
CPRD_product_code,27501,Orabet 500mg Tablet (Lagap),res72: Antidiabetics,drug
CPRD_product_code,62034,Laaglyda MR 60mg tablets (Consilient Health Ltd),res72: Antidiabetics,drug
CPRD_product_code,5353,Glimepiride 2mg tablets,res72: Antidiabetics,drug
CPRD_product_code,10484,Penmix 20/80 Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,30460,Malix 5mg Tablet (Lagap),res72: Antidiabetics,drug
CPRD_product_code,63679,Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,63562,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable,res72: Antidiabetics,drug
CPRD_product_code,64460,Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices,res72: Antidiabetics,drug
CPRD_product_code,64354,Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pen (Sanofi),res72: Antidiabetics,drug
CPRD_product_code,9737,Insulatard innolet 100iu/ml Injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,56437,Gliclazide 60mg modified-release tablets,res72: Antidiabetics,drug
CPRD_product_code,19472,Actos 45mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,64217,Jardiance 25mg tablets (Boehringer Ingelheim Ltd),res72: Antidiabetics,drug
CPRD_product_code,56008,Gliclazide 80mg tablets (Almus Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,46927,Tolbutamide 500mg tablets (Teva UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,58607,Metformin 500mg/5ml oral solution sugar free (Zentiva),res72: Antidiabetics,drug
CPRD_product_code,62014,Glimepiride 2mg tablets (Accord Healthcare Ltd),res72: Antidiabetics,drug
CPRD_product_code,8203,Penmix 50/50 100iu/ml Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,57830,Gliclazide 30mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),res72: Antidiabetics,drug
CPRD_product_code,33562,Duclazide 80mg Tablet (Dumex Ltd),res72: Antidiabetics,drug
CPRD_product_code,33673,Tolbutamide 500mg tablets (Actavis UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,6855,Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,34563,Glibenclamide 5mg tablets (Wockhardt UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,16211,TOLBUTAMIDE 100 MG TAB,res72: Antidiabetics,drug
CPRD_product_code,34507,Glibenclamide 2.5mg tablets (Wockhardt UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,9618,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals,res72: Antidiabetics,drug
CPRD_product_code,61957,Gliclazide 40mg tablets (A A H Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,60495,Gliclazide 80mg tablets (Teva UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,58882,Gliclazide 120mg/5ml oral suspension,res72: Antidiabetics,drug
CPRD_product_code,61311,Glimepiride 4mg tablets (Sigma Pharmaceuticals Plc),res72: Antidiabetics,drug
CPRD_product_code,15232,Avandia 8mg tablets (GlaxoSmithKline UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,63048,Gliclazide 80mg tablets (Alliance Healthcare (Distribution) Ltd),res72: Antidiabetics,drug
CPRD_product_code,10208,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,10001,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd,res72: Antidiabetics,drug
CPRD_product_code,10175,Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges,res72: Antidiabetics,drug
CPRD_product_code,10067,Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection,res72: Antidiabetics,drug
CPRD_product_code,64939,Glucient SR 1000mg tablets (Consilient Health Ltd),res72: Antidiabetics,drug
CPRD_product_code,7402,Lantus 100units/ml solution for injection 10ml vials (Sanofi),res72: Antidiabetics,drug
CPRD_product_code,7537,Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),res72: Antidiabetics,drug
CPRD_product_code,7325,Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,10051,Pioglitazone 45mg tablets,res72: Antidiabetics,drug
CPRD_product_code,469,Rosiglitazone 4mg tablets,res72: Antidiabetics,drug
CPRD_product_code,32,Gliclazide 80mg tablets,res72: Antidiabetics,drug
CPRD_product_code,63131,Ziclaseg 30mg modified-release tablets (Lupin (Europe) Ltd),res72: Antidiabetics,drug
CPRD_product_code,9699,Pioglitazone 30mg tablets,res72: Antidiabetics,drug
CPRD_product_code,10184,Insulin detemir 100 iu/ml Solution for injection,res72: Antidiabetics,drug
CPRD_product_code,10207,Insulin isophane human 100units/ml suspension for injection 3ml cartridges,res72: Antidiabetics,drug
CPRD_product_code,9662,Avandia 4mg tablets (GlaxoSmithKline UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,548,Pioglitazone 15mg tablets,res72: Antidiabetics,drug
CPRD_product_code,5227,Rosiglitazone 8mg tablets,res72: Antidiabetics,drug
CPRD_product_code,35462,Januvia 100mg tablets (Merck Sharp & Dohme Ltd),res72: Antidiabetics,drug
CPRD_product_code,58051,Metformin 500mg/5ml oral solution,res72: Antidiabetics,drug
CPRD_product_code,62326,Vipidia 6.25mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,10243,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res72: Antidiabetics,drug
CPRD_product_code,35022,Sitagliptin 100mg tablets,res72: Antidiabetics,drug
CPRD_product_code,48120,Avandia 2mg Tablet (GlaxoSmithKline UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,37617,Rosiglitazone 2mg tablet,res72: Antidiabetics,drug
CPRD_product_code,20889,Actos 30mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,20287,Actos 15mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,10225,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),res72: Antidiabetics,drug
CPRD_product_code,56208,Pioglitazone 15mg tablets (A A H Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,48139,Pioglitazone 30mg tablets (A A H Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,63107,Pioglitazone 45mg tablets (Waymade Healthcare Plc),res72: Antidiabetics,drug
CPRD_product_code,64900,Glidipion 30mg tablets (Actavis UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,62426,Pioglitazone 30mg tablets (Accord Healthcare Ltd),res72: Antidiabetics,drug
CPRD_product_code,63046,Pioglitazone 45mg tablets (A A H Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,57659,Pioglitazone 30mg tablets (Actavis UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,63307,Metformin 1g/5ml oral solution,res72: Antidiabetics,drug
CPRD_product_code,63421,Pioglitazone 30mg tablets (Teva UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,547,Glipizide 2.5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,36856,Gliclazide 80mg tablets (Sandoz Ltd),res72: Antidiabetics,drug
CPRD_product_code,59809,Alogliptin 6.25mg tablets,res72: Antidiabetics,drug
CPRD_product_code,37875,Vildagliptin 50mg tablets,res72: Antidiabetics,drug
CPRD_product_code,43465,Zicron 40mg tablets (Bristol Laboratories Ltd),res72: Antidiabetics,drug
CPRD_product_code,60682,Vipidia 25mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,60681,Vipidia 12.5mg tablets (Takeda UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,41898,GLIBENCLAMIDE,res72: Antidiabetics,drug
CPRD_product_code,34932,Gliclazide 80mg tablets (Genus Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,50124,Januvia 25mg tablets (Merck Sharp & Dohme Ltd),res72: Antidiabetics,drug
CPRD_product_code,39149,Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,10229,Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),res72: Antidiabetics,drug
CPRD_product_code,41204,Saxagliptin 5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,46716,Trajenta 5mg tablets (Boehringer Ingelheim Ltd),res72: Antidiabetics,drug
CPRD_product_code,48401,Sitagliptin 50mg tablets,res72: Antidiabetics,drug
CPRD_product_code,50087,Januvia 50mg tablets (Merck Sharp & Dohme Ltd),res72: Antidiabetics,drug
CPRD_product_code,48533,Sitagliptin 25mg tablets,res72: Antidiabetics,drug
CPRD_product_code,45821,Onglyza 2.5mg tablets (AstraZeneca UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,34957,Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,42790,Gliclazide 80mg Tablet (Merck Generics (UK) Ltd),res72: Antidiabetics,drug
CPRD_product_code,41431,Onglyza 5mg tablets (AstraZeneca UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,46665,Linagliptin 5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,45775,Saxagliptin 2.5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,45215,Gliclazide 80mg Tablet (Neo Laboratories Ltd),res72: Antidiabetics,drug
CPRD_product_code,40365,Glimepiride 1mg tablets (Actavis UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,62760,Jardiance 10mg tablets (Boehringer Ingelheim Ltd),res72: Antidiabetics,drug
CPRD_product_code,60211,Canagliflozin 100mg tablets,res72: Antidiabetics,drug
CPRD_product_code,3550,Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1254,Glibenclamide 5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,5021,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,35144,Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices (AstraZeneca UK,res72: Antidiabetics,drug
CPRD_product_code,41593,Glibenclamide 2.5mg tablets (Teva UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,34399,Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,11610,Metformin with rosiglitazone 500mg + 2mg Tablet,res72: Antidiabetics,drug
CPRD_product_code,4093,Humulin M2 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),res72: Antidiabetics,drug
CPRD_product_code,60430,Invokana 100mg tablets (Janssen-Cilag Ltd),res72: Antidiabetics,drug
CPRD_product_code,60379,Invokana 300mg tablets (Janssen-Cilag Ltd),res72: Antidiabetics,drug
CPRD_product_code,63516,Forxiga 10mg tablets (Waymade Healthcare Plc),res72: Antidiabetics,drug
CPRD_product_code,26258,Glucamet 850mg Tablet (Opus Pharmaceuticals Ltd),res72: Antidiabetics,drug
CPRD_product_code,10244,Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,60066,Invokana 100mg tablets (Janssen-Cilag Ltd),res72: Antidiabetics,drug
CPRD_product_code,54480,Forxiga 5mg tablets (AstraZeneca UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,54182,Dapagliflozin 10mg tablets,res72: Antidiabetics,drug
CPRD_product_code,54265,Dapagliflozin 5mg tablets,res72: Antidiabetics,drug
CPRD_product_code,54203,Forxiga 10mg tablets (AstraZeneca UK Ltd),res72: Antidiabetics,drug
CPRD_product_code,63045,Metformin 850mg tablets (Relonchem Ltd),res72: Antidiabetics,drug
CPRD_product_code,1839,INSULIN HUMULIN I (ISOPHANE) 100 I/U INJ,res72: Antidiabetics,drug
CPRD_product_code,1843,Pork Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1594,Actrapid NovoLet 100units/ml solution for injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1806,Penmix 30/70 100iu/ml Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1595,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1645,INSULIN NOVO ACTRAPID MC 100 I/U INJ,res72: Antidiabetics,drug
CPRD_product_code,1805,Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1649,Human actraphane 100iu/ml Injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1842,Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1840,Humulin s 100unit/ml Injection (Eli Lilly and Company Ltd),res72: Antidiabetics,drug
CPRD_product_code,56376,Rosiglitazone 4mg with glimepiride 4mg tablet,res72: Antidiabetics,drug
CPRD_product_code,1844,Ultratard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,3439,Penmix 10/90 Pen (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2221,Mixtard 30 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2220,Penmix 20/80 Pen (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,1886,Insulatard 100iu/ml GE injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,3396,Penmix 10/90 Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2455,Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2454,Mixtard 30 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2456,Mixtard 10 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2929,Mixtard 30 100iu/ml GE injection (Novo Nordisk Ltd),res72: Antidiabetics,drug
CPRD_product_code,2459,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),res72: Antidiabetics,drug
