Coding System (Read),Codes,Description,Entity type,Category
Read,N040T00,Flare of rheumatoid arthritis,res72: Charlson comorbidities,diagnostic
Read,1925NB,,res72: Charlson comorbidities,diagnostic
Read,H31y.00,Other chronic bronchitis,res72: Charlson comorbidities,diagnostic
Read,1991CR,,res72: Charlson comorbidities,diagnostic
Read,663V200,Moderate asthma,res72: Charlson comorbidities,diagnostic
Read,2029AL,,res72: Charlson comorbidities,diagnostic
Read,N040600,Rheumatoid arthritis of distal radio-ulnar joint,res72: Charlson comorbidities,diagnostic
Read,1841C,,res72: Charlson comorbidities,diagnostic
Read,J110.00,Acute gastric ulcer,res72: Charlson comorbidities,diagnostic
Read,1739C,,res72: Charlson comorbidities,diagnostic
Read,E004200,Arteriosclerotic dementia with paranoia,res72: Charlson comorbidities,diagnostic
Read,1709D,,res72: Charlson comorbidities,diagnostic
Read,Eu01y00,[X]Other vascular dementia,res72: Charlson comorbidities,diagnostic
Read,181 C,,res72: Charlson comorbidities,diagnostic
Read,794 D,,res72: Charlson comorbidities,diagnostic
Read,1991NC,,res72: Charlson comorbidities,diagnostic
Read,J102000,Peptic ulcer of oesophagus,res72: Charlson comorbidities,diagnostic
Read,1709B,,res72: Charlson comorbidities,diagnostic
Read,1956,Peptic ulcer symptoms,res72: Charlson comorbidities,diagnostic
Read,1619CV,,res72: Charlson comorbidities,diagnostic
Read,B59..00,Malignant neoplasm of unspecified site,res72: Charlson comorbidities,diagnostic
Read,1459C,,res72: Charlson comorbidities,diagnostic
Read,425 CC,,res72: Charlson comorbidities,diagnostic
Read,2021,,res72: Charlson comorbidities,diagnostic
Read,Eu01000,[X]Vascular dementia of acute onset,res72: Charlson comorbidities,diagnostic
Read,186 TA,,res72: Charlson comorbidities,diagnostic
Read,B577.11,Liver metastases,res72: Charlson comorbidities,diagnostic
Read,186 C,,res72: Charlson comorbidities,diagnostic
Read,E004100,Arteriosclerotic dementia with delirium,res72: Charlson comorbidities,diagnostic
Read,203 T,,res72: Charlson comorbidities,diagnostic
Read,Eu00113,"[X]Primary degen dementia of Alzheimer's type, senile onset",res72: Charlson comorbidities,diagnostic
Read,1620C,,res72: Charlson comorbidities,diagnostic
Read,E001z00,Presenile dementia NOS,res72: Charlson comorbidities,diagnostic
Read,1892C,,res72: Charlson comorbidities,diagnostic
Read,Eu00012,"[X]Primary degen dementia, Alzheimer's type, presenile onset",res72: Charlson comorbidities,diagnostic
Read,2070MA,,res72: Charlson comorbidities,diagnostic
Read,Eu00100,[X]Dementia in Alzheimer's disease with late onset,res72: Charlson comorbidities,diagnostic
Read,1899A,,res72: Charlson comorbidities,diagnostic
Read,E004z00,Arteriosclerotic dementia NOS,res72: Charlson comorbidities,diagnostic
Read,1608CM,,res72: Charlson comorbidities,diagnostic
