Coding System (Read),Codes,Description,Entity type,Category
Read,1Z19.00,Chronic kidney disease stage 2 with proteinuria,res72: CKD,diagnostic
Read,1Z10.00,Chronic kidney disease stage 1,res72: CKD,diagnostic
Read,1Z12.00,Chronic kidney disease stage 3,res72: CKD,diagnostic
Read,1Z14.00,Chronic kidney disease stage 5,res72: CKD,diagnostic
Read,1Z13.00,Chronic kidney disease stage 4,res72: CKD,diagnostic
Read,1Z1G.00,Chronic kidney disease stage 3B without proteinuria,res72: CKD,diagnostic
Read,1Z1H.00,Chronic kidney disease stage 4 with proteinuria,res72: CKD,diagnostic
Read,1Z1A.00,Chronic kidney disease stage 2 without proteinuria,res72: CKD,diagnostic
Read,1Z15.00,Chronic kidney disease stage 3A,res72: CKD,diagnostic
Read,1Z17.00,Chronic kidney disease stage 1 with proteinuria,res72: CKD,diagnostic
Read,1Z1B.00,Chronic kidney disease stage 3 with proteinuria,res72: CKD,diagnostic
Read,1Z1F.11,CKD stage 3B with proteinuria,res72: CKD,diagnostic
Read,1Z1E.11,CKD stage 3A without proteinuria,res72: CKD,diagnostic
Read,1Z1C.00,Chronic kidney disease stage 3 without proteinuria,res72: CKD,diagnostic
Read,1Z1B.11,CKD stage 3 with proteinuria,res72: CKD,diagnostic
Read,1Z1J.11,CKD stage 4 without proteinuria,res72: CKD,diagnostic
Read,1Z1E.00,Chronic kidney disease stage 3A without proteinuria,res72: CKD,diagnostic
Read,1Z1F.00,Chronic kidney disease stage 3B with proteinuria,res72: CKD,diagnostic
Read,1Z16.00,Chronic kidney disease stage 3B,res72: CKD,diagnostic
Read,1Z18.00,Chronic kidney disease stage 1 without proteinuria,res72: CKD,diagnostic
Read,1Z1L.00,Chronic kidney disease stage 5 without proteinuria,res72: CKD,diagnostic
Read,1Z1C.11,CKD stage 3 without proteinuria,res72: CKD,diagnostic
Read,1Z1J.00,Chronic kidney disease stage 4 without proteinuria,res72: CKD,diagnostic
Read,1Z1D.11,CKD stage 3A with proteinuria,res72: CKD,diagnostic
Read,1Z1D.00,Chronic kidney disease stage 3A with proteinuria,res72: CKD,diagnostic
Read,1Z1K.00,Chronic kidney disease stage 5 with proteinuria,res72: CKD,diagnostic
Read,1Z1K.11,CKD stage 5 with proteinuria,res72: CKD,diagnostic
Read,1Z1b.00,CKD with GFR category G4 & albuminuria category A2,res72: CKD,diagnostic
Read,1Z17.11,CKD stage 1 with proteinuria,res72: CKD,diagnostic
Read,1Z1A.11,CKD stage 2 without proteinuria,res72: CKD,diagnostic
Read,1Z1L.11,CKD stage 5 without proteinuria,res72: CKD,diagnostic
Read,1Z19.11,CKD stage 2 with proteinuria,res72: CKD,diagnostic
Read,1Z1V.00,CKD with GFR category G3a & albuminuria category A2,res72: CKD,diagnostic
Read,1Z1G.11,CKD stage 3B without proteinuria,res72: CKD,diagnostic
Read,K054.00,Chronic kidney disease stage 4,res72: CKD,diagnostic
Read,1Z1H.11,CKD stage 4 with proteinuria,res72: CKD,diagnostic
Read,K053.00,Chronic kidney disease stage 3,res72: CKD,diagnostic
Read,1Z1T.00,CKD with GFR category G3a & albuminuria category A1,res72: CKD,diagnostic
Read,K052.00,Chronic kidney disease stage 2,res72: CKD,diagnostic
Read,K055.00,Chronic kidney disease stage 5,res72: CKD,diagnostic
Read,1Z1Y.00,CKD with GFR category G3b & albuminuria category A2,res72: CKD,diagnostic
Read,K051.00,Chronic kidney disease stage 1,res72: CKD,diagnostic
Read,1Z1d.00,CKD with GFR category G5 & albuminuria category A1,res72: CKD,diagnostic
Read,1Z1W.00,CKD with GFR category G3a & albuminuria category A3,res72: CKD,diagnostic
Read,1Z1e.00,CKD with GFR category G5 & albuminuria category A2,res72: CKD,diagnostic
Read,1Z18.11,CKD stage 1 without proteinuria,res72: CKD,diagnostic
Read,1Z1a.00,CKD with GFR category G4 & albuminuria category A1,res72: CKD,diagnostic
Read,1Z1X.00,CKD with GFR category G3b & albuminuria category A1,res72: CKD,diagnostic
Read,1Z1R.00,CKD with GFR category G2 & albuminuria category A2,res72: CKD,diagnostic
Read,1Z1Z.00,CKD with GFR category G3b & albuminuria category A3,res72: CKD,diagnostic
Read,1Z1N.00,CKD with GFR category G1 & albuminuria category A2,res72: CKD,diagnostic
Read,1Z1M.00,CKD with GFR category G1 & albuminuria category A1,res72: CKD,diagnostic
Read,1Z1Q.00,CKD with GFR category G2 & albuminuria category A1,res72: CKD,diagnostic
Read,1Z1c.00,CKD with GFR category G4 & albuminuria category A3,res72: CKD,diagnostic
Read,1Z1S.00,CKD with GFR category G2 & albuminuria category A3,res72: CKD,diagnostic
Read,1Z1P.00,CKD with GFR category G1 & albuminuria category A3,res72: CKD,diagnostic
Read,1Z1f.00,CKD with GFR category G5 & albuminuria category A3,res72: CKD,diagnostic
Read,1Z11.00,Chronic kidney disease stage 2,res72: CKD,diagnostic
