Coding System (Read),Codes,Description,Entity type,Category
Read,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy,res72: Diabetes,diagnostic
Read,C10E811,Type I diabetes mellitus - poor control,res72: Diabetes,diagnostic
Read,C10E712,Insulin dependent diabetes mellitus with retinopathy,res72: Diabetes,diagnostic
Read,C10E300,Type 1 diabetes mellitus with multiple complications,res72: Diabetes,diagnostic
Read,C108511,Type I diabetes mellitus with ulcer,res72: Diabetes,diagnostic
Read,C108E00,Insulin dependent diabetes mellitus with hypoglycaemic coma,res72: Diabetes,diagnostic
Read,C10E212,Insulin-dependent diabetes mellitus with neurological comps,res72: Diabetes,diagnostic
Read,C108500,Insulin dependent diabetes mellitus with ulcer,res72: Diabetes,diagnostic
Read,C108211,Type I diabetes mellitus with neurological complications,res72: Diabetes,diagnostic
Read,C108200,Insulin-dependent diabetes mellitus with neurological comps,res72: Diabetes,diagnostic
Read,C108412,Unstable type 1 diabetes mellitus,res72: Diabetes,diagnostic
Read,C108.12,Type 1 diabetes mellitus,res72: Diabetes,diagnostic
Read,C108.13,Type I diabetes mellitus,res72: Diabetes,diagnostic
Read,C108411,Unstable type I diabetes mellitus,res72: Diabetes,diagnostic
Read,C108300,Insulin dependent diabetes mellitus with multiple complicatn,res72: Diabetes,diagnostic
Read,C108212,Type 1 diabetes mellitus with neurological complications,res72: Diabetes,diagnostic
Read,C108311,Type I diabetes mellitus with multiple complications,res72: Diabetes,diagnostic
Read,C108512,Type 1 diabetes mellitus with ulcer,res72: Diabetes,diagnostic
Read,C108D11,Type I diabetes mellitus with nephropathy,res72: Diabetes,diagnostic
Read,C108A11,Type I diabetes mellitus without complication,res72: Diabetes,diagnostic
Read,C108711,Type I diabetes mellitus with retinopathy,res72: Diabetes,diagnostic
Read,C108700,Insulin dependent diabetes mellitus with retinopathy,res72: Diabetes,diagnostic
Read,C108600,Insulin dependent diabetes mellitus with gangrene,res72: Diabetes,diagnostic
Read,C108A00,Insulin-dependent diabetes without complication,res72: Diabetes,diagnostic
