Coding System (Read),Codes,Description,Entity type,Category
Read,L120100,Benign essential hypertension in preg/childb/puerp - deliv,res72: History of pregnancy,diagnostic
Read,L120000,Benign essential hypertension in preg/childb/puerp unspec,res72: History of pregnancy,diagnostic
Read,Z254C00,Face delivery,res72: History of pregnancy,diagnostic
Read,7F19z00,Normal delivery NOS,res72: History of pregnancy,diagnostic
Read,7F19y00,Other specified normal delivery,res72: History of pregnancy,diagnostic
Read,Z257.11,Normal delivery,res72: History of pregnancy,diagnostic
Read,6234,A/N care: H/O stillbirth,res72: History of pregnancy,diagnostic
Read,6232,A/N care: recurrent aborter,res72: History of pregnancy,diagnostic
Read,L163300,Pregnancy care of habitual aborter,res72: History of pregnancy,diagnostic
Read,ZV23400,[V]Pregnancy with other poor obstetric history,res72: History of pregnancy,diagnostic
Read,Z257.00,Delivery normal,res72: History of pregnancy,diagnostic
Read,Ly0..00,Spontaneous vertex delivery,res72: History of pregnancy,diagnostic
Read,Lyu5000,[X]Other single spontaneous delivery,res72: History of pregnancy,diagnostic
Read,Z257.12,Spontaneous vaginal delivery,res72: History of pregnancy,diagnostic
Read,7F19100,Water birth delivery,res72: History of pregnancy,diagnostic
Read,7F14.00,Breech extraction delivery,res72: History of pregnancy,diagnostic
Read,14Y3.00,Born by normal vaginal delivery,res72: History of pregnancy,diagnostic
Read,Z257.15,ND - Normal delivery,res72: History of pregnancy,diagnostic
Read,Z257.13,SVD - Spontaneous vaginal delivery,res72: History of pregnancy,diagnostic
Read,Z257.14,FTND - Full term normal delivery,res72: History of pregnancy,diagnostic
Read,Z248.00,Normal labour,res72: History of pregnancy,diagnostic
Read,Z257100,Spontaneous vertex delivery,res72: History of pregnancy,diagnostic
Read,Z254800,Deliveries by spontaneous breech delivery,res72: History of pregnancy,diagnostic
Read,7F14000,Breech extraction delivery with version,res72: History of pregnancy,diagnostic
Read,L20z.00,Normal delivery in completely normal case NOS,res72: History of pregnancy,diagnostic
Read,7F15000,Spontaneous breech delivery,res72: History of pregnancy,diagnostic
Read,7F15.00,Other breech delivery,res72: History of pregnancy,diagnostic
Read,7F14z00,Breech extraction delivery NOS,res72: History of pregnancy,diagnostic
Read,L200.00,Normal delivery but ante- or post- natal conditions present,res72: History of pregnancy,diagnostic
Read,7F15y00,Other specified other breech delivery,res72: History of pregnancy,diagnostic
Read,7F15100,Assisted breech delivery,res72: History of pregnancy,diagnostic
Read,L20..11,Spontaneous vaginal delivery,res72: History of pregnancy,diagnostic
Read,7F15z00,Other breech delivery NOS,res72: History of pregnancy,diagnostic
Read,L20..00,Normal delivery in a completely normal case,res72: History of pregnancy,diagnostic
Read,L395300,Mid-cavity forceps delivery,res72: History of pregnancy,diagnostic
Read,7F18y00,Cephalic vagin deliv abnorm pres head without instrument OS,res72: History of pregnancy,diagnostic
Read,L398000,Caesarean delivery unspecified,res72: History of pregnancy,diagnostic
Read,7F18z00,Cephalic vagin deliv abnorm pres head without instrument NOS,res72: History of pregnancy,diagnostic
Read,7F16300,Mid forceps cephalic delivery NEC,res72: History of pregnancy,diagnostic
Read,7F16200,Mid forceps cephalic delivery with rotation,res72: History of pregnancy,diagnostic
Read,7F16000,High forceps cephalic delivery with rotation,res72: History of pregnancy,diagnostic
Read,7F19.00,Normal delivery,res72: History of pregnancy,diagnostic
Read,7F16.00,Forceps cephalic delivery,res72: History of pregnancy,diagnostic
Read,14Y1.00,Born by forceps delivery,res72: History of pregnancy,diagnostic
Read,14Y5.00,Born by ventouse delivery,res72: History of pregnancy,diagnostic
Read,L395200,Low forceps delivery,res72: History of pregnancy,diagnostic
Read,7F17.00,Vacuum delivery,res72: History of pregnancy,diagnostic
Read,7F16500,Trial of forceps delivery,res72: History of pregnancy,diagnostic
Read,7F16400,Low forceps cephalic delivery,res72: History of pregnancy,diagnostic
Read,7F16600,Failed forceps delivery,res72: History of pregnancy,diagnostic
Read,7F16z00,Forceps cephalic delivery NOS,res72: History of pregnancy,diagnostic
Read,7F16y00,Other specified forceps cephalic delivery,res72: History of pregnancy,diagnostic
Read,7F16700,Barton forceps cephalic delivery with rotation,res72: History of pregnancy,diagnostic
Read,7F16900,Kielland forceps cephalic delivery with rotation,res72: History of pregnancy,diagnostic
Read,L395000,Forceps delivery unspecified,res72: History of pregnancy,diagnostic
Read,7F17.11,Ventouse delivery,res72: History of pregnancy,diagnostic
Read,7F17300,Trial of vacuum delivery,res72: History of pregnancy,diagnostic
Read,7F17200,Vacuum delivery before full dilation of cervix,res72: History of pregnancy,diagnostic
Read,7F17000,High vacuum delivery,res72: History of pregnancy,diagnostic
Read,7F17100,Low vacuum delivery,res72: History of pregnancy,diagnostic
Read,L395.13,Simpson's forceps delivery,res72: History of pregnancy,diagnostic
Read,7F19000,Manually assisted vaginal delivery,res72: History of pregnancy,diagnostic
Read,7F17z00,Vacuum delivery NOS,res72: History of pregnancy,diagnostic
Read,L395.12,Neville - Barnes forceps delivery,res72: History of pregnancy,diagnostic
Read,L395.00,Forceps delivery,res72: History of pregnancy,diagnostic
Read,L395.11,Keilland's forceps delivery,res72: History of pregnancy,diagnostic
Read,L396.00,Vacuum extractor delivery,res72: History of pregnancy,diagnostic
Read,L398.00,Caesarean delivery,res72: History of pregnancy,diagnostic
Read,Lyu5700,"[X]Assisted single delivery, unspecified",res72: History of pregnancy,diagnostic
Read,L395z00,Forceps delivery NOS,res72: History of pregnancy,diagnostic
Read,L395400,Delivery by combination of forceps and vacuum extractor,res72: History of pregnancy,diagnostic
Read,L120.00,Benign essential hypertension in pregnancy/childbirth/puerp,res72: History of pregnancy,diagnostic
Read,L396100,Vacuum extractor delivery - delivered,res72: History of pregnancy,diagnostic
Read,Lyu5500,[X]Other specified assisted single delivery,res72: History of pregnancy,diagnostic
