Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,5292,FEMATRIX 40 patch 40micrograms/24 hours (1.25mg/unit) [ABBOTT],res72: Hormone replacement therapy,drug
CPRD_product_code,4244,EVOREL SEQUI patch [JANSSEN],res72: Hormone replacement therapy,drug
CPRD_product_code,4909,ELLESTE-SOLO tablets 2mg [MEDA],res72: Hormone replacement therapy,drug
CPRD_product_code,4977,ESTRADERM MX patch 75micrograms/24 hours (2.25mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,3387,ESTRADERM MX patch 25micrograms/24 hours (0.75mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,988,ESTRADERM TTS patch 25micrograms/24 hours (2mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,986,ESTRADERM TTS patch 50micrograms/24 hours (4mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,206,ESTRADERM TTS patch 100micrograms/24 hours (8mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,1488,EVOREL -50 patch 50mcg/24 hours (3.2mg/unit) [JANSSEN],res72: Hormone replacement therapy,drug
CPRD_product_code,1489,EVOREL -75 patch 75micrograms/24 hours(4.8mg/unit) [JANSSEN],res72: Hormone replacement therapy,drug
CPRD_product_code,2140,FEMSEVEN 50 patch 50micrograms/24 hours(1.5mg/unit) [MERCK SER],res72: Hormone replacement therapy,drug
CPRD_product_code,3040,ESTRADERM MX patch 50micrograms/24 hours(1.5mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,2141,EVOREL -25 patch 25mcg/24 hours (1.6mg/unit) [JANSSEN],res72: Hormone replacement therapy,drug
CPRD_product_code,2977,estradiol implant 50mg ,res72: Hormone replacement therapy,drug
CPRD_product_code,2397,EVOREL -100 patch 100mcg/24 hours (6.4mg/unit) [JANSSEN],res72: Hormone replacement therapy,drug
CPRD_product_code,4882,ESTRADERM MX patch 100micrograms/24hrs (3.0mg/unit) [NOV/CIBA],res72: Hormone replacement therapy,drug
CPRD_product_code,5005,estradiol twice weekly patch 50mcg/24 hours (3.2mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,11430,estradiol once weekly patch 25micrograms/24 hours ,res72: Hormone replacement therapy,drug
CPRD_product_code,4721,estradiol twice weekly patch 75micrograms/24 hours(4.8mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,4511,estradiol implant 100mg ,res72: Hormone replacement therapy,drug
CPRD_product_code,4466,PROGYNOVA TS patch 50mcg/24hours (3.8 mg/unit) [SCHERING],res72: Hormone replacement therapy,drug
CPRD_product_code,4467,PROGYNOVA TS forte patch 100mcg/24 hour (7.6mg/unit) [SCHERING],res72: Hormone replacement therapy,drug
CPRD_product_code,5100,estradiol twice weekly patch 25mcg/24 hours (1.6mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,6082,FEMSEVEN 75 patch 75micrograms/24 hours (2.25mg/unit) [MERCK SER],res72: Hormone replacement therapy,drug
CPRD_product_code,5343,estradiol twice weekly patch 25micrograms/24 hours (2mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,5755,ELLESTE-SOLO MX 40 patch 40micrograms/24 hours (1.25mg/unit) [MEDA],res72: Hormone replacement therapy,drug
CPRD_product_code,6059,estradiol twice weekly patch 100mcg/24 hours (6.4mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,5759,estradiol twice weekly patch 100micrograms/24 hours (8mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,10052,PROGYNOVA TS 50 patch 50mcg/24hours (3.8 mg/unit) [BAYER],res72: Hormone replacement therapy,drug
CPRD_product_code,6601,estradiol twice weekly patch 25micrograms/24 hours (2mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,6563,estradiol once weekly patch 75micrograms/24 hours ,res72: Hormone replacement therapy,drug
CPRD_product_code,6177,FEMSEVEN 100 patch 100mcg/24 hours (3.0mg/unit) [MERCK SER],res72: Hormone replacement therapy,drug
CPRD_product_code,8837,estradiol implant 25mg ,res72: Hormone replacement therapy,drug
CPRD_product_code,11375,estradiol once weekly patch 50micrograms/24 hours(1.5mg/unit) ,res72: Hormone replacement therapy,drug
CPRD_product_code,6793,estradiol twice weekly patch 40micrograms/24 hours ,res72: Hormone replacement therapy,drug
CPRD_product_code,9901,PROGYNOVA TS 100 patch 100mcg/24 hour (7.6mg/unit) [BAYER],res72: Hormone replacement therapy,drug
