Coding System (Read),Codes,Description,Entity type,Category
Read,8H76.00,Refer to dietician,res72: Interventions,diagnostic
Read,9N0H.00,Seen in dietician clinic,res72: Interventions,diagnostic
Read,138Z.00,Exercise grading NOS,res72: Interventions,diagnostic
Read,6799,Health ed. - diet,res72: Interventions,diagnostic
Read,13A..00,Diet - patient initiated,res72: Interventions,diagnostic
Read,ZV65313,[V]Dietary counselling,res72: Interventions,diagnostic
Read,ZV65312,[V]Dietary counselling in diabetes mellitus,res72: Interventions,diagnostic
Read,ZL82.11,Refer to dietician,res72: Interventions,diagnostic
Read,8B57.00,Weight reducing diet,res72: Interventions,diagnostic
Read,8CA4700,Patient advised re low cholesterol diet,res72: Interventions,diagnostic
Read,13B4.00,Lactose free diet,res72: Interventions,diagnostic
Read,66C4.00,Has seen dietician - obesity,res72: Interventions,diagnostic
Read,8CA4100,Pt advised re diabetic diet,res72: Interventions,diagnostic
Read,ZC2C711,Dietary advice for weight reduction,res72: Interventions,diagnostic
Read,ZC2C.00,Dietary advice for disorder,res72: Interventions,diagnostic
Read,8CA4600,Pt advised re low fat diet,res72: Interventions,diagnostic
Read,ZC2C700,Patient advised about weight-reducing diet,res72: Interventions,diagnostic
Read,13AC.00,Diabetic weight reducing diet,res72: Interventions,diagnostic
Read,138H.00,Enjoys intermediate exercise,res72: Interventions,diagnostic
Read,ZL82.12,Refer to dietitian,res72: Interventions,diagnostic
Read,ZC2CM00,Dietary advice for obesity,res72: Interventions,diagnostic
Read,ZC2C800,Dietary advice for diabetes mellitus,res72: Interventions,diagnostic
Read,8CA4z00,Pt advised re diet NOS,res72: Interventions,diagnostic
Read,ZL82.00,Referral to dietitian,res72: Interventions,diagnostic
Read,8CA4000,Pt advised re wt reducing diet,res72: Interventions,diagnostic
Read,13A4.00,Low fat diet,res72: Interventions,diagnostic
Read,ZLDH.00,Discharge by dietitian,res72: Interventions,diagnostic
Read,ZV65317,[V]Dietary surveillance in hypercholesterolaemia,res72: Interventions,diagnostic
Read,13A3.00,Weight reducing diet,res72: Interventions,diagnostic
Read,13B1.00,Diabetic diet,res72: Interventions,diagnostic
Read,9NNF.00,Under care of dietitian,res72: Interventions,diagnostic
Read,66A8.00,Has seen dietician - diabetes,res72: Interventions,diagnostic
Read,ZC2C100,Dietary treatment for disorder,res72: Interventions,diagnostic
Read,8CE4.00,Diet leaflet given,res72: Interventions,diagnostic
Read,03K1.00,Dietician,res72: Interventions,diagnostic
Read,ZV65319,[V]Dietary counselling in obesity,res72: Interventions,diagnostic
Read,ZV65300,[V]Dietary surveillance and counselling,res72: Interventions,diagnostic
