Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,47057,Yasminelle 3mg+20microgram Tablet (Bayer Plc),res72: Oral contraceptive,drug
CPRD_product_code,54527,Cerelle 75microgram tablets (Consilient Health Ltd),res72: Oral contraceptive,drug
CPRD_product_code,23211,Desogestrel with ethinylestradiol 150micrograms with 30micrograms tablets,res72: Oral contraceptive,drug
CPRD_product_code,40618,Estradiol valerate and (estradiol valerate with dienogest) tablets,res72: Oral contraceptive,drug
CPRD_product_code,443,Desogestrel with ethinylestradiol 150micrograms with 20micrograms tablets,res72: Oral contraceptive,drug
CPRD_product_code,8103,Conova 30 Tablet (Pharmacia Ltd),res72: Oral contraceptive,drug
CPRD_product_code,3472,Trinovum ed ED tablets (Janssen-Cilag Ltd),res72: Oral contraceptive,drug
CPRD_product_code,18569,Gestodene with ethinylestradiol 75microgramwith20microgram Tablet,res72: Oral contraceptive,drug
CPRD_product_code,14977,Ethinylestradiol with gestodene - triphasic 6 x 30+50mcg; 5 x 40+70mcg; 10 x 30+100mcg Tablet,res72: Oral contraceptive,drug
CPRD_product_code,59149,Generic Qlaira tablets,res72: Oral contraceptive,drug
CPRD_product_code,19131,Ethinylestradiol with gestodene and placebo 30micrograms + 75micrograms Tablet,res72: Oral contraceptive,drug
CPRD_product_code,13810,Ethinylestradiol with levonorgestrel for post-coital contraception 50micrograms + 250micrograms Tabl,res72: Oral contraceptive,drug
CPRD_product_code,21733,Gestodene with ethinylestradiol 75microgramwith30microgram Tablet,res72: Oral contraceptive,drug
CPRD_product_code,12631,Ethinylestradiol with levonorgestrel and placebo 30micrograms + 150micrograms Tablet,res72: Oral contraceptive,drug
CPRD_product_code,976,Schering PC4 Tablet (Schering Health Care Ltd),res72: Oral contraceptive,drug
CPRD_product_code,42510,Ethinylestradiol with levonorgestrel Tablet,res72: Oral contraceptive,drug
CPRD_product_code,15886,Ethinylestradiol with levonorgestrel - triphasic 6x30+50mcg; 5x40+75mcg; 10x30+125mcg Tablet,res72: Oral contraceptive,drug
CPRD_product_code,40650,Ethinylestradiol with norethisterone 35micrograms + 750micrograms Tablet,res72: Oral contraceptive,drug
CPRD_product_code,23897,Ethinylestradiol with levonorgestrel - triphasic with placebo 6x30+50mcg; 5x40+75mcg; 10x30+125mcg T,res72: Oral contraceptive,drug
CPRD_product_code,6596,Norelgestromin with ethinylestradiol 203micrograms + 33.9micrograms/24hours Transdermal patch,res72: Oral contraceptive,drug
CPRD_product_code,45059,Ethinylestradiol with levonorgestrel 30micrograms + 50micrograms Tablet,res72: Oral contraceptive,drug
CPRD_product_code,23218,Ethinylestradiol with cyproterone acetate 35microgram with 2mg tablets,res72: Oral contraceptive,drug
CPRD_product_code,14459,Gynovlar 21 Tablet (Schering Health Care Ltd),res72: Oral contraceptive,drug
CPRD_product_code,19551,Controvlar Tablet (Schering Health Care Ltd),res72: Oral contraceptive,drug
CPRD_product_code,14670,Ethinylestradiol with norethisterone - biphasic 7 x 35mcg+500mcg; 14 x 35mcg+1mg Tablet,res72: Oral contraceptive,drug
CPRD_product_code,15987,Ethinylestradiol with norethisterone - triphasic 7 x 35+500mcg; 7 x 35+750mcg; 7 x 35mcg+1mg Tablet,res72: Oral contraceptive,drug
CPRD_product_code,21343,Minovlar ed Tablet (Schering Health Care Ltd),res72: Oral contraceptive,drug
CPRD_product_code,2769,Cyproterone acetate with ethinylestradiol 2mg with 35micrograms tablets,res72: Oral contraceptive,drug
CPRD_product_code,2084,Ovran 30 Tablet (Wyeth Pharmaceuticals),res72: Oral contraceptive,drug
CPRD_product_code,31528,Ethinylestradiol with norethisterone - triphasic 7x35+500mcg; 9x35mcg+1mg; 5x35+500mcg Tablet,res72: Oral contraceptive,drug
CPRD_product_code,40305,Qlaira tablets (Bayer Plc),res72: Oral contraceptive,drug
CPRD_product_code,25263,Norgestimate with ethinylestradiol 250micrograms + 35micrograms Tablet,res72: Oral contraceptive,drug
CPRD_product_code,43009,Minovlar 21 Tablet (Schering Health Care Ltd),res72: Oral contraceptive,drug
CPRD_product_code,47132,Co-cyprindiol 2mg+35microgram Tablet (Sandoz Ltd),res72: Oral contraceptive,drug
CPRD_product_code,3538,Neocon 1/35 Tablet (Cilag Pharmaceuticals Ltd),res72: Oral contraceptive,drug
CPRD_product_code,9119,Minilyn Tablet (Organon Laboratories Ltd),res72: Oral contraceptive,drug
CPRD_product_code,56553,Generic Trinovum tablets,res72: Oral contraceptive,drug
CPRD_product_code,3436,Ortho-novin 1/50 Tablet (Janssen-Cilag Ltd),res72: Oral contraceptive,drug
CPRD_product_code,1601,Trinovum tablets (Janssen-Cilag Ltd),res72: Oral contraceptive,drug
CPRD_product_code,31902,Cicafem 2000/35 tablets (Galen Ltd),res72: Oral contraceptive,drug
CPRD_product_code,25124,Acnocin 2000microgram/35microgram tablets (Sandoz Ltd),res72: Oral contraceptive,drug
CPRD_product_code,22603,Clairette 2000/35 tablets (Stragen UK Ltd),res72: Oral contraceptive,drug
CPRD_product_code,125,Dianette tablets (Bayer Plc),res72: Oral contraceptive,drug
CPRD_product_code,6431,Co-cyprindiol 2000microgram/35microgram tablets,res72: Oral contraceptive,drug
CPRD_product_code,4608,Dianette tablets (Mylan),res72: Oral contraceptive,drug
CPRD_product_code,68515,Teragezza 2000microgram/35microgram tablets (Morningside Healthcare Ltd),res72: Oral contraceptive,drug
CPRD_product_code,38500,Co-cyprindiol 2000microgram/35microgram tablets (Fannin UK Ltd),res72: Oral contraceptive,drug
CPRD_product_code,33098,Diva 2000/35 tablets (Zeroderma Ltd),res72: Oral contraceptive,drug
CPRD_product_code,53201,Dianette tablets (Lexon (UK) Ltd),res72: Oral contraceptive,drug
CPRD_product_code,67274,Dianette tablets (Sigma Pharmaceuticals Plc),res72: Oral contraceptive,drug
CPRD_product_code,61190,Co-cyprindiol 2000microgram/35microgram tablets (A A H Pharmaceuticals Ltd),res72: Oral contraceptive,drug
CPRD_product_code,67248,Dianette tablets (Waymade Healthcare Plc),res72: Oral contraceptive,drug
CPRD_product_code,1466,Femulen 500microgram tablets (Pfizer Ltd),res72: Oral contraceptive,drug
CPRD_product_code,61465,Feanolla 75microgram tablets (Lupin Healthcare (UK) Ltd),res72: Oral contraceptive,drug
CPRD_product_code,1613,Microval 30microgram tablets (Wyeth Pharmaceuticals),res72: Oral contraceptive,drug
CPRD_product_code,2265,Etynodiol 500microgram tablets,res72: Oral contraceptive,drug
CPRD_product_code,59414,Desogestrel 75microgram tablets (Actavis UK Ltd),res72: Oral contraceptive,drug
CPRD_product_code,5986,Cerazette 75microgram tablets (Merck Sharp & Dohme Ltd),res72: Oral contraceptive,drug
CPRD_product_code,58485,Zelleta 75microgram tablets (Morningside Healthcare Ltd),res72: Oral contraceptive,drug
CPRD_product_code,57748,Desomono 75microgram tablets (MedRx Licences Ltd),res72: Oral contraceptive,drug
CPRD_product_code,56732,Aizea 75microgram tablets (Besins Healthcare (UK) Ltd),res72: Oral contraceptive,drug
CPRD_product_code,48570,Cerazette 75microgram tablets (Mawdsley-Brooks & Company Ltd),res72: Oral contraceptive,drug
CPRD_product_code,10201,Desogestrel 75microgram tablets,res72: Oral contraceptive,drug
CPRD_product_code,56103,Cerelle 75microgram tablets (Consilient Health Ltd),res72: Oral contraceptive,drug
CPRD_product_code,54800,Desorex 75microgram tablets (Somex Pharma),res72: Oral contraceptive,drug
CPRD_product_code,55819,Nacrez 75microgram tablets (Teva UK Ltd),res72: Oral contraceptive,drug
CPRD_product_code,61890,Desogestrel 75microgram tablets (A A H Pharmaceuticals Ltd),res72: Oral contraceptive,drug
CPRD_product_code,1720,Levonorgestrel 30microgram tablets,res72: Oral contraceptive,drug
CPRD_product_code,2553,Norgeston 30microgram tablets (Bayer Plc),res72: Oral contraceptive,drug
CPRD_product_code,239,Micronor 350microgram tablets (Janssen-Cilag Ltd),res72: Oral contraceptive,drug
CPRD_product_code,1348,Noriday 350microgram tablets (Pfizer Ltd),res72: Oral contraceptive,drug
CPRD_product_code,2061,Norethisterone 350microgram tablets,res72: Oral contraceptive,drug
